scaffold,start,end,mid,sites,pi_Ppr
chr1,5935493,5963003,5949493,25000,0.010528
chr1,5963004,5988647,5975811,25000,0.007428
chr1,5988648,6014519,6001559,25000,0.009727
chr1,6014520,6047065,6030345,25000,0.010527
chr1,6047066,6077378,6061315,25000,0.0129
chr1,6077379,6103743,6090464,25000,0.012911
chr1,6103744,6162210,6129109,25000,0.015976
chr1,6162211,6194589,6177766,25000,0.018054
chr1,6194590,6231875,6214799,25000,0.024289
chr1,6231876,6286015,6263239,25000,0.016897
chr1,6286016,6351442,6319848,25000,0.012831
chr1,6351443,6386068,6369880,25000,0.020099
chr1,6386069,6417574,6401459,25000,0.008812
chr1,6417575,6444512,6431594,25000,0.011337
chr1,6444513,6471968,6458240,25000,0.011082
chr1,6471969,6501328,6487358,25000,0.011728
chr1,6501329,6527563,6514274,25000,0.011408
chr1,6527564,6555583,6541390,25000,0.012496
chr1,6555584,6582515,6568405,25000,0.010141
chr1,6582516,6618523,6602994,25000,0.015484
chr1,6618524,6645310,6631699,25000,0.009934
chr1,6645311,6670993,6658245,25000,0.009663
chr1,6670994,6696869,6683830,25000,0.008264
chr1,6696870,6722683,6709923,25000,0.009507
chr1,6722684,6759888,6737991,25000,0.012704
chr1,6759889,6787702,6773783,25000,0.017931
chr1,6787703,6815158,6801311,25000,0.01423
chr1,6815159,6843358,6829229,25000,0.013479
chr1,6843359,6869886,6856818,25000,0.00855
chr1,6869887,6895407,6882615,25000,0.008417
chr1,6895408,6921417,6908515,25000,0.008405
chr1,6921418,6947590,6934509,25000,0.008929
chr1,6947591,6974062,6961151,25000,0.019001
chr1,6974063,6999791,6986912,25000,0.010906
chr1,6999792,7027476,7012821,25000,0.013129
chr1,7027477,7054261,7041122,25000,0.014444
chr1,7054262,7080622,7067482,25000,0.012177
chr1,7080623,7106096,7093361,25000,0.004838
chr1,7106097,7132254,7119254,25000,0.0078
chr1,7132255,7157952,7145000,25000,0.011042
chr1,7157953,7184306,7170969,25000,0.010373
chr1,7184307,7210623,7197470,25000,0.009922
chr1,7210624,7236337,7223496,25000,0.009834
chr1,7236338,7267865,7253703,25000,0.011413
chr1,7267866,7295157,7281643,25000,0.011753
chr1,7295158,7321465,7308195,25000,0.008794
chr1,7321466,7347457,7334611,25000,0.010855
chr1,7347458,7374597,7361218,25000,0.01433
chr1,7374598,7401063,7387569,25000,0.011099
chr1,7401064,7427040,7414146,25000,0.015261
chr1,7427041,7464547,7443779,25000,0.012718
chr1,7464548,7491562,7478540,25000,0.014496
chr1,7491563,7517368,7504539,25000,0.00755
chr1,7517369,7544031,7531074,25000,0.008018
chr1,7544032,7571401,7557531,25000,0.012115
chr1,7571402,7603881,7586723,25000,0.013518
chr1,7603882,7630007,7616837,25000,0.011756
chr1,7630008,7656782,7643183,25000,0.01709
chr1,7656783,7683538,7670442,25000,0.019142
chr1,7683539,7765296,7711849,25000,0.01767
chr1,7765297,7806633,7791834,25000,0.009815
chr1,7806634,7833230,7819896,25000,0.013391
chr1,7833231,7860105,7846445,25000,0.009054
chr1,7860106,7886361,7873164,25000,0.017655
chr1,7886362,7913159,7899818,25000,0.020749
chr1,7913160,7965889,7945336,25000,0.015419
chr1,7965890,7992445,7979186,25000,0.011102
chr1,7992446,8018639,8005661,25000,0.009241
chr1,8018640,8044970,8031963,25000,0.010789
chr1,8044971,8071059,8058059,25000,0.010447
chr1,8071060,8096871,8083996,25000,0.010551
chr1,8096872,8129538,8115242,25000,0.013112
chr1,8129539,8155286,8142490,25000,0.010992
chr1,8155287,8185334,8170597,25000,0.014539
chr1,8185335,8213146,8199154,25000,0.015357
chr1,8213147,8239447,8226481,25000,0.011783
chr1,8239448,8281872,8256813,25000,0.013241
chr1,8281873,8311448,8295398,25000,0.019804
chr1,8311449,8351428,8330656,25000,0.018336
chr1,8351429,8392540,8368891,25000,0.016644
chr1,8392541,8420868,8407166,25000,0.009155
chr1,8420879,8460445,8439338,25000,0.017291
chr1,8460446,8487444,8473954,25000,0.018224
chr1,8487445,8515242,8501407,25000,0.015433
chr1,8515243,8540869,8528117,25000,0.013769
chr1,8540870,8571013,8556835,25000,0.008862
chr1,8571014,8598016,8584472,25000,0.013561
chr1,8598017,8625479,8612685,25000,0.01277
chr1,8625480,8653029,8638870,25000,0.014591
chr1,8653030,8680961,8666631,25000,0.01658
chr1,8680962,8716289,8694114,25000,0.018117
chr1,8716290,8748175,8733523,25000,0.011946
chr1,8748176,8799137,8769898,25000,0.019011
chr1,8799138,8825595,8812413,25000,0.016887
chr1,8825596,8851794,8838894,25000,0.014101
chr1,8851795,8881304,8866770,25000,0.009236
chr1,8881305,8909738,8895598,25000,0.012055
chr1,8909739,8937485,8923816,25000,0.006502
chr1,8937487,8964944,8950631,25000,0.012947
chr1,8964945,8994144,8980007,25000,0.014278
chr1,8994145,9039970,9012890,25000,0.016302
chr1,9039971,9072678,9055161,25000,0.026776
chr1,9072679,9105897,9088237,25000,0.015844
chr1,9105898,9133514,9119675,25000,0.013489
chr1,9133515,9162593,9147874,25000,0.011423
chr1,9162594,9187871,9175204,25000,0.006025
chr1,9187872,9214362,9201225,25000,0.011232
chr1,9214363,9242348,9228186,25000,0.008043
chr1,9242349,9275462,9260518,25000,0.008912
chr1,9275463,9343152,9298875,25000,0.011315
chr1,9343153,9378264,9360326,25000,0.017048
chr1,9378265,9415154,9399893,25000,0.007642
chr1,9415155,9451966,9437902,25000,0.014772
chr1,9451967,9478097,9465009,25000,0.008992
chr1,9478098,9510687,9496752,25000,0.015287
chr1,9510688,9543642,9529674,25000,0.011072
chr1,9543643,9571858,9557502,25000,0.014054
chr1,9571859,9603584,9587646,25000,0.017199
chr1,9603585,9648686,9628990,25000,0.016461
chr1,9648687,9689344,9673986,25000,0.016613
chr1,9689345,9738461,9714711,25000,0.013939
chr1,9738462,9818904,9760460,25000,0.013732
chr1,9818905,9879948,9845509,25000,0.014666
chr1,9879949,9964051,9914115,25000,0.026338
chr1,9964052,10020699,9987163,25000,0.021552
chr1,10020700,10101515,10062214,25000,0.024343
chr1,10101516,10144009,10120685,25000,0.028237
chr1,10144010,10174842,10160405,25000,0.014998
chr1,10174843,10218219,10191613,25000,0.021713
chr1,10218220,10245699,10231627,25000,0.014443
chr1,10245700,10273165,10259671,25000,0.014843
chr1,10273166,10299596,10286566,25000,0.013584
chr1,10299597,10327212,10313661,25000,0.015075
chr1,10327213,10393251,10347483,25000,0.013626
chr1,10393252,10435793,10414370,25000,0.017073
chr1,10435794,10499048,10462951,25000,0.012938
chr1,10499049,10534304,10517361,25000,0.019622
chr1,10534305,10563689,10548316,25000,0.021169
chr1,10563690,10618615,10581292,25000,0.026483
chr1,10618616,10667497,10640800,25000,0.014057
chr1,10667498,10696111,10683082,25000,0.013065
chr1,10696112,10759500,10715110,25000,0.011089
chr1,10759501,10798580,10779175,25000,0.017191
chr1,10798581,10888671,10834935,25000,0.017687
chr1,10888672,10919015,10903891,25000,0.009157
chr1,10919016,11019062,10957112,25000,0.019437
chr1,11019063,11047211,11032351,25000,0.007171
chr1,11047212,11082999,11067684,25000,0.014849
chr1,11083000,11144609,11113795,25000,0.011819
chr1,11144610,11176851,11161226,25000,0.017696
chr1,11176852,11221391,11201692,25000,0.016794
chr1,11221392,11254033,11239964,25000,0.013603
chr1,11254034,11295484,11275523,25000,0.020974
chr1,11295485,11338545,11318871,25000,0.013954
chr1,11338546,11376264,11360697,25000,0.016407
chr1,11376265,11404609,11390611,25000,0.013671
chr1,11404610,11432648,11418956,25000,0.015246
chr1,11432649,11489231,11454121,25000,0.008255
chr1,11489232,11555375,11525353,25000,0.013969
chr1,11555376,11585883,11569674,25000,0.016614
chr1,11585884,11638740,11608819,25000,0.012478
chr1,11638741,11668264,11652821,25000,0.008342
chr1,11668265,11748179,11723028,25000,0.009369
chr1,11748180,11814071,11764711,25000,0.008206
chr1,11814072,11865086,11838741,25000,0.020662
chr1,11865087,11954470,11921831,25000,0.017391
chr1,11954471,12066893,11986711,25000,0.014655
chr1,12066894,12110845,12087136,25000,0.025982
chr1,12110846,12178625,12158932,25000,0.025249
chr1,12178626,12205618,12191772,25000,0.009881
chr1,12205619,12231560,12218485,25000,0.009583
chr1,12231561,12260223,12245730,25000,0.014656
chr1,12260224,12300164,12277814,25000,0.013195
chr1,12300165,12334956,12316371,25000,0.007652
chr1,12334957,12361635,12348008,25000,0.014907
chr1,12361636,12389036,12375655,25000,0.016004
chr1,12389037,12417264,12403017,25000,0.01582
chr1,12417265,12443370,12430634,25000,0.01107
chr1,12443371,12468701,12456126,25000,0.007321
chr1,12468702,12494201,12481401,25000,0.009785
chr1,12494202,12523546,12508223,25000,0.011773
chr1,12523547,12550479,12537014,25000,0.01055
chr1,12550480,12582591,12565036,25000,0.018413
chr1,12582592,12615648,12598870,25000,0.019155
chr1,12615649,12651122,12633458,25000,0.015543
chr1,12651123,12693709,12668568,25000,0.021045
chr1,12693710,12725652,12710482,25000,0.01412
chr1,12725653,12754187,12739727,25000,0.015849
chr1,12754188,12784024,12768764,25000,0.018979
chr1,12784025,12817374,12802238,25000,0.0189
chr1,12817375,12844270,12830411,25000,0.015725
chr1,12844271,12882566,12862950,25000,0.012833
chr1,12882567,12916315,12898421,25000,0.011346
chr1,12916316,12944699,12929926,25000,0.018298
chr1,12944700,12972054,12958392,25000,0.01171
chr1,12972055,13006776,12991102,25000,0.005911
chr1,13006777,13033195,13019990,25000,0.006095
chr1,13033196,13058613,13045906,25000,0.001658
chr1,13058614,13085905,13072132,25000,0.017888
chr1,13085906,13113563,13099391,25000,0.016954
chr1,13113564,13140103,13127071,25000,0.005018
chr1,13140104,13168806,13155831,25000,0.006556
chr1,13168807,13194531,13181522,25000,0.010806
chr1,13194532,13289461,13217984,25000,0.01839
chr1,13289462,13317985,13303505,25000,0.021387
chr1,13317986,13363273,13331236,25000,0.013481
chr1,13363274,13397547,13379959,25000,0.019238
chr1,13397548,13452888,13433564,25000,0.018729
chr1,13452889,13482403,13468950,25000,0.01498
chr1,13482404,13516485,13498707,25000,0.018298
chr1,13516486,13589469,13554674,25000,0.015286
chr1,13589470,13618708,13603678,25000,0.018849
chr1,13618709,13673102,13648482,25000,0.02091
chr1,13673103,13710076,13689816,25000,0.017286
chr1,13710077,13736892,13723574,25000,0.016616
chr1,13736893,13773298,13756845,25000,0.010535
chr1,13773299,13812454,13788885,25000,0.008765
chr1,13812455,13839730,13825991,25000,0.022057
chr1,13839731,13877988,13860714,25000,0.013991
chr1,13877989,13912797,13899279,25000,0.007051
chr1,13912798,13945565,13929855,25000,0.011757
chr1,13945566,13972542,13959214,25000,0.012667
chr1,13972543,14001543,13986980,25000,0.019111
chr1,14001544,14070654,14026702,25000,0.025522
chr1,14070655,14097892,14084511,25000,0.013002
chr1,14097893,14130589,14115273,25000,0.019938
chr1,14130590,14181394,14164515,25000,0.008853
chr1,14181395,14220757,14196891,25000,0.014031
chr1,14220758,14253943,14235722,25000,0.017859
chr1,14253944,14282031,14267282,25000,0.014905
chr1,14282032,14312026,14297390,25000,0.018713
chr1,14312027,14339065,14325899,25000,0.016221
chr1,14339066,14367651,14353460,25000,0.014464
chr1,14367652,14398370,14383014,25000,0.021773
chr1,14398371,14426860,14411767,25000,0.009799
chr1,14426861,14495447,14469648,25000,0.0164
chr1,14495448,14542691,14519034,25000,0.012008
chr1,14542692,14569219,14555575,25000,0.012588
chr1,14569220,14595060,14582118,25000,0.007345
chr1,14595061,14621302,14608057,25000,0.005726
chr1,14621303,14649463,14634721,25000,0.009344
chr1,14649464,14676730,14662831,25000,0.014083
chr1,14676731,14710449,14693459,25000,0.012465
chr1,14710450,14741349,14726676,25000,0.016371
chr1,14741350,14778531,14761976,25000,0.009479
chr1,14778532,14804681,14791626,25000,0.015251
chr1,14804682,14835549,14818822,25000,0.011238
chr1,14835550,14865311,14849824,25000,0.012205
chr1,14865312,14912089,14894629,25000,0.011909
chr1,14912090,14941721,14925902,25000,0.013378
chr1,14941722,14968455,14954907,25000,0.014861
chr1,14968456,14997022,14983170,25000,0.017263
chr1,14997023,15032750,15014454,25000,0.01121
chr1,15032751,15066655,15051245,25000,0.019169
chr1,15066656,15097416,15083322,25000,0.01188
chr1,15097417,15128976,15113242,25000,0.010219
chr1,15128977,15156911,15142419,25000,0.012887
chr1,15156912,15206086,15174271,25000,0.017959
chr1,15206087,15231841,15219122,25000,0.017522
chr1,15231842,15272199,15248567,25000,0.018575
chr1,15272200,15312042,15294073,25000,0.019849
chr1,15312043,15340049,15325169,25000,0.010489
chr1,15340050,15392885,15366410,25000,0.01819
chr1,15392886,15420111,15406450,25000,0.017034
chr1,15420112,15453555,15434898,25000,0.011954
chr1,15453557,15490322,15473337,25000,0.024914
chr1,15490323,15519545,15505395,25000,0.013099
chr1,15519546,15549236,15534872,25000,0.016054
chr1,15549237,15599004,15567950,25000,0.011871
chr1,15599005,15637542,15616364,25000,0.005979
chr1,15637543,15706046,15670616,25000,0.025204
chr1,15706047,15733507,15719607,25000,0.023057
chr1,15733508,15760107,15746925,25000,0.01278
chr1,15760108,15787404,15774064,25000,0.007956
chr1,15787405,15813423,15800570,25000,0.00612
chr1,15813424,15841281,15827039,25000,0.00901
chr1,15841282,15866984,15854161,25000,0.006287
chr1,15866985,15894539,15880727,25000,0.011796
chr1,15894540,15955665,15923916,25000,0.014401
chr1,15955666,16016818,15977883,25000,0.02461
chr1,16016819,16047566,16033037,25000,0.015495
chr1,16047567,16076285,16061719,25000,0.012958
chr1,16076286,16110885,16093782,25000,0.011928
chr1,16110886,16145695,16125832,25000,0.007231
chr1,16145696,16187833,16169043,25000,0.006363
chr1,16187834,16215468,16201910,25000,0.017649
chr1,16215469,16244660,16231327,25000,0.013697
chr1,16244661,16271362,16257695,25000,0.008317
chr1,16271363,16297510,16284425,25000,0.013834
chr1,16297511,16327803,16311680,25000,0.019506
chr1,16327804,16354358,16341253,25000,0.007266
chr1,16354359,16379931,16367165,25000,0.004308
chr1,16379932,16406215,16393179,25000,0.015453
chr1,16406216,16438137,16421636,25000,0.009942
chr1,16438138,16472847,16453854,25000,0.013726
chr1,16472848,16501207,16487940,25000,0.013721
chr1,16501208,16528792,16514464,25000,0.014505
chr1,16528793,16555024,16541647,25000,0.015515
chr1,16555025,16602659,16585017,25000,0.017509
chr1,16602660,16635821,16616471,25000,0.013676
chr1,16635822,16663325,16649374,25000,0.014197
chr1,16663326,16691773,16676773,25000,0.019582
chr1,16691774,16721835,16708689,25000,0.011001
chr1,16721836,16758778,16744109,25000,0.021965
chr1,16758779,16787037,16772119,25000,0.014605
chr1,16787038,16821361,16801844,25000,0.005267
chr1,16821362,16846905,16834034,25000,0.006754
chr1,16846906,16875245,16861167,25000,0.017244
chr1,16875246,16972466,16911561,25000,0.013904
chr1,16972467,17029650,17006074,25000,0.01405
chr1,17029651,17222694,17103687,25000,0.015578
chr1,17222695,17253929,17236629,25000,0.011781
chr1,17253930,17279944,17267041,25000,0.010739
chr1,17279945,17344371,17304875,25000,0.013658
chr1,17344372,17373422,17359248,25000,0.012132
chr1,17373423,17423457,17402101,25000,0.008372
chr1,17423458,17452469,17437837,25000,0.017422
chr1,17452470,17540309,17467882,25000,0.00795
chr1,17540310,17584087,17564370,25000,0.023689
chr1,17584088,17641333,17620610,25000,0.011425
chr1,17641334,17667397,17654252,25000,0.002004
chr1,17667398,17704514,17683809,25000,0.002152
chr1,17704515,17751194,17725098,25000,0.019798
chr1,17751195,17798451,17776189,25000,0.016871
chr1,17798452,17830329,17814329,25000,0.017643
chr1,17830330,17860213,17846117,25000,0.009052
chr1,17860214,17887198,17873204,25000,0.012304
chr1,17887199,17913489,17900249,25000,0.01257
chr1,17913490,17940502,17926826,25000,0.017877
chr1,17940503,17966393,17953163,25000,0.006862
chr1,17966394,17993748,17979622,25000,0.008866
chr1,17993749,18022582,18007516,25000,0.015225
chr1,18022583,18049973,18036462,25000,0.014353
chr1,18049974,18078189,18062981,25000,0.011086
chr1,18078190,18117046,18095496,25000,0.01684
chr1,18117047,18156737,18137427,25000,0.02177
chr1,18156738,18183530,18169914,25000,0.014972
chr1,18183531,18232407,18211160,25000,0.01042
chr1,18232408,18265524,18248541,25000,0.012283
chr1,18265525,18292435,18278650,25000,0.015952
chr1,18292436,18341767,18325682,25000,0.020849
chr1,18341768,18419236,18367511,25000,0.015485
chr1,18419237,18448589,18434924,25000,0.018977
chr1,18448590,18476044,18462161,25000,0.017078
chr1,18476045,18504458,18489627,25000,0.011321
chr1,18504459,18534655,18520044,25000,0.016922
chr1,18534656,18598315,18560493,25000,0.019541
chr1,18598316,18683956,18647241,25000,0.015977
chr1,18683957,18711799,18697735,25000,0.024038
chr1,18711800,18759657,18742778,25000,0.011463
chr1,18759658,18795566,18774651,25000,0.013778
chr1,18795567,18824751,18811158,25000,0.008995
chr1,18824752,18859185,18839052,25000,0.013285
chr1,18859186,18894002,18876031,25000,0.009717
chr1,18894003,18920136,18906880,25000,0.012969
chr1,18920137,18975604,18955928,25000,0.021138
chr1,18975605,19018667,18997441,25000,0.012322
chr1,19018668,19049997,19036036,25000,0.019594
chr1,19049998,19077413,19063640,25000,0.011828
chr1,19077414,19114116,19093271,25000,0.016319
chr1,19114117,19144061,19128176,25000,0.00732
chr1,19144062,19171451,19157885,25000,0.01395
chr1,19171452,19201617,19185035,25000,0.014048
chr1,19201619,19236586,19220399,25000,0.010858
chr1,19236587,19269344,19251016,25000,0.01495
chr1,19269345,19296779,19282808,25000,0.019092
chr1,19296780,19343081,19319251,25000,0.013945
chr1,19343082,19368811,19355953,25000,0.013897
chr1,19368812,19395397,19382424,25000,0.014517
chr1,19395398,19420720,19408030,25000,0.005355
chr1,19420721,19446444,19433632,25000,0.007854
chr1,19446445,19472433,19459439,25000,0.013368
chr1,19472434,19499119,19485766,25000,0.012836
chr1,19499120,19556212,19530394,25000,0.027375
chr1,19556213,19626614,19592735,25000,0.020062
chr1,19626615,19653193,19639768,25000,0.014473
chr1,19653194,19682745,19669176,25000,0.014176
chr1,19682747,19729373,19698297,25000,0.013791
