scaffold,start,end,mid,sites,pi_Hti
scaffold_1,2004517,2033038,2018991,25000,0.003499
scaffold_1,2033039,2059701,2046275,25000,0.00632
scaffold_1,2059702,2089771,2075272,25000,0.005824
scaffold_1,2089772,2121634,2104335,25000,0.006274
scaffold_1,2121635,2151474,2137152,25000,0.006513
scaffold_1,2151475,2181081,2166024,25000,0.003624
scaffold_1,2181082,2210815,2196030,25000,0.005566
scaffold_1,2210816,2238860,2224931,25000,0.004734
scaffold_1,2238861,2265860,2251861,25000,0.006211
scaffold_1,2265861,2294472,2280203,25000,0.007673
scaffold_1,2294473,2322135,2308520,25000,0.004277
scaffold_1,2322136,2353184,2338650,25000,0.003841
scaffold_1,2353185,2381983,2367472,25000,0.002901
scaffold_1,2381984,2409679,2395876,25000,0.004803
scaffold_1,2409680,2449359,2424001,25000,0.002979
scaffold_1,2449360,2476605,2463000,25000,0.002816
scaffold_1,2476606,2506537,2492516,25000,0.005337
scaffold_1,2506538,2535351,2520872,25000,0.008176
scaffold_1,2535352,2564654,2549491,25000,0.005677
scaffold_1,2564655,2594574,2580227,25000,0.005496
scaffold_1,2594575,2624664,2610229,25000,0.008337
scaffold_1,2624665,2661468,2646176,25000,0.004153
scaffold_1,2661469,2704350,2682866,25000,0.007574
scaffold_1,2704351,2731327,2717969,25000,0.006336
scaffold_1,2731328,2770562,2748621,25000,0.015645
scaffold_1,2770563,2798318,2784269,25000,0.009514
scaffold_1,2798319,2826127,2811889,25000,0.008886
scaffold_1,2826128,2855847,2841535,25000,0.009801
scaffold_1,2855848,2955112,2922752,25000,0.021953
scaffold_1,2955113,2983137,2969078,25000,0.006537
scaffold_1,2983138,3015967,2998961,25000,0.010059
scaffold_1,3015968,3043527,3029617,25000,0.012914
scaffold_1,3043528,3073821,3058283,25000,0.008831
scaffold_1,3073822,3102207,3087968,25000,0.011338
scaffold_1,3102208,3273769,3158916,25000,0.014094
scaffold_1,3273770,3325206,3295875,25000,0.008706
scaffold_1,3325207,3352360,3338666,25000,0.011217
scaffold_1,3352361,3378686,3365518,25000,0.00784
scaffold_1,3378687,3406050,3392635,25000,0.010299
scaffold_1,3406051,3436112,3420986,25000,0.013291
scaffold_1,3436114,3463376,3449772,25000,0.007671
scaffold_1,3463377,3491075,3477328,25000,0.01145
scaffold_1,3491076,3546433,3522376,25000,0.010674
scaffold_1,3546434,3574626,3560298,25000,0.00715
scaffold_1,3574627,3609565,3591774,25000,0.013533
scaffold_1,3609566,3639615,3624311,25000,0.015108
scaffold_1,3639616,3668394,3654018,25000,0.015913
scaffold_1,3668395,3741979,3703815,25000,0.017166
scaffold_1,3741980,3783056,3764909,25000,0.016604
scaffold_1,3783057,3814848,3798464,25000,0.014279
scaffold_1,3814849,3873643,3833958,25000,0.01845
scaffold_1,3873644,3919773,3896094,25000,0.019142
scaffold_1,3919775,3956914,3939763,25000,0.018107
scaffold_1,3956915,4018916,3982570,25000,0.021042
scaffold_1,4018918,4053391,4037861,25000,0.009587
scaffold_1,4053392,4081498,4067309,25000,0.007171
scaffold_1,4081503,4129012,4102217,25000,0.011303
scaffold_1,4129013,4163922,4147425,25000,0.009196
scaffold_1,4163923,4195237,4179230,25000,0.017174
scaffold_1,4195238,4241479,4217186,25000,0.024055
scaffold_1,4241480,4271190,4255412,25000,0.021286
scaffold_1,4271191,4320398,4294937,25000,0.014988
scaffold_1,4320399,4359971,4337476,25000,0.019908
scaffold_1,4359972,4390684,4375063,25000,0.020383
scaffold_1,4390685,4423433,4406120,25000,0.022381
scaffold_1,4423434,4485409,4453449,25000,0.02319
scaffold_1,4485410,4573307,4524995,25000,0.025412
scaffold_1,4573308,4619181,4598862,25000,0.026498
scaffold_1,4619182,4656641,4637801,25000,0.025967
scaffold_1,4656642,4709997,4693425,25000,0.01745
scaffold_1,4709998,4759318,4727106,25000,0.021395
scaffold_1,4759319,4816832,4792706,25000,0.028771
scaffold_1,4816833,4852220,4833608,25000,0.025524
scaffold_1,4852221,4962414,4937504,25000,0.019672
scaffold_1,4962415,5010516,4986107,25000,0.02113
scaffold_1,5010517,5051375,5031627,25000,0.01606
scaffold_1,5051376,5081200,5065782,25000,0.008317
scaffold_1,5081201,5120666,5098922,25000,0.015259
scaffold_1,5120667,5157453,5136643,25000,0.021079
scaffold_1,5157454,5181820,5173906,10199,0.033883
scaffold_2,1,28202,14206,25000,0.008519
scaffold_2,28203,57219,43151,25000,0.008173
scaffold_2,57220,105334,82146,25000,0.006314
scaffold_2,105335,153229,137686,25000,0.012993
scaffold_2,153230,198292,169825,25000,0.009481
scaffold_2,198293,226475,212150,25000,0.009411
scaffold_2,226476,254182,240373,25000,0.0074
scaffold_2,254183,285677,271399,25000,0.010917
scaffold_2,285678,316654,300677,25000,0.011399
scaffold_2,316655,355459,337199,25000,0.008854
scaffold_2,355460,389225,372446,25000,0.009407
scaffold_2,389226,419213,405198,25000,0.006414
scaffold_2,419214,448946,434055,25000,0.005873
scaffold_2,448947,476898,463140,25000,0.006024
scaffold_2,476899,504751,490911,25000,0.016069
scaffold_2,504752,626592,586882,25000,0.01918
scaffold_2,626594,664143,648105,25000,0.011626
scaffold_2,664144,692975,678760,25000,0.012435
scaffold_2,692976,746348,719353,25000,0.021506
scaffold_2,746349,775147,760761,25000,0.011531
scaffold_2,775148,813404,797836,25000,0.008833
scaffold_2,813405,842458,827904,25000,0.012417
scaffold_2,842459,878282,858913,25000,0.018223
scaffold_2,878283,978193,935420,25000,0.022777
scaffold_2,978194,1026326,1001540,25000,0.016951
scaffold_2,1026327,1055122,1040640,25000,0.0144
scaffold_2,1055123,1087068,1070413,25000,0.035441
scaffold_2,1087069,1145528,1120131,25000,0.017422
scaffold_2,1145529,1185346,1162864,25000,0.029262
scaffold_2,1185347,1241831,1219266,25000,0.022714
scaffold_2,1241832,1281373,1261466,25000,0.021337
scaffold_2,1281374,1313100,1297505,25000,0.029188
scaffold_2,1313101,1343049,1327864,25000,0.019817
scaffold_2,1343050,1421489,1392915,25000,0.012671
scaffold_2,1421490,1453680,1437192,25000,0.011861
scaffold_2,1453681,1480342,1466999,25000,0.010409
scaffold_2,1480343,1509211,1494277,25000,0.011207
scaffold_2,1509212,1542330,1525403,25000,0.024275
scaffold_2,1542331,1589144,1567181,25000,0.027703
scaffold_2,1589145,1636233,1616799,25000,0.025463
scaffold_2,1636234,1679878,1658146,25000,0.025756
scaffold_2,1679881,1743278,1700216,25000,0.021847
scaffold_2,1743279,1851039,1807369,25000,0.020616
scaffold_2,1851040,1911170,1877021,25000,0.026175
scaffold_2,1911171,1975830,1934026,25000,0.023261
scaffold_2,1975831,2030439,1998688,25000,0.019462
scaffold_2,2030440,2088740,2057676,25000,0.015064
scaffold_2,2088741,2125510,2106895,25000,0.018248
scaffold_2,2125511,2154748,2139924,25000,0.010664
scaffold_2,2154749,2183087,2169250,25000,0.013755
scaffold_2,2183088,2210708,2197418,25000,0.017488
scaffold_2,2210709,2240251,2225406,25000,0.026572
scaffold_2,2240252,2271206,2256596,25000,0.025047
scaffold_2,2271207,2300349,2285836,25000,0.030497
scaffold_2,2300351,2327470,2313864,25000,0.018737
scaffold_2,2327471,2366609,2346208,25000,0.024264
scaffold_2,2366610,2444292,2387258,25000,0.027522
scaffold_2,2444293,2648799,2619609,25000,0.019082
scaffold_2,2648800,2779291,2679262,25000,0.027009
scaffold_2,2779292,2829462,2795877,25000,0.015932
scaffold_2,2829463,2902349,2879913,25000,0.024418
scaffold_2,2902350,2944291,2928435,25000,0.024717
scaffold_2,2944292,3004049,2982449,25000,0.019581
scaffold_2,3004050,3052070,3034714,25000,0.012953
scaffold_2,3052071,3099161,3073130,25000,0.024155
scaffold_2,3099162,3126566,3112847,25000,0.017104
scaffold_2,3126567,3156124,3142204,25000,0.020859
scaffold_2,3156125,3192349,3174412,25000,0.024206
scaffold_2,3192350,3250537,3214539,25000,0.025372
scaffold_2,3250538,3303377,3276137,25000,0.024417
scaffold_2,3303378,3361889,3326535,25000,0.024931
scaffold_2,3361890,3398499,3380879,25000,0.020345
scaffold_2,3398500,3453394,3418298,25000,0.019174
scaffold_2,3453395,3483845,3470130,25000,0.012379
scaffold_2,3483846,3528918,3509755,25000,0.02359
scaffold_2,3528919,3576215,3553893,25000,0.019305
scaffold_2,3576216,3655575,3619746,25000,0.019272
scaffold_2,3655576,3735421,3675826,25000,0.0315
scaffold_2,3735422,3887982,3810980,25000,0.028775
scaffold_2,3887983,3921746,3904834,25000,0.021454
scaffold_2,3921747,3961414,3942391,25000,0.02538
scaffold_2,3961415,4171777,4014094,25000,0.025704
scaffold_2,4171778,4367075,4272092,25000,0.041117
scaffold_2,4367077,4717838,4528236,25000,0.037216
scaffold_2,4717839,4887239,4825079,25000,0.025348
scaffold_2,4887240,4926431,4909653,25000,0.020721
scaffold_2,4926432,4956276,4941648,25000,0.017576
scaffold_2,4956277,4983860,4970985,25000,0.001246
scaffold_2,4983861,5048993,5026263,18530,0.004803
scaffold_3,19211,242630,138559,25000,0.024918
scaffold_3,242631,367983,330900,25000,0.019699
scaffold_3,367984,451929,401563,25000,0.025146
scaffold_3,451930,507801,470665,25000,0.021381
scaffold_3,507802,668442,582162,25000,0.029637
scaffold_3,668443,734255,707320,25000,0.031719
scaffold_3,734256,888836,842709,25000,0.021177
scaffold_3,888837,1216225,990841,25000,0.025889
scaffold_3,1216226,1490301,1361307,25000,0.029098
scaffold_3,1490302,1569509,1518492,25000,0.017508
scaffold_3,1569510,1647915,1609940,25000,0.025354
scaffold_3,1647916,1972259,1801077,25000,0.0229
scaffold_3,1972260,2028710,1992002,25000,0.014182
scaffold_3,2028711,2057973,2043948,25000,0.014436
scaffold_3,2057974,2088386,2072627,25000,0.014846
scaffold_3,2088387,2137133,2103550,25000,0.017681
scaffold_3,2137134,2342091,2252837,25000,0.017127
scaffold_3,2342092,2369282,2356428,25000,0.003791
scaffold_3,2369283,2396962,2382719,25000,0.007403
scaffold_3,2396963,2426118,2410986,25000,0.015823
scaffold_3,2426119,2455763,2440950,25000,0.015528
scaffold_3,2455764,2484101,2470061,25000,0.015981
scaffold_3,2484102,2519528,2499568,25000,0.016027
scaffold_3,2519529,2549238,2534708,25000,0.0168
scaffold_3,2549239,2578321,2563488,25000,0.017699
scaffold_3,2578322,2671977,2633759,25000,0.020838
scaffold_3,2671978,2701933,2686930,25000,0.011173
scaffold_3,2701934,2747668,2722263,25000,0.016601
scaffold_3,2747669,2864228,2804200,25000,0.011276
scaffold_3,2864229,2894917,2878294,25000,0.007676
scaffold_3,2894918,2972720,2920789,25000,0.014114
scaffold_3,2972721,3086026,3027953,25000,0.018987
scaffold_3,3086027,3121974,3099292,25000,0.007791
scaffold_3,3121975,3165744,3150763,25000,0.016967
scaffold_3,3165745,3195864,3181466,25000,0.012218
scaffold_3,3195865,3224944,3211309,25000,0.013321
scaffold_3,3224945,3251500,3238396,25000,0.012091
scaffold_3,3251501,3291441,3275940,25000,0.003183
scaffold_3,3291442,3320462,3305115,25000,0.003469
scaffold_3,3320463,3346406,3333582,25000,0.003657
scaffold_3,3346407,3376239,3362320,25000,0.011434
scaffold_3,3376240,3401738,3388963,25000,0.005116
scaffold_3,3401739,3457201,3433532,25000,0.014379
scaffold_3,3457203,3484599,3471229,25000,0.010059
scaffold_3,3484600,3595199,3523689,25000,0.016924
scaffold_3,3595200,3645866,3620498,25000,0.020382
scaffold_3,3645867,3689797,3673591,25000,0.025741
scaffold_3,3689798,3725534,3707203,25000,0.008644
scaffold_3,3725535,3782989,3749135,25000,0.034825
scaffold_3,3782990,3830185,3809888,25000,0.022011
scaffold_3,3830186,3937621,3873110,25000,0.024108
scaffold_3,3937622,3994774,3959035,25000,0.018305
scaffold_3,3994775,4117878,4045502,25000,0.012112
scaffold_3,4117879,4149001,4132773,25000,0.011837
scaffold_3,4149002,4176048,4162479,25000,0.010177
scaffold_3,4176049,4203673,4189796,25000,0.003283
scaffold_3,4203674,4247147,4223744,25000,0.010821
scaffold_3,4247148,4286420,4263033,25000,0.011386
scaffold_3,4286422,4315716,4301474,25000,0.012534
scaffold_3,4315717,4351214,4335085,25000,0.014901
scaffold_3,4351215,4388274,4371355,25000,0.016904
scaffold_3,4388275,4418877,4404291,25000,0.022593
scaffold_3,4418878,4522992,4461733,25000,0.027336
scaffold_3,4522993,4658476,4586934,25000,0.026361
scaffold_3,4658478,4692011,4674900,25000,0.027002
scaffold_3,4692012,4743557,4724261,25000,0.019195
scaffold_3,4743558,4780117,4760457,25000,0.025181
scaffold_3,4780118,4845367,4807926,25000,0.027055
scaffold_3,4845368,4894965,4876151,24421,0.033765
scaffold_4,8,46061,21035,25000,0.025832
scaffold_4,46062,93416,71441,25000,0.016454
scaffold_4,93417,134677,114996,25000,0.018125
scaffold_4,134678,170964,154855,25000,0.021522
scaffold_4,170965,207311,186832,25000,0.013971
scaffold_4,207312,1196026,893434,25000,0.00643
scaffold_4,1196031,1353534,1257859,25000,0.021749
scaffold_4,1353535,1428454,1393387,25000,0.024291
scaffold_4,1428455,1473914,1455040,25000,0.021452
scaffold_4,1473916,1511100,1493300,25000,0.020553
scaffold_4,1511101,1861421,1620893,25000,0.023306
scaffold_4,1861422,1909529,1887536,25000,0.020634
scaffold_4,1909530,2068698,2005326,25000,0.022875
scaffold_4,2068699,2109881,2091126,25000,0.024679
scaffold_4,2109882,2167906,2146852,25000,0.021689
scaffold_4,2167907,2227508,2206008,25000,0.022419
scaffold_4,2227509,2272005,2249879,25000,0.01399
scaffold_4,2272006,2301913,2287177,25000,0.00587
scaffold_4,2301914,2330369,2315982,25000,0.006887
scaffold_4,2330370,2366757,2351237,25000,0.006957
scaffold_4,2366758,2398457,2383530,25000,0.00677
scaffold_4,2398458,2425393,2411918,25000,0.004839
scaffold_4,2425394,2474031,2446732,25000,0.003873
scaffold_4,2474032,2511614,2493315,25000,0.006081
scaffold_4,2511615,2538496,2524950,25000,0.00546
scaffold_4,2538497,2581641,2552459,25000,0.006419
scaffold_4,2581642,2610085,2595874,25000,0.00651
scaffold_4,2610086,2638804,2624717,25000,0.007377
scaffold_4,2638805,2733689,2656417,25000,0.011423
scaffold_4,2733690,2812909,2762876,25000,0.006546
scaffold_4,2812910,2840838,2827174,25000,0.006193
scaffold_4,2840839,2880432,2864591,25000,0.008101
scaffold_4,2880433,2913042,2895324,25000,0.01233
scaffold_4,2913043,2945146,2928725,25000,0.01446
scaffold_4,2945147,2980483,2963448,25000,0.015781
scaffold_4,2980484,3027861,3003867,25000,0.011793
scaffold_4,3027862,3056114,3041903,25000,0.013119
scaffold_4,3056115,3110227,3086888,25000,0.014213
scaffold_4,3110228,3186876,3154417,25000,0.017561
scaffold_4,3186877,3219775,3205398,25000,0.015222
scaffold_4,3219776,3254215,3238003,25000,0.00996
scaffold_4,3254216,3283253,3269394,25000,0.010584
scaffold_4,3283255,3314194,3298498,25000,0.00783
scaffold_4,3314195,3348368,3329452,25000,0.011599
scaffold_4,3348369,3380354,3364607,25000,0.013107
scaffold_4,3380355,3414136,3397260,25000,0.01206
scaffold_4,3414137,3442424,3428367,25000,0.00795
scaffold_4,3442425,3471040,3457179,25000,0.008533
scaffold_4,3471041,3510293,3484995,25000,0.009123
scaffold_4,3510294,3546028,3530604,25000,0.005054
scaffold_4,3546029,3574696,3560562,25000,0.008796
scaffold_4,3574697,3622031,3595710,25000,0.01071
scaffold_4,3622032,3650233,3635922,25000,0.012804
scaffold_4,3650234,3676951,3663311,25000,0.004774
scaffold_4,3676952,3721768,3704518,25000,0.010214
scaffold_4,3721769,3759274,3742232,25000,0.006741
scaffold_4,3759275,3810367,3785114,25000,0.006873
scaffold_4,3810368,3838900,3824769,25000,0.008719
scaffold_4,3838905,3885195,3855060,25000,0.006471
scaffold_4,3885196,3913305,3899470,25000,0.004666
scaffold_4,3913306,3940848,3926463,25000,0.007289
scaffold_4,3940849,3978727,3964495,25000,0.010304
scaffold_4,3978728,4024488,4001397,25000,0.008989
scaffold_4,4024489,4058867,4043187,25000,0.008121
scaffold_4,4058868,4090021,4074426,25000,0.006234
scaffold_4,4090022,4117912,4103884,25000,0.009526
scaffold_4,4117913,4151183,4137204,25000,0.014065
scaffold_4,4151184,4179825,4165499,25000,0.012263
scaffold_4,4179826,4226197,4205448,25000,0.008459
scaffold_5,5630,92074,38760,25000,0.007418
scaffold_5,92075,149029,118056,25000,0.014677
scaffold_5,149030,185466,169493,25000,0.013274
scaffold_5,185467,215552,200044,25000,0.01036
scaffold_5,215553,275403,252533,25000,0.01888
scaffold_5,275404,336982,297752,25000,0.006319
scaffold_5,336983,407921,357514,25000,0.010013
scaffold_5,407922,449793,429371,25000,0.01605
scaffold_5,449794,534306,507376,25000,0.011537
scaffold_5,534307,591105,564735,25000,0.009144
scaffold_5,591106,638797,619648,25000,0.014252
scaffold_5,638798,677697,655809,25000,0.012896
scaffold_5,677698,710788,695205,25000,0.008346
scaffold_5,710789,740749,724624,25000,0.004556
scaffold_5,740750,777038,756923,25000,0.011456
scaffold_5,777041,809610,795138,25000,0.008891
scaffold_5,809611,842146,824933,25000,0.005283
scaffold_5,842147,873266,857945,25000,0.005173
scaffold_5,873267,909893,887666,25000,0.008504
scaffold_5,909894,967616,939120,25000,0.008881
scaffold_5,967617,994657,981212,25000,0.004259
scaffold_5,994658,1066444,1034394,25000,0.013164
scaffold_5,1066445,1095475,1081667,25000,0.0145
scaffold_5,1095476,1122356,1108907,25000,0.00647
scaffold_5,1122357,1151194,1137577,25000,0.008117
scaffold_5,1151195,1178267,1164527,25000,0.011241
scaffold_5,1178268,1207993,1192790,25000,0.009413
scaffold_5,1207994,1237362,1222592,25000,0.008037
scaffold_5,1237363,1270753,1256162,25000,0.014016
scaffold_5,1270754,1309649,1289222,25000,0.015689
scaffold_5,1309650,1359211,1336576,25000,0.010503
scaffold_5,1359212,1391148,1375454,25000,0.00977
scaffold_5,1391149,1419866,1405917,25000,0.00925
scaffold_5,1419867,1456743,1440943,25000,0.004941
scaffold_5,1456744,1486378,1471739,25000,0.007419
scaffold_5,1486379,1514583,1500772,25000,0.005541
scaffold_5,1514584,1550397,1529604,25000,0.013074
scaffold_5,1550398,1588295,1571598,25000,0.009954
scaffold_5,1588296,1630269,1609605,25000,0.010101
scaffold_5,1630270,1667495,1649207,25000,0.015801
scaffold_5,1667496,1702639,1685207,25000,0.013201
scaffold_5,1702640,1753455,1725629,25000,0.007866
scaffold_5,1753456,1790981,1771758,25000,0.010915
scaffold_5,1790982,1818047,1804530,25000,0.009917
scaffold_5,1818048,1849308,1832910,25000,0.01544
scaffold_5,1849309,1888988,1866036,25000,0.015797
scaffold_5,1888989,1920737,1905063,25000,0.02073
scaffold_5,1920738,1948439,1934769,25000,0.012656
scaffold_5,1948440,1986354,1972503,25000,0.015377
scaffold_5,1986355,2014671,2000368,25000,0.010527
scaffold_5,2014672,2050322,2035171,25000,0.006003
scaffold_5,2050323,2079259,2064991,25000,0.011031
scaffold_5,2079260,2141686,2117531,25000,0.018369
scaffold_5,2141687,2175819,2160043,25000,0.019123
scaffold_5,2175820,2264929,2198976,25000,0.016386
scaffold_5,2264930,2310390,2286769,25000,0.013016
scaffold_5,2310391,2371221,2342992,25000,0.012663
scaffold_5,2371222,2467044,2411953,25000,0.022551
scaffold_5,2467045,2498592,2483108,25000,0.011432
scaffold_5,2498593,2541640,2519422,25000,0.02566
scaffold_5,2541641,2575780,2558449,25000,0.022078
scaffold_5,2575781,2632751,2596608,25000,0.015189
scaffold_5,2632752,2898291,2777792,25000,0.016053
scaffold_5,2898292,2945992,2924174,25000,0.012204
scaffold_5,2945993,2976095,2960501,25000,0.018518
scaffold_5,2976096,3018425,2996825,25000,0.019708
scaffold_5,3018426,3055615,3037136,25000,0.014445
scaffold_5,3055616,3085268,3070490,25000,0.012791
scaffold_5,3085269,3115634,3100715,25000,0.015871
scaffold_5,3115635,3241035,3185313,25000,0.017458
scaffold_5,3241036,3277698,3258744,25000,0.01532
scaffold_5,3277699,3395438,3313651,25000,0.010019
scaffold_5,3395439,3495214,3419814,25000,0.013597
scaffold_5,3495215,3574071,3541172,25000,0.013901
scaffold_5,3574072,3619100,3592899,25000,0.015986
scaffold_5,3619101,3658946,3639712,25000,0.013383
scaffold_5,3658947,3696382,3677522,25000,0.010839
scaffold_5,3696383,3730755,3713777,25000,0.002701
scaffold_5,3730756,3786322,3759425,25000,0.010756
scaffold_5,3786323,3819676,3801820,25000,0.015141
scaffold_5,3819677,3847671,3833934,25000,0.016476
scaffold_5,3847672,3873175,3858759,19551,0.022574
scaffold_6,355543,416959,376138,25000,0.014918
scaffold_6,416960,507351,471884,25000,0.022424
scaffold_6,507352,568789,529873,25000,0.014705
scaffold_6,568790,612009,595431,25000,0.012051
scaffold_6,612010,667557,632889,25000,0.017772
scaffold_6,667558,718024,698811,25000,0.022016
scaffold_6,718025,806628,758140,25000,0.032529
scaffold_6,806629,868436,843638,25000,0.025019
scaffold_6,868443,900630,884871,25000,0.012073
scaffold_6,900631,930959,915300,25000,0.010973
scaffold_6,930960,981553,947828,25000,0.016203
scaffold_6,981554,1032378,998608,25000,0.020235
scaffold_6,1032379,1079271,1059774,25000,0.014206
scaffold_6,1079272,1107341,1093463,25000,0.011821
scaffold_6,1107342,1135668,1121595,25000,0.010439
scaffold_6,1135669,1181548,1157968,25000,0.014107
scaffold_6,1181549,1209722,1195960,25000,0.010024
scaffold_6,1209723,1243405,1226054,25000,0.01418
scaffold_6,1243406,1272485,1258513,25000,0.00417
scaffold_6,1272486,1305314,1288266,25000,0.004236
scaffold_6,1305315,1335330,1320519,25000,0.003259
scaffold_6,1335331,1372938,1350647,25000,0.003524
scaffold_6,1372939,1419046,1392188,25000,0.01294
scaffold_6,1419047,1448670,1434499,25000,0.009597
scaffold_6,1448671,1475707,1462023,25000,0.008519
scaffold_6,1475709,1506436,1492765,25000,0.011646
scaffold_6,1506437,1536371,1522807,25000,0.007324
scaffold_6,1536372,1576250,1556968,25000,0.005039
scaffold_6,1576251,1603970,1589865,25000,0.007579
scaffold_6,1603971,1633583,1618792,25000,0.00675
scaffold_6,1633584,1661123,1647580,25000,0.006779
scaffold_6,1661124,1692303,1674971,25000,0.005994
scaffold_6,1692304,1720036,1706878,25000,0.006253
scaffold_6,1720037,1746897,1733452,25000,0.004824
scaffold_6,1746898,1775041,1761213,25000,0.004029
scaffold_6,1775042,1803152,1789143,25000,0.003944
scaffold_6,1803153,1830483,1816885,25000,0.006217
scaffold_6,1830484,1858020,1844316,25000,0.005885
scaffold_6,1858021,1889617,1873318,25000,0.006261
scaffold_6,1889618,1917275,1903259,25000,0.00557
scaffold_6,1917276,1946174,1931712,25000,0.006163
scaffold_6,1946175,1973278,1959649,25000,0.004394
scaffold_6,1973279,2009257,1992753,25000,0.004004
scaffold_6,2009258,2041348,2026577,25000,0.00339
scaffold_6,2041349,2069447,2055658,25000,0.004351
scaffold_6,2069448,2102323,2086839,25000,0.004119
scaffold_6,2102324,2130621,2116590,25000,0.005451
scaffold_6,2130622,2158232,2144095,25000,0.005231
scaffold_6,2158233,2185644,2171953,25000,0.004943
scaffold_6,2185645,2213148,2199779,25000,0.004163
scaffold_6,2213149,2240956,2226838,25000,0.004563
scaffold_6,2240957,2268700,2254686,25000,0.003196
scaffold_6,2268701,2299757,2285100,25000,0.003459
scaffold_6,2299758,2347226,2319288,25000,0.004466
scaffold_6,2347227,2384920,2370830,25000,0.005017
scaffold_6,2384921,2413561,2398942,25000,0.005321
scaffold_6,2413562,2441245,2427461,25000,0.007106
scaffold_6,2441246,2469741,2455053,25000,0.005433
scaffold_6,2469742,2497327,2483504,25000,0.00556
scaffold_6,2497329,2526062,2511642,25000,0.007129
scaffold_6,2526063,2555872,2540727,25000,0.006493
scaffold_6,2555873,2585806,2570707,25000,0.008567
scaffold_6,2585807,2615085,2600612,25000,0.008827
scaffold_6,2615086,2643133,2629123,25000,0.010399
scaffold_6,2643134,2687912,2670468,25000,0.007639
scaffold_6,2687913,2716480,2702299,25000,0.008696
scaffold_6,2716482,2744546,2730487,25000,0.008474
scaffold_6,2744547,2780567,2765602,25000,0.008311
scaffold_6,2780568,2835596,2798228,25000,0.008519
scaffold_6,2835597,2864936,2850320,25000,0.00556
scaffold_6,2864937,2895151,2879690,25000,0.00563
scaffold_6,2895154,2944788,2922049,25000,0.005391
scaffold_6,2944789,2988773,2969099,25000,0.009336
scaffold_6,2988774,3015477,3002385,25000,0.01326
scaffold_6,3015478,3041037,3028297,25000,0.007276
