scaffold,start,end,mid,sites,pi_Hrs
scaffold_1,3031807,3059612,3045616,25000,0.024052
scaffold_1,3059613,3085224,3072374,25000,0.001436
scaffold_1,3085225,3112745,3099167,25000,0.02132
scaffold_1,3112746,3143422,3127867,25000,0.026493
scaffold_1,3143423,3175903,3160938,25000,0.010962
scaffold_1,3175904,3205802,3190299,25000,0.012194
scaffold_1,3205803,3231716,3218715,25000,0.012018
scaffold_1,3231717,3257327,3244361,25000,0.003847
scaffold_1,3257328,3283395,3270560,25000,0.00472
scaffold_1,3283396,3309046,3296254,25000,0.005134
scaffold_1,3309047,3335318,3321762,25000,0.003078
scaffold_1,3335319,3363924,3349479,25000,0.002623
scaffold_1,3363925,3389909,3376814,25000,0.007109
scaffold_1,3389910,3416723,3403382,25000,0.005103
scaffold_1,3416724,3441935,3429332,25000,0.004162
scaffold_1,3441936,3469157,3455272,25000,0.004042
scaffold_1,3469158,3494748,3481843,25000,0.002412
scaffold_1,3494749,3519849,3507313,25000,0.004618
scaffold_1,3519850,3544950,3532377,25000,0.002637
scaffold_1,3544951,3570579,3557771,25000,0.004666
scaffold_1,3570580,3595870,3583204,25000,0.004298
scaffold_1,3595871,3621292,3608620,25000,0.004956
scaffold_1,3621293,3647719,3634467,25000,0.008353
scaffold_1,3647720,3673657,3660950,25000,0.004671
scaffold_1,3673658,3699124,3686320,25000,0.002662
scaffold_1,3699125,3724346,3711815,25000,0.00316
scaffold_1,3724347,3749794,3737067,25000,0.007042
scaffold_1,3749795,3775724,3762508,25000,0.003361
scaffold_1,3775725,3801391,3788483,25000,0.003999
scaffold_1,3801392,3826930,3814169,25000,0.003935
scaffold_1,3826931,3852582,3839744,25000,0.005931
scaffold_1,3852583,3879944,3865890,25000,0.010875
scaffold_1,3879945,3911504,3893695,25000,0.01902
scaffold_1,3911505,3946168,3929835,25000,0.01806
scaffold_1,3946169,3973488,3959808,25000,0.010899
scaffold_1,3973489,3999714,3986652,25000,0.00937
scaffold_1,3999715,4031063,4015410,25000,0.011837
scaffold_1,4031064,4058671,4045094,25000,0.010197
scaffold_1,4058672,4085819,4072279,25000,0.007528
scaffold_1,4085820,4128819,4105587,25000,0.011
scaffold_1,4128820,4158221,4142694,25000,0.010124
scaffold_1,4158222,4185097,4171860,25000,0.01243
scaffold_1,4185098,4212484,4198749,25000,0.010372
scaffold_1,4212485,4239542,4225929,25000,0.008578
scaffold_1,4239543,4266845,4252676,25000,0.006989
scaffold_1,4266846,4293569,4280543,25000,0.003795
scaffold_1,4293570,4321337,4308273,25000,0.001905
scaffold_1,4321338,4347681,4334496,25000,0.011279
scaffold_1,4347682,4373386,4360534,25000,0.008105
scaffold_1,4373387,4400794,4387633,25000,0.005996
scaffold_1,4400795,4426524,4413707,25000,0.003779
scaffold_1,4426525,4452265,4439326,25000,0.003795
scaffold_1,4452266,4481192,4467043,25000,0.008098
scaffold_1,4481193,4514989,4497211,25000,0.010503
scaffold_1,4514990,4549928,4529347,25000,0.00907
scaffold_1,4549929,4576120,4563165,25000,0.007432
scaffold_1,4576121,4602965,4589663,25000,0.006838
scaffold_1,4602966,4631525,4616704,25000,0.014309
scaffold_1,4631526,4667715,4653196,25000,0.016678
scaffold_1,4667716,4776931,4723966,25000,0.024907
scaffold_1,4776932,4807054,4792398,25000,0.021097
scaffold_1,4807055,4834367,4821112,25000,0.014258
scaffold_1,4834368,4876259,4858486,25000,0.014597
scaffold_1,4876260,4907605,4892817,25000,0.018019
scaffold_1,4907606,4956969,4928274,25000,0.01669
scaffold_1,4956970,5000038,4974917,25000,0.017099
scaffold_1,5000039,5032260,5015290,25000,0.021236
scaffold_1,5032265,5071036,5054396,25000,0.014566
scaffold_1,5071038,5096674,5083826,25000,0.011675
scaffold_1,5096675,5124288,5110282,25000,0.008401
scaffold_1,5124289,5154496,5141005,25000,0.012131
scaffold_1,5154497,5181433,5167561,25000,0.009934
scaffold_1,5181434,5211267,5196175,25000,0.005174
scaffold_1,5211268,5238204,5224940,25000,0.011729
scaffold_1,5238205,5264515,5251131,25000,0.005212
scaffold_1,5264516,5290632,5277658,25000,0.007247
scaffold_1,5290633,5316369,5303544,25000,0.005131
scaffold_1,5316370,5341630,5328993,25000,0.004534
scaffold_1,5341631,5368007,5354429,25000,0.005373
scaffold_1,5368008,5393598,5380855,25000,0.004737
scaffold_1,5393599,5419043,5406312,25000,0.003646
scaffold_1,5419044,5444734,5431924,25000,0.004319
scaffold_1,5444735,5475179,5461143,25000,0.007084
scaffold_1,5475180,5502463,5488857,25000,0.006332
scaffold_1,5502464,5529091,5515634,25000,0.005031
scaffold_1,5529092,5554327,5541704,25000,0.005102
scaffold_1,5554328,5581376,5567576,25000,0.005749
scaffold_1,5581377,5611517,5595907,25000,0.016529
scaffold_1,5611518,5647893,5627657,25000,0.010055
scaffold_1,5647894,5682320,5667382,25000,0.023009
scaffold_1,5682321,5714411,5699308,25000,0.017153
scaffold_1,5714412,5787115,5732974,25000,0.009268
scaffold_1,5787116,5889591,5854005,25000,0.012322
scaffold_1,5889592,5918303,5903544,25000,0.010282
scaffold_1,5918304,5945208,5931636,25000,0.017973
scaffold_1,5945209,5977941,5963275,25000,0.011475
scaffold_1,5977942,6007496,5993041,25000,0.009874
scaffold_1,6007497,6035161,6021411,25000,0.011923
scaffold_1,6035162,6062259,6048769,25000,0.012675
scaffold_1,6062260,6088734,6075731,25000,0.007658
scaffold_1,6088735,6115591,6102280,25000,0.008904
scaffold_1,6115592,6142002,6128769,25000,0.005892
scaffold_1,6142003,6168215,6155351,25000,0.006847
scaffold_1,6168216,6193533,6180857,25000,0.003806
scaffold_1,6193534,6221924,6208103,25000,0.009654
scaffold_1,6221925,6247988,6235173,25000,0.010944
scaffold_1,6247989,6273841,6261134,25000,0.006823
scaffold_1,6273842,6300160,6287127,25000,0.004736
scaffold_1,6300161,6325707,6312939,25000,0.006273
scaffold_1,6325708,6351036,6338417,25000,0.003095
scaffold_1,6351037,6376800,6364062,25000,0.006726
scaffold_1,6376801,6402768,6389807,25000,0.008564
scaffold_1,6402769,6430870,6416991,25000,0.010002
scaffold_1,6430871,6457633,6444036,25000,0.012164
scaffold_1,6457634,6484262,6471072,25000,0.013258
scaffold_1,6484263,6532438,6514369,25000,0.008778
scaffold_1,6532439,6560296,6546801,25000,0.01195
scaffold_1,6560297,6587152,6573086,25000,0.010477
scaffold_1,6587153,6618179,6603003,25000,0.016972
scaffold_1,6618180,6644392,6631474,25000,0.009272
scaffold_1,6644393,6670084,6657124,25000,0.00787
scaffold_1,6670085,6697314,6683396,25000,0.005737
scaffold_1,6697315,6722513,6709938,25000,0.002204
scaffold_1,6722514,6748419,6735560,25000,0.006611
scaffold_1,6748420,6795065,6770218,25000,0.025696
scaffold_1,6795066,6867516,6830533,25000,0.006636
scaffold_1,6867517,6916005,6895163,25000,0.012361
scaffold_1,6916006,6970785,6947854,25000,0.014052
scaffold_1,6970786,7003247,6987492,25000,0.00821
scaffold_1,7003248,7045058,7026922,25000,0.017446
scaffold_1,7045059,7075707,7060254,25000,0.010338
scaffold_1,7075708,7108982,7089945,25000,0.013989
scaffold_1,7108983,7134767,7121847,25000,0.006047
scaffold_1,7134768,7161089,7148308,25000,0.004259
scaffold_1,7161090,7188075,7173985,25000,0.007009
scaffold_1,7188076,7214674,7201735,25000,0.007651
scaffold_1,7214675,7240573,7227766,25000,0.006571
scaffold_1,7240574,7289826,7260478,25000,0.006885
scaffold_1,7289827,7315251,7302427,25000,0.005025
scaffold_1,7315252,7341122,7328170,25000,0.004446
scaffold_1,7341123,7366718,7353806,25000,0.012225
scaffold_1,7366719,7393404,7379849,25000,0.010915
scaffold_1,7393405,7421380,7407660,25000,0.011137
scaffold_1,7421381,7449695,7435489,25000,0.013841
scaffold_1,7449696,7493934,7478845,25000,0.013405
scaffold_1,7493935,7521857,7508069,25000,0.011007
scaffold_1,7521858,7547533,7534786,25000,0.006489
scaffold_1,7547534,7573529,7560538,25000,0.009312
scaffold_1,7573530,7599690,7586529,25000,0.01132
scaffold_1,7599691,7628052,7615035,25000,0.002035
scaffold_1,7628053,7653498,7640664,25000,0.003258
scaffold_1,7653499,7678974,7666173,25000,0.009539
scaffold_1,7678975,7704379,7691706,25000,0.004019
scaffold_1,7704380,7729434,7716891,25000,0.001824
scaffold_1,7729435,7754529,7741985,25000,0.001822
scaffold_1,7754530,7779907,7767224,25000,0.003639
scaffold_1,7779908,7806170,7793144,25000,0.008258
scaffold_1,7806171,7832557,7819279,25000,0.00471
scaffold_1,7832558,7858134,7845339,25000,0.000904
scaffold_1,7858135,7886017,7871519,25000,0.006992
scaffold_1,7886018,7912245,7899445,25000,0.005332
scaffold_1,7912246,7937738,7924856,25000,0.005554
scaffold_1,7937739,7967352,7951386,25000,0.013158
scaffold_1,7967353,7993148,7980168,25000,0.006944
scaffold_1,7993149,8018613,8005743,25000,0.002218
scaffold_1,8018614,8043686,8031174,25000,0.000552
scaffold_1,8043687,8069420,8056369,25000,0.002777
scaffold_1,8069422,8095659,8082786,25000,0.001371
scaffold_1,8095660,8121352,8108510,25000,0.005902
scaffold_1,8121353,8150703,8134493,25000,0.003867
scaffold_1,8150704,8214361,8182362,25000,0.014698
scaffold_1,8214362,8252437,8234390,25000,0.0082
scaffold_1,8252438,8383863,8301972,25000,0.018755
scaffold_1,8383864,8411559,8398228,25000,0.00736
scaffold_1,8411560,8436763,8424144,25000,0.004381
scaffold_1,8436764,8466027,8452533,25000,0.008486
scaffold_1,8466028,8492964,8478993,25000,0.008051
scaffold_1,8492965,8554122,8524664,25000,0.010468
scaffold_1,8554123,8580338,8567320,25000,0.007638
scaffold_1,8580339,8620838,8600596,25000,0.019508
scaffold_1,8620839,8705763,8666727,25000,0.009469
scaffold_1,8705764,8795388,8766058,25000,0.010585
scaffold_1,8795389,8834106,8816760,25000,0.018644
scaffold_1,8834107,8860190,8847302,25000,0.005066
scaffold_1,8860191,8890287,8876123,25000,0.009698
scaffold_1,8890288,8915914,8903153,25000,0.005631
scaffold_1,8915915,8941115,8928531,25000,0.007411
scaffold_1,8941116,8966812,8953914,25000,0.01034
scaffold_1,8966813,8992097,8979460,25000,0.004437
scaffold_1,8992098,9018123,9005128,25000,0.009047
scaffold_1,9018124,9043664,9030843,25000,0.008015
scaffold_1,9043665,9069483,9056631,25000,0.008256
scaffold_1,9069484,9097660,9083264,25000,0.013876
scaffold_1,9097661,9128232,9112511,25000,0.014647
scaffold_1,9128233,9156341,9141774,25000,0.012546
scaffold_1,9156342,9184069,9169874,25000,0.014052
scaffold_1,9184070,9218966,9202442,25000,0.018161
scaffold_1,9218967,9250460,9235115,25000,0.014272
scaffold_1,9250461,9276392,9263533,25000,0.008908
scaffold_1,9276393,9302424,9289307,25000,0.014059
scaffold_1,9302425,9342139,9324649,25000,0.01722
scaffold_1,9342140,9368081,9355251,25000,0.007781
scaffold_1,9368082,9393481,9380848,25000,0.005753
scaffold_1,9393482,9419353,9406390,25000,0.003761
scaffold_1,9419354,9482629,9459847,25000,0.010354
scaffold_1,9482630,9510866,9496136,25000,0.014843
scaffold_1,9510867,9541290,9526281,25000,0.015289
scaffold_1,9541291,9579146,9559288,25000,0.014755
scaffold_1,9579147,9606666,9592680,25000,0.013165
scaffold_1,9606667,9652663,9633154,25000,0.013735
scaffold_1,9652664,9688747,9672161,25000,0.011875
scaffold_1,9688748,9755111,9715908,25000,0.015206
scaffold_1,9755112,9804038,9776383,25000,0.014691
scaffold_1,9804039,9844111,9829015,25000,0.012982
scaffold_1,9844112,9872118,9858137,25000,0.009377
scaffold_1,9872119,9908133,9889902,25000,0.009778
scaffold_1,9908134,9945183,9927334,25000,0.022899
scaffold_1,9945184,9991332,9972024,25000,0.019182
scaffold_1,9991333,10018108,10004688,25000,0.004178
scaffold_1,10018109,10059829,10040179,25000,0.011476
scaffold_1,10059830,10086917,10073444,25000,0.01316
scaffold_1,10086918,10114334,10101536,25000,0.010862
scaffold_1,10114335,10141049,10126969,25000,0.001878
scaffold_1,10141077,10166256,10153733,25000,0.00136
scaffold_1,10166257,10191278,10178769,25000,0.002307
scaffold_1,10191279,10216398,10203823,25000,0.002603
scaffold_1,10216399,10241489,10228927,25000,0.001816
scaffold_1,10241490,10268331,10254765,25000,0.007839
scaffold_1,10268332,10293369,10280846,25000,0.002143
scaffold_1,10293370,10318820,10306087,25000,0.004687
scaffold_1,10318821,10344231,10331456,25000,0.004681
scaffold_1,10344232,10385941,10361665,25000,0.002561
scaffold_1,10385942,10412297,10399020,25000,0.003727
scaffold_1,10412298,10438207,10425472,25000,0.003727
scaffold_1,10438208,10463575,10450929,25000,0.002273
scaffold_1,10463576,10488588,10476083,25000,0.001346
scaffold_1,10488589,10514202,10501159,25000,0.004913
scaffold_1,10514203,10540154,10526987,25000,0.005065
scaffold_1,10540155,10566276,10553305,25000,0.006904
scaffold_1,10566277,10591458,10578848,25000,0.002
scaffold_1,10591459,10616831,10604207,25000,0.003099
scaffold_1,10616832,10642990,10630196,25000,0.00595
scaffold_1,10642991,10674966,10661653,25000,0.005705
scaffold_1,10674967,10700452,10687721,25000,0.002823
scaffold_1,10700453,10726030,10713236,25000,0.003105
scaffold_1,10726031,10752407,10739363,25000,0.013213
scaffold_1,10752408,10783181,10765336,25000,0.007395
scaffold_1,10783182,10810191,10797367,25000,0.001815
scaffold_1,10810192,10835717,10822939,25000,0.005179
scaffold_1,10835718,10861007,10848398,25000,0.006327
scaffold_1,10861008,10888080,10873957,25000,0.013278
scaffold_1,10888081,10913458,10900756,25000,0.004158
scaffold_1,10913459,10938934,10926041,25000,0.004121
scaffold_1,10938935,10965111,10951989,25000,0.008559
scaffold_1,10965112,10993661,10979540,25000,0.019705
scaffold_1,10993662,11019420,11006618,25000,0.005145
scaffold_1,11019421,11044947,11032279,25000,0.007088
scaffold_1,11044948,11070760,11057775,25000,0.005776
scaffold_1,11070761,11096307,11083559,25000,0.005463
scaffold_1,11096308,11132070,11110855,25000,0.00576
scaffold_1,11132071,11157939,11144756,25000,0.007179
scaffold_1,11157940,11183234,11170631,25000,0.006785
scaffold_1,11183235,11209585,11196198,25000,0.008864
scaffold_1,11209586,11237058,11223840,25000,0.007735
scaffold_1,11237059,11264249,11250566,25000,0.013944
scaffold_1,11264250,11289404,11276817,25000,0.003333
scaffold_1,11289405,11316212,11302744,25000,0.004951
scaffold_1,11316213,11341561,11328912,25000,0.005542
scaffold_1,11341562,11366976,11354222,25000,0.003289
scaffold_1,11366977,11394953,11380985,25000,0.002169
scaffold_1,11394954,11420105,11407533,25000,0.004207
scaffold_1,11420106,11448482,11432924,25000,0.001502
scaffold_1,11448483,11473537,11461002,25000,0.001831
scaffold_1,11473538,11498889,11486228,25000,0.004157
scaffold_1,11498890,11524145,11511472,25000,0.003686
scaffold_1,11524146,11549930,11537041,25000,0.007791
scaffold_1,11549931,11575531,11562783,25000,0.004633
scaffold_1,11575532,11601037,11588139,25000,0.004616
scaffold_1,11601038,11627139,11614219,25000,0.016593
scaffold_1,11627140,11665023,11646248,25000,0.011816
scaffold_1,11665024,11691026,11678008,25000,0.012379
scaffold_1,11691028,11744424,11710655,25000,0.012754
scaffold_1,11744425,11770203,11757357,25000,0.005681
scaffold_1,11770204,11796617,11783365,25000,0.005446
scaffold_1,11796618,11823101,11809767,25000,0.003796
scaffold_1,11823102,11849400,11836158,25000,0.006622
scaffold_1,11849401,11875834,11862838,25000,0.005357
scaffold_1,11875835,11901892,11889221,25000,0.00322
scaffold_1,11901893,11950098,11926792,25000,0.002567
scaffold_1,11950099,11993227,11972433,25000,0.00635
scaffold_1,11993228,12020280,12006064,25000,0.004503
scaffold_1,12020281,12050623,12036929,25000,0.005655
scaffold_1,12050624,12081034,12067596,25000,0.002326
scaffold_1,12081035,12106449,12093637,25000,0.002682
scaffold_1,12106450,12133832,12119672,25000,0.009288
scaffold_1,12133833,12159043,12146419,25000,0.005903
scaffold_1,12159044,12184141,12171607,25000,0.003505
scaffold_1,12184142,12209532,12196861,25000,0.003807
scaffold_1,12209533,12234846,12222165,25000,0.003924
scaffold_1,12234847,12259909,12247366,25000,0.0011
scaffold_1,12259910,12285065,12272515,25000,0.002036
scaffold_1,12285066,12310230,12297699,25000,0.001438
scaffold_1,12310231,12343672,12328258,25000,0.000876
scaffold_1,12343673,12369485,12356630,25000,0.005852
scaffold_1,12369486,12395105,12382583,25000,0.001854
scaffold_1,12395106,12421603,12407748,25000,0.001694
scaffold_1,12421604,12446839,12434193,25000,0.006022
scaffold_1,12446840,12472346,12459430,25000,0.003636
scaffold_1,12472347,12505066,12490104,25000,0.011685
scaffold_1,12505067,12530713,12518018,25000,0.010097
scaffold_1,12530714,12557167,12544024,25000,0.01097
scaffold_1,12557168,12583630,12570324,25000,0.005103
scaffold_1,12583631,12627585,12612451,25000,0.012774
scaffold_1,12627586,12664894,12644767,25000,0.008308
scaffold_1,12664895,12691221,12677817,25000,0.007064
scaffold_1,12691222,12718560,12705576,25000,0.005399
scaffold_1,12718561,12743823,12731198,25000,0.00482
scaffold_1,12743824,12772420,12757664,25000,0.017961
scaffold_1,12772421,12801007,12787476,25000,0.014113
scaffold_1,12801008,12829257,12815030,25000,0.011053
scaffold_1,12829258,12855158,12842145,25000,0.011772
scaffold_1,12855159,12886213,12870154,25000,0.010709
scaffold_1,12886214,12912083,12898858,25000,0.006271
scaffold_1,12912084,12943286,12928875,25000,0.013736
scaffold_1,12943287,12987810,12959764,25000,0.010233
scaffold_1,12987811,13018610,13002848,25000,0.01038
scaffold_1,13018611,13074714,13049134,25000,0.011413
scaffold_1,13074715,13158119,13109908,25000,0.010069
scaffold_1,13158120,13184512,13171855,25000,0.002986
scaffold_1,13184513,13211507,13197555,25000,0.001088
scaffold_1,13211508,13238538,13224696,25000,0.008431
scaffold_1,13238539,13278705,13256881,25000,0.008763
scaffold_1,13278706,13336051,13301368,25000,0.00967
scaffold_1,13336052,13364324,13350062,25000,0.018004
scaffold_1,13364325,13403972,13385706,25000,0.014365
scaffold_1,13403973,13429316,13416617,25000,0.008148
scaffold_1,13429317,13455312,13442271,25000,0.004474
scaffold_1,13455313,13481900,13468472,25000,0.016807
scaffold_1,13481901,13516382,13502936,25000,0.007856
scaffold_1,13516383,13542292,13529123,25000,0.006823
scaffold_1,13542293,13568107,13555313,25000,0.010233
scaffold_1,13568108,13594459,13581200,25000,0.010375
scaffold_1,13594460,13622856,13609295,25000,0.009051
scaffold_1,13622857,13648378,13635578,25000,0.007364
scaffold_1,13648379,13676633,13662927,25000,0.005578
scaffold_1,13676634,13703828,13690114,25000,0.009226
scaffold_1,13703829,13729443,13716486,25000,0.00529
scaffold_1,13729444,13755270,13742312,25000,0.007461
scaffold_1,13755271,13781008,13768144,25000,0.004332
scaffold_1,13781009,13807374,13794278,25000,0.007512
scaffold_1,13807375,13832728,13820035,25000,0.003626
scaffold_1,13832729,13858403,13845528,25000,0.003026
scaffold_1,13858404,13883713,13871122,25000,0.002288
scaffold_1,13883714,13909575,13896499,25000,0.00489
scaffold_1,13909576,13935288,13922678,25000,0.00186
scaffold_1,13935289,13960594,13947949,25000,0.002309
scaffold_1,13960595,13985872,13973250,25000,0.002871
scaffold_1,13985873,14029763,14015384,25000,0.008876
scaffold_1,14029764,14055521,14042630,25000,0.004231
scaffold_1,14055522,14081428,14068390,25000,0.006237
scaffold_1,14081429,14107296,14094189,25000,0.006345
scaffold_1,14107297,14132842,14119981,25000,0.005614
scaffold_1,14132843,14159428,14146208,25000,0.009814
scaffold_1,14159429,14184985,14172186,25000,0.008338
scaffold_1,14184986,14210918,14198010,25000,0.006589
scaffold_1,14210919,14248398,14227773,25000,0.00821
scaffold_1,14248399,14276474,14262936,25000,0.007474
scaffold_1,14276475,14304418,14289953,25000,0.00367
scaffold_1,14304419,14329720,14317077,25000,0.005767
scaffold_1,14329721,14355167,14342476,25000,0.006747
scaffold_1,14355168,14380722,14367962,25000,0.003943
scaffold_1,14380723,14407801,14393713,25000,0.007819
scaffold_1,14407802,14433795,14421033,25000,0.010756
scaffold_1,14433796,14489891,14472303,25000,0.004018
scaffold_1,14489892,14532826,14505560,25000,0.004956
scaffold_1,14532827,14562933,14548142,25000,0.015327
scaffold_1,14562934,14588154,14575612,25000,0.002946
scaffold_1,14588155,14614037,14601117,25000,0.007503
scaffold_1,14614038,14639553,14626757,25000,0.003529
scaffold_1,14639554,14674728,14655353,25000,0.003207
scaffold_1,14674729,14704604,14690883,25000,0.014114
scaffold_1,14704605,14730865,14717583,25000,0.0124
scaffold_1,14730866,14787849,14755867,25000,0.011809
scaffold_1,14787850,14815723,14801334,25000,0.008871
scaffold_1,14815727,14841525,14828597,25000,0.007058
scaffold_1,14841526,14867175,14854385,25000,0.011194
scaffold_1,14867176,14894601,14880626,25000,0.01407
scaffold_1,14894602,14923634,14909232,25000,0.016559
scaffold_1,14923635,14949695,14936784,25000,0.007546
scaffold_1,14949696,14974915,14962248,25000,0.001792
scaffold_1,14974916,15001078,14987595,25000,0.006314
scaffold_1,15001079,15028807,15015333,25000,0.012958
scaffold_1,15028808,15054359,15041575,25000,0.006017
scaffold_1,15054360,15153530,15098072,25000,0.01523
scaffold_1,15153531,15191765,15172410,25000,0.012055
scaffold_1,15191766,15218232,15204664,25000,0.005785
scaffold_1,15218233,15243698,15230995,25000,0.004801
scaffold_1,15243699,15269135,15256475,25000,0.003018
scaffold_1,15269136,15294479,15281950,25000,0.001478
scaffold_1,15294480,15319675,15307032,25000,0.002518
scaffold_1,15319676,15346453,15333741,25000,0.004639
scaffold_1,15346454,15375599,15360047,25000,0.003645
scaffold_1,15375600,15405497,15390334,25000,0.009827
scaffold_1,15405498,15431042,15418310,25000,0.00848
scaffold_1,15431043,15456623,15443775,25000,0.005145
scaffold_1,15456624,15482195,15469449,25000,0.005775
scaffold_1,15482196,15507456,15494844,25000,0.002655
scaffold_1,15507457,15533035,15520206,25000,0.003669
