scaffold,start,end,mid,sites,pi_Ass
scaffold_1,2467882,2493571,2480740,25000,0.008454
scaffold_1,2493572,2520042,2506855,25000,0.00812
scaffold_1,2520043,2545492,2532784,25000,0.006056
scaffold_1,2545493,2572644,2559095,25000,0.010024
scaffold_1,2572645,2599025,2585761,25000,0.009574
scaffold_1,2599026,2624635,2611844,25000,0.009274
scaffold_1,2624636,2650702,2637552,25000,0.003945
scaffold_1,2650703,2687375,2668661,25000,0.009144
scaffold_1,2687376,2719244,2705545,25000,0.005767
scaffold_1,2719245,2744799,2731945,25000,0.005439
scaffold_1,2744800,2770442,2757591,25000,0.007559
scaffold_1,2770443,2798693,2785159,25000,0.016145
scaffold_1,2798694,2824438,2811584,25000,0.006326
scaffold_1,2824439,2849665,2837001,25000,0.005351
scaffold_1,2849666,2875369,2862565,25000,0.007486
scaffold_1,2875370,2901893,2888637,25000,0.006192
scaffold_1,2901894,2929153,2915120,25000,0.005948
scaffold_1,2929154,2956435,2942262,25000,0.007992
scaffold_1,2956436,2982018,2969200,25000,0.008878
scaffold_1,2982019,3014243,2998783,25000,0.008191
scaffold_1,3014244,3039901,3027076,25000,0.003161
scaffold_1,3039902,3071546,3056198,25000,0.004493
scaffold_1,3071547,3098249,3085059,25000,0.00719
scaffold_1,3098250,3123625,3110925,25000,0.007247
scaffold_1,3123626,3149961,3136918,25000,0.008967
scaffold_1,3149962,3177886,3164185,25000,0.004162
scaffold_1,3177887,3203269,3190504,25000,0.005069
scaffold_1,3203270,3228929,3216027,25000,0.005416
scaffold_1,3228930,3255831,3242110,25000,0.006231
scaffold_1,3255832,3285493,3270787,25000,0.004256
scaffold_1,3285494,3310915,3298245,25000,0.004692
scaffold_1,3310916,3336337,3323638,25000,0.005007
scaffold_1,3336338,3362068,3349220,25000,0.006718
scaffold_1,3362069,3391103,3377080,25000,0.006763
scaffold_1,3391104,3417659,3404702,25000,0.003944
scaffold_1,3417660,3443444,3430549,25000,0.002536
scaffold_1,3443445,3480713,3457257,25000,0.003632
scaffold_1,3480714,3506342,3493343,25000,0.0061
scaffold_1,3506343,3535722,3520069,25000,0.006742
scaffold_1,3535723,3562185,3548667,25000,0.010546
scaffold_1,3562186,3589694,3576197,25000,0.00372
scaffold_1,3589695,3615571,3602663,25000,0.006869
scaffold_1,3615572,3642684,3629718,25000,0.007847
scaffold_1,3642685,3671887,3657175,25000,0.002521
scaffold_1,3671888,3697339,3684526,25000,0.005401
scaffold_1,3697340,3727903,3712147,25000,0.007028
scaffold_1,3727904,3763151,3742738,25000,0.006425
scaffold_1,3763152,3796805,3776309,25000,0.005996
scaffold_1,3796806,3824128,3810528,25000,0.013424
scaffold_1,3824129,3852100,3838287,25000,0.007931
scaffold_1,3852101,3879941,3866380,25000,0.00664
scaffold_1,3879942,3905218,3892573,25000,0.005136
scaffold_1,3905219,3932556,3918378,25000,0.005157
scaffold_1,3932557,3957969,3945272,25000,0.005049
scaffold_1,3957970,3983438,3970739,25000,0.004569
scaffold_1,3983439,4013182,3998521,25000,0.004236
scaffold_1,4013183,4038522,4025882,25000,0.004255
scaffold_1,4038523,4064135,4051310,25000,0.00431
scaffold_1,4064136,4089580,4076836,25000,0.003552
scaffold_1,4089581,4115137,4102299,25000,0.005053
scaffold_1,4115138,4141642,4128430,25000,0.006907
scaffold_1,4141643,4168361,4154666,25000,0.006865
scaffold_1,4168362,4193705,4181048,25000,0.005229
scaffold_1,4193706,4219392,4206620,25000,0.003061
scaffold_1,4219393,4249334,4235958,25000,0.004104
scaffold_1,4249335,4277314,4262787,25000,0.006824
scaffold_1,4277315,4302567,4289978,25000,0.004235
scaffold_1,4302568,4330693,4316740,25000,0.007895
scaffold_1,4330694,4359404,4344252,25000,0.006735
scaffold_1,4359405,4387443,4373278,25000,0.004432
scaffold_1,4387444,4414058,4400282,25000,0.004567
scaffold_1,4414059,4439926,4427072,25000,0.00783
scaffold_1,4439927,4465848,4452833,25000,0.006594
scaffold_1,4465849,4511947,4480726,25000,0.004309
scaffold_1,4511948,4537692,4524874,25000,0.006342
scaffold_1,4537693,4564514,4550991,25000,0.006305
scaffold_1,4564515,4590930,4577471,25000,0.002825
scaffold_1,4590931,4616814,4603884,25000,0.005384
scaffold_1,4616815,4645771,4630550,25000,0.003613
scaffold_1,4645772,4671392,4658556,25000,0.005123
scaffold_1,4671393,4698437,4685222,25000,0.004989
scaffold_1,4698438,4724611,4711273,25000,0.002639
scaffold_1,4724612,4750342,4737402,25000,0.003086
scaffold_1,4750343,4776515,4763311,25000,0.005109
scaffold_1,4776516,4801803,4789199,25000,0.003026
scaffold_1,4801804,4836034,4818597,25000,0.0052
scaffold_1,4836035,4861370,4848692,25000,0.004967
scaffold_1,4861371,4887720,4874899,25000,0.002789
scaffold_1,4887721,4919492,4903677,25000,0.005171
scaffold_1,4919493,4945333,4932348,25000,0.004362
scaffold_1,4945334,4971025,4958153,25000,0.0039
scaffold_1,4971026,5000490,4985641,25000,0.005141
scaffold_1,5000491,5026022,5013300,25000,0.003169
scaffold_1,5026023,5051635,5038893,25000,0.001498
scaffold_1,5051636,5077668,5064868,25000,0.002099
scaffold_1,5077669,5103264,5090411,25000,0.006184
scaffold_1,5103265,5128635,5116026,25000,0.002964
scaffold_1,5128636,5154568,5141441,25000,0.0066
scaffold_1,5154569,5181122,5167283,25000,0.006388
scaffold_1,5181123,5206394,5193758,25000,0.002949
scaffold_1,5206395,5231922,5219009,25000,0.00233
scaffold_1,5231923,5258681,5244937,25000,0.001889
scaffold_1,5258682,5285733,5272433,25000,0.008601
scaffold_1,5285734,5310947,5298367,25000,0.001304
scaffold_1,5310948,5336107,5323532,25000,0.002773
scaffold_1,5336108,5361869,5348984,25000,0.00394
scaffold_1,5361870,5390387,5375476,25000,0.003299
scaffold_1,5390388,5416104,5403100,25000,0.003129
scaffold_1,5416105,5441357,5428737,25000,0.001565
scaffold_1,5441358,5466590,5453993,25000,0.002751
scaffold_1,5466591,5492043,5479331,25000,0.005485
scaffold_1,5492044,5519684,5506372,25000,0.004872
scaffold_1,5519685,5545760,5532405,25000,0.002959
scaffold_1,5545761,5570947,5558385,25000,0.003396
scaffold_1,5570948,5596855,5583727,25000,0.002317
scaffold_1,5596856,5622682,5609604,25000,0.007119
scaffold_1,5622683,5650943,5637703,25000,0.006849
scaffold_1,5650944,5677232,5663899,25000,0.009469
scaffold_1,5677233,5702759,5689897,25000,0.005451
scaffold_1,5702760,5729472,5715861,25000,0.006188
scaffold_1,5729474,5754741,5742129,25000,0.003134
scaffold_1,5754742,5782111,5769085,25000,0.003968
scaffold_1,5782112,5807673,5794819,25000,0.003979
scaffold_1,5807674,5834319,5820583,25000,0.007578
scaffold_1,5834320,5868543,5850631,25000,0.005149
scaffold_1,5868544,5902952,5886577,25000,0.004102
scaffold_1,5902953,5929533,5916446,25000,0.006147
scaffold_1,5929534,5956868,5943244,25000,0.005868
scaffold_1,5956869,5982570,5969941,25000,0.004391
scaffold_1,5982571,6009531,5995636,25000,0.00574
scaffold_1,6009532,6035566,6022622,25000,0.005019
scaffold_1,6035567,6061743,6048633,25000,0.005628
scaffold_1,6061744,6087453,6074613,25000,0.006214
scaffold_1,6087454,6130974,6102590,25000,0.005232
scaffold_1,6130975,6157531,6143659,25000,0.006995
scaffold_1,6157532,6182692,6170122,25000,0.003747
scaffold_1,6182693,6208190,6195352,25000,0.002317
scaffold_1,6208191,6233486,6220883,25000,0.002743
scaffold_1,6233487,6260832,6247245,25000,0.00301
scaffold_1,6260833,6293766,6281025,25000,0.002559
scaffold_1,6293767,6319313,6306548,25000,0.005726
scaffold_1,6319314,6344937,6332110,25000,0.004118
scaffold_1,6344938,6370550,6357764,25000,0.006494
scaffold_1,6370551,6396645,6383319,25000,0.00522
scaffold_1,6396646,6421881,6409311,25000,0.004323
scaffold_1,6421882,6447163,6434493,25000,0.001768
scaffold_1,6447164,6475439,6459976,25000,0.002811
scaffold_1,6475440,6501146,6488172,25000,0.003781
scaffold_1,6501147,6526301,6513737,25000,0.003367
scaffold_1,6526302,6552943,6539803,25000,0.005055
scaffold_1,6552944,6578578,6565794,25000,0.004042
scaffold_1,6578579,6606990,6593329,25000,0.005991
scaffold_1,6606991,6632355,6619672,25000,0.003982
scaffold_1,6632356,6658001,6645081,25000,0.007162
scaffold_1,6658002,6687389,6671576,25000,0.006262
scaffold_1,6687393,6713624,6700394,25000,0.003465
scaffold_1,6713625,6739918,6727029,25000,0.002354
scaffold_1,6739919,6765258,6752496,25000,0.002012
scaffold_1,6765259,6796132,6779890,25000,0.003008
scaffold_1,6796133,6822082,6809196,25000,0.006455
scaffold_1,6822083,6848409,6835320,25000,0.006466
scaffold_1,6848410,6876043,6862210,25000,0.006611
scaffold_1,6876044,6901509,6888771,25000,0.006252
scaffold_1,6901510,6926878,6914195,25000,0.006996
scaffold_1,6926879,6954121,6940646,25000,0.005893
scaffold_1,6954122,6979614,6966931,25000,0.004012
scaffold_1,6979615,7006890,6992678,25000,0.002766
scaffold_1,7006891,7032676,7019954,25000,0.005797
scaffold_1,7032677,7059229,7045729,25000,0.003125
scaffold_1,7059230,7086015,7073401,25000,0.002817
scaffold_1,7086016,7111258,7098602,25000,0.002751
scaffold_1,7111259,7138894,7125174,25000,0.005086
scaffold_1,7138895,7164052,7151454,25000,0.001927
scaffold_1,7164053,7190411,7177402,25000,0.006196
scaffold_1,7190412,7252661,7237485,25000,0.00319
scaffold_1,7252662,7278083,7265338,25000,0.006521
scaffold_1,7278084,7315332,7291503,25000,0.006672
scaffold_1,7315333,7342067,7329099,25000,0.00477
scaffold_1,7342068,7370824,7355133,25000,0.006019
scaffold_1,7370825,7398211,7384479,25000,0.010787
scaffold_1,7398212,7423643,7410884,25000,0.004485
scaffold_1,7423644,7449403,7436460,25000,0.005067
scaffold_1,7449404,7480596,7463716,25000,0.006497
scaffold_1,7480597,7505764,7493179,25000,0.0031
scaffold_1,7505765,7531159,7518511,25000,0.007992
scaffold_1,7531160,7556415,7543773,25000,0.00388
scaffold_1,7556416,7581687,7569048,25000,0.002014
scaffold_1,7581688,7609195,7595579,25000,0.003856
scaffold_1,7609196,7635175,7622081,25000,0.006079
scaffold_1,7635176,7661341,7648509,25000,0.008303
scaffold_1,7661342,7687472,7673987,25000,0.004291
scaffold_1,7687473,7715487,7701286,25000,0.005015
scaffold_1,7715488,7743420,7729203,25000,0.007182
scaffold_1,7743421,7768548,7755978,25000,0.002341
scaffold_1,7768549,7794458,7781507,25000,0.00564
scaffold_1,7794459,7819973,7807139,25000,0.004677
scaffold_1,7819974,7849391,7833522,25000,0.005484
scaffold_1,7849392,7874908,7862060,25000,0.005617
scaffold_1,7874909,7900783,7887634,25000,0.002965
scaffold_1,7900784,7926148,7913429,25000,0.002348
scaffold_1,7926149,7955804,7940603,25000,0.004865
scaffold_1,7955805,7984649,7969702,25000,0.004217
scaffold_1,7984650,8009963,7997309,25000,0.005531
scaffold_1,8009964,8038462,8024555,25000,0.009102
scaffold_1,8038463,8065335,8052004,25000,0.011801
scaffold_1,8065336,8091597,8078426,25000,0.0052
scaffold_1,8091598,8120101,8106403,25000,0.006786
scaffold_1,8120102,8145993,8133123,25000,0.007108
scaffold_1,8145994,8173577,8159155,25000,0.008348
scaffold_1,8173578,8202529,8187150,25000,0.011393
scaffold_1,8202530,8237461,8224124,25000,0.008904
scaffold_1,8237462,8263870,8250507,25000,0.007509
scaffold_1,8263871,8291062,8277575,25000,0.007885
scaffold_1,8291063,8331757,8311211,25000,0.00714
scaffold_1,8331758,8362068,8346338,25000,0.008492
scaffold_1,8362069,8388776,8375589,25000,0.012905
scaffold_1,8388777,8415097,8401923,25000,0.014472
scaffold_1,8415098,8443288,8428610,25000,0.008304
scaffold_1,8443289,8469610,8456536,25000,0.006369
scaffold_1,8469611,8496245,8483023,25000,0.007185
scaffold_1,8496246,8522679,8509450,25000,0.010396
scaffold_1,8522680,8555571,8538930,25000,0.011544
scaffold_1,8555572,8581786,8568700,25000,0.007018
scaffold_1,8581787,8609523,8595626,25000,0.006993
scaffold_1,8609524,8638605,8625045,25000,0.007082
scaffold_1,8638606,8664543,8651400,25000,0.007186
scaffold_1,8664544,8689946,8677243,25000,0.007213
scaffold_1,8689947,8715793,8702728,25000,0.005879
scaffold_1,8715794,8743675,8729728,25000,0.00437
scaffold_1,8743676,8774761,8759386,25000,0.004958
scaffold_1,8774762,8800224,8787428,25000,0.004413
scaffold_1,8800225,8837387,8823079,25000,0.00751
scaffold_1,8837388,8863162,8850469,25000,0.007098
scaffold_1,8863163,8891861,8877678,25000,0.009039
scaffold_1,8891862,8917998,8905119,25000,0.005576
scaffold_1,8917999,8944164,8931190,25000,0.007194
scaffold_1,8944165,8969430,8956782,25000,0.005014
scaffold_1,8969431,8995259,8982510,25000,0.009268
scaffold_1,8995260,9020907,9008090,25000,0.016645
scaffold_1,9020908,9047773,9034384,25000,0.008195
scaffold_1,9047775,9078723,9064979,25000,0.00778
scaffold_1,9078724,9106631,9092606,25000,0.007154
scaffold_1,9106632,9132149,9119413,25000,0.006273
scaffold_1,9132150,9158411,9145338,25000,0.010405
scaffold_1,9158412,9184284,9171283,25000,0.007622
scaffold_1,9184285,9209683,9196912,25000,0.006202
scaffold_1,9209684,9235384,9222531,25000,0.009617
scaffold_1,9235385,9261950,9248196,25000,0.007131
scaffold_1,9261951,9290900,9275680,25000,0.008159
scaffold_1,9290901,9317600,9304208,25000,0.007944
scaffold_1,9317601,9344141,9331207,25000,0.008987
scaffold_1,9344142,9388244,9366004,25000,0.011101
scaffold_1,9388245,9413992,9401112,25000,0.006753
scaffold_1,9413993,9452901,9432643,25000,0.00862
scaffold_1,9452902,9488010,9474113,25000,0.016041
scaffold_1,9488011,9519573,9503527,25000,0.008021
scaffold_1,9519574,9547278,9534299,25000,0.006564
scaffold_1,9547279,9575882,9560775,25000,0.016232
scaffold_1,9575883,9602193,9588757,25000,0.011168
scaffold_1,9602194,9629137,9615023,25000,0.009824
scaffold_1,9629138,9711982,9654821,25000,0.024146
scaffold_1,9711983,9739620,9726003,25000,0.011931
scaffold_1,9739621,9767022,9753014,25000,0.0194
scaffold_1,9767023,9793511,9780224,25000,0.012196
scaffold_1,9793513,9819573,9806626,25000,0.00648
scaffold_1,9819574,9845801,9832834,25000,0.009567
scaffold_1,9845802,9873472,9859882,25000,0.010311
scaffold_1,9873473,9900550,9887449,25000,0.0032
scaffold_1,9900551,9927899,9914962,25000,0.007905
scaffold_1,9927900,9956913,9942210,25000,0.010711
scaffold_1,9956914,9986908,9971638,25000,0.011735
scaffold_1,9986909,10020132,10002401,25000,0.009388
scaffold_1,10020133,10046797,10033644,25000,0.006978
scaffold_1,10046798,10077644,10060844,25000,0.004243
scaffold_1,10077645,10106112,10091682,25000,0.003753
scaffold_1,10106113,10134520,10121144,25000,0.006949
scaffold_1,10134521,10161528,10147942,25000,0.002879
scaffold_1,10161529,10189555,10175579,25000,0.010756
scaffold_1,10189556,10215347,10202521,25000,0.014035
scaffold_1,10215348,10260823,10242658,25000,0.007598
scaffold_1,10260824,10292013,10274482,25000,0.007445
scaffold_1,10292014,10317643,10304770,25000,0.003276
scaffold_1,10317644,10344373,10330877,25000,0.002803
scaffold_1,10344374,10369779,10357117,25000,0.003736
scaffold_1,10369780,10397397,10383079,25000,0.008557
scaffold_1,10397398,10423555,10410547,25000,0.004467
scaffold_1,10423556,10456622,10441063,25000,0.005871
scaffold_1,10456623,10482848,10469529,25000,0.00248
scaffold_1,10482849,10510370,10496720,25000,0.005304
scaffold_1,10510371,10540686,10526870,25000,0.004796
scaffold_1,10540687,10572504,10554312,25000,0.007996
scaffold_1,10572506,10598692,10585774,25000,0.007498
scaffold_1,10598693,10625018,10611818,25000,0.004373
scaffold_1,10625019,10653045,10639283,25000,0.002052
scaffold_1,10653046,10678757,10665857,25000,0.004192
scaffold_1,10678758,10707018,10693743,25000,0.003655
scaffold_1,10707019,10732218,10719669,25000,0.00287
scaffold_1,10732219,10758229,10744899,25000,0.003274
scaffold_1,10758230,10785358,10771518,25000,0.005525
scaffold_1,10785359,10817759,10799793,25000,0.010277
scaffold_1,10817760,10844083,10831015,25000,0.00668
scaffold_1,10844084,10870173,10857345,25000,0.008012
scaffold_1,10870174,10896083,10883255,25000,0.008667
scaffold_1,10896084,10921977,10909087,25000,0.005456
scaffold_1,10921978,10948707,10935170,25000,0.009941
scaffold_1,10948708,10975040,10962030,25000,0.002852
scaffold_1,10975041,11002487,10988896,25000,0.009648
scaffold_1,11002488,11039882,11023584,25000,0.022374
scaffold_1,11039883,11104654,11076015,25000,0.007633
scaffold_1,11104655,11140131,11126737,25000,0.005665
scaffold_1,11140132,11166846,11153734,25000,0.007793
scaffold_1,11166847,11192294,11179609,25000,0.009122
scaffold_1,11192295,11217851,11204949,25000,0.003839
scaffold_1,11217852,11248714,11233827,25000,0.008772
scaffold_1,11248715,11276986,11263204,25000,0.005517
scaffold_1,11276987,11306531,11293017,25000,0.004986
scaffold_1,11306532,11332631,11319448,25000,0.004988
scaffold_1,11332632,11383811,11364148,25000,0.012773
scaffold_1,11383812,11421113,11401972,25000,0.012361
scaffold_1,11421114,11449696,11435563,25000,0.007259
scaffold_1,11449697,11498699,11470720,25000,0.004522
scaffold_1,11498700,11569987,11530249,25000,0.005461
scaffold_1,11569988,11613128,11586122,25000,0.003028
scaffold_1,11613129,11638214,11625673,25000,0.000939
scaffold_1,11638215,11663298,11650757,25000,0.000613
scaffold_1,11663299,11688967,11676068,25000,0.005863
scaffold_1,11688968,11714545,11701775,25000,0.003666
scaffold_1,11714546,11739902,11727160,25000,0.001414
scaffold_1,11739903,11766232,11752663,25000,0.006914
scaffold_1,11766233,11791702,11779014,25000,0.002659
scaffold_1,11791703,11817982,11804827,25000,0.002662
scaffold_1,11817983,11844274,11831018,25000,0.007526
scaffold_1,11844275,11870370,11857407,25000,0.00526
scaffold_1,11870371,11895933,11883074,25000,0.007047
scaffold_1,11895934,11921351,11908771,25000,0.004146
scaffold_1,11921352,11946959,11934156,25000,0.003151
scaffold_1,11946960,11972210,11959635,25000,0.003599
scaffold_1,11972211,11998566,11985007,25000,0.007453
scaffold_1,11998567,12025637,12012155,25000,0.006102
scaffold_1,12025638,12051112,12038332,25000,0.003347
scaffold_1,12051113,12079305,12065056,25000,0.00652
scaffold_1,12079306,12105282,12092461,25000,0.004742
scaffold_1,12105283,12142482,12129718,25000,0.003325
scaffold_1,12142483,12200592,12168678,25000,0.004553
scaffold_1,12200593,12228810,12214765,25000,0.006144
scaffold_1,12228811,12257147,12243565,25000,0.010754
scaffold_1,12257148,12283810,12270308,25000,0.008683
scaffold_1,12283811,12309283,12296524,25000,0.004171
scaffold_1,12309284,12335291,12322060,25000,0.005322
scaffold_1,12335292,12360788,12348073,25000,0.003453
scaffold_1,12360789,12394660,12375792,25000,0.005888
scaffold_1,12394661,12422708,12409499,25000,0.004227
scaffold_1,12422709,12457244,12439841,25000,0.009973
scaffold_1,12457245,12484895,12470594,25000,0.007409
scaffold_1,12484896,12549514,12530458,25000,0.013339
scaffold_1,12549515,12583705,12569371,25000,0.008658
scaffold_1,12583706,12626145,12609522,25000,0.010713
scaffold_1,12626146,12653235,12639863,25000,0.007529
scaffold_1,12653236,12682613,12668959,25000,0.007925
scaffold_1,12682614,12707908,12695252,25000,0.004634
scaffold_1,12707909,12778741,12727594,25000,0.007941
scaffold_1,12778742,12835852,12813467,25000,0.016217
scaffold_1,12835853,12879371,12860700,25000,0.009664
scaffold_1,12879372,12962208,12920635,25000,0.007852
scaffold_1,12962209,13002932,12983233,25000,0.002274
scaffold_1,13002933,13028075,13015497,25000,0.002337
scaffold_1,13028076,13053999,13041053,25000,0.002979
scaffold_1,13054000,13080069,13066981,25000,0.004446
scaffold_1,13080070,13106655,13092964,25000,0.002922
scaffold_1,13106656,13132652,13119684,25000,0.006669
scaffold_1,13132653,13158855,13145998,25000,0.002096
scaffold_1,13158856,13184598,13171739,25000,0.002039
scaffold_1,13184599,13268088,13245661,25000,0.001156
scaffold_1,13268089,13293195,13280635,25000,0.00219
scaffold_1,13293196,13318606,13305823,25000,0.004577
scaffold_1,13318607,13346194,13332980,25000,0.009162
scaffold_1,13346195,13371715,13358865,25000,0.003424
scaffold_1,13371716,13396925,13384357,25000,0.00206
scaffold_1,13396926,13423505,13410487,25000,0.00228
scaffold_1,13423506,13450688,13436944,25000,0.00972
scaffold_1,13450689,13477487,13464418,25000,0.003472
scaffold_1,13477488,13559886,13502591,25000,0.005771
scaffold_1,13559887,13588868,13572715,25000,0.002165
scaffold_1,13588869,13615918,13603135,25000,0.004114
scaffold_1,13615919,13641367,13628491,25000,0.003952
scaffold_1,13641368,13666637,13653968,25000,0.002371
scaffold_1,13666638,13695382,13681113,25000,0.00987
scaffold_1,13695383,13758937,13734223,25000,0.006258
scaffold_1,13758938,13787111,13772669,25000,0.003253
scaffold_1,13787112,13813288,13800310,25000,0.002578
scaffold_1,13813289,13838832,13825851,25000,0.001996
scaffold_1,13838833,13865983,13852994,25000,0.003527
scaffold_1,13865984,13892445,13879213,25000,0.004473
scaffold_1,13892446,13917561,13904996,25000,0.001779
scaffold_1,13917562,13942828,13930153,25000,0.001561
scaffold_1,13942829,13968996,13956023,25000,0.004898
scaffold_1,13968997,13997387,13983182,25000,0.009533
scaffold_1,13997388,14026006,14011487,25000,0.009612
scaffold_1,14026007,14051727,14038903,25000,0.006211
scaffold_1,14051728,14077718,14064648,25000,0.003846
scaffold_1,14077719,14104548,14090697,25000,0.004236
scaffold_1,14104549,14134025,14119903,25000,0.006926
scaffold_1,14134026,14161247,14147074,25000,0.009193
scaffold_1,14161248,14186974,14173962,25000,0.001521
scaffold_1,14186975,14212404,14199641,25000,0.001817
scaffold_1,14212405,14238249,14225339,25000,0.003102
scaffold_1,14238250,14264808,14251293,25000,0.001697
scaffold_1,14264809,14290043,14277494,25000,0.000917
scaffold_1,14290044,14315245,14302655,25000,0.001134
scaffold_1,14315246,14340359,14327808,25000,0.002398
scaffold_1,14340360,14365723,14353112,25000,0.002124
scaffold_1,14365724,14391388,14378504,25000,0.001879
scaffold_1,14391389,14418379,14404492,25000,0.003218
scaffold_1,14418380,14446521,14432030,25000,0.01033
scaffold_1,14446522,14511211,14482023,25000,0.013082
scaffold_1,14511212,14540917,14526190,25000,0.002236
scaffold_1,14540918,14566618,14554013,25000,0.002864
scaffold_1,14566619,14591953,14579278,25000,0.00185
scaffold_1,14591954,14617822,14604827,25000,0.002473
scaffold_1,14617823,14646278,14631609,25000,0.00765
scaffold_1,14646279,14672179,14659117,25000,0.013935
scaffold_1,14672180,14705742,14689234,25000,0.00505
scaffold_1,14705743,14735757,14721408,25000,0.010141
scaffold_1,14735758,14761699,14748596,25000,0.004205
scaffold_1,14761700,14789342,14775256,25000,0.008419
scaffold_1,14789343,14817024,14802706,25000,0.009772
scaffold_1,14817025,14881174,14856801,25000,0.012691
scaffold_1,14881175,14911328,14896862,25000,0.012525
scaffold_1,14911329,14940469,14926394,25000,0.011236
scaffold_1,14940470,14988238,14963213,25000,0.011798
scaffold_1,14988239,15027842,15004674,25000,0.013476
scaffold_1,15027843,15054270,15041219,25000,0.007267
scaffold_1,15054271,15140347,15099469,25000,0.010806
scaffold_1,15140348,15179018,15161170,25000,0.007475
scaffold_1,15179019,15222546,15198998,25000,0.008098
scaffold_1,15222547,15249750,15235803,25000,0.008313
scaffold_1,15249751,15292176,15266502,25000,0.003467
