scaffold,start,end,mid,sites,pi_Sms
scaffold_1,5546564,5573068,5559498,25000,0.004732
scaffold_1,5573069,5599238,5586471,25000,0.005114
scaffold_1,5599239,5624980,5612119,25000,0.00427
scaffold_1,5624981,5651181,5637988,25000,0.007648
scaffold_1,5651182,5677808,5664611,25000,0.00525
scaffold_1,5677809,5706807,5691447,25000,0.006261
scaffold_1,5706808,5732137,5719450,25000,0.002985
scaffold_1,5732138,5758229,5745203,25000,0.005304
scaffold_1,5758230,5784814,5771908,25000,0.005412
scaffold_1,5784815,5811587,5798124,25000,0.005942
scaffold_1,5811588,5854344,5832738,25000,0.014885
scaffold_1,5854345,5881006,5868080,25000,0.004643
scaffold_1,5881007,5909453,5896028,25000,0.001548
scaffold_1,5909454,5935176,5922213,25000,0.002436
scaffold_1,5935177,5961378,5948399,25000,0.005695
scaffold_1,5961379,6001280,5982248,25000,0.002909
scaffold_1,6001281,6026872,6013977,25000,0.003866
scaffold_1,6026873,6054765,6041346,25000,0.003244
scaffold_1,6054766,6080210,6067455,25000,0.001726
scaffold_1,6080211,6105574,6092881,25000,0.00209
scaffold_1,6105575,6146523,6123344,25000,0.004827
scaffold_1,6146524,6173092,6159630,25000,0.003631
scaffold_1,6173093,6199416,6186200,25000,0.002756
scaffold_1,6199417,6225483,6212500,25000,0.002904
scaffold_1,6225484,6257171,6242210,25000,0.003424
scaffold_1,6257172,6303952,6280265,25000,0.005643
scaffold_1,6303953,6330653,6317158,25000,0.003485
scaffold_1,6330654,6356828,6343418,25000,0.00293
scaffold_1,6356829,6388010,6372814,25000,0.004557
scaffold_1,6388011,6413404,6400701,25000,0.004904
scaffold_1,6413405,6439057,6426174,25000,0.002916
scaffold_1,6439058,6464998,6451950,25000,0.001455
scaffold_1,6464999,6492147,6478141,25000,0.005768
scaffold_1,6492148,6522053,6507693,25000,0.007459
scaffold_1,6522054,6549835,6536295,25000,0.00683
scaffold_1,6549836,6594558,6570067,25000,0.005561
scaffold_1,6594559,6620065,6607343,25000,0.004306
scaffold_1,6620066,6645712,6632827,25000,0.005878
scaffold_1,6645713,6672543,6659153,25000,0.00496
scaffold_1,6672544,6700570,6686115,25000,0.007694
scaffold_1,6700571,6729142,6714761,25000,0.010454
scaffold_1,6729143,6757211,6743559,25000,0.006583
scaffold_1,6757212,6784121,6770639,25000,0.007092
scaffold_1,6784122,6809518,6796819,25000,0.003166
scaffold_1,6809519,6847783,6826905,25000,0.003643
scaffold_1,6847784,6874030,6860809,25000,0.00574
scaffold_1,6874031,6899528,6886743,25000,0.004152
scaffold_1,6899529,6924764,6912171,25000,0.003162
scaffold_1,6924765,6961954,6946217,25000,0.005695
scaffold_1,6961955,7004180,6988598,25000,0.011424
scaffold_1,7004181,7029766,7017131,25000,0.003093
scaffold_1,7029767,7058090,7043028,25000,0.005805
scaffold_1,7058091,7083668,7070776,25000,0.003647
scaffold_1,7083669,7111172,7097547,25000,0.005239
scaffold_1,7111173,7137585,7124553,25000,0.007458
scaffold_1,7137586,7181509,7163152,25000,0.012961
scaffold_1,7181510,7217591,7199538,25000,0.004804
scaffold_1,7217592,7245328,7230984,25000,0.004433
scaffold_1,7245329,7272514,7259445,25000,0.004426
scaffold_1,7272515,7297773,7285156,25000,0.003419
scaffold_1,7297774,7323929,7310872,25000,0.006028
scaffold_1,7323930,7351702,7337279,25000,0.005369
scaffold_1,7351704,7378103,7365225,25000,0.00619
scaffold_1,7378104,7407455,7392255,25000,0.00323
scaffold_1,7407456,7432802,7420114,25000,0.004278
scaffold_1,7432803,7459535,7446314,25000,0.002578
scaffold_1,7459536,7484999,7472331,25000,0.002301
scaffold_1,7485000,7512854,7500252,25000,0.001617
scaffold_1,7512855,7538822,7525803,25000,0.003055
scaffold_1,7538823,7564854,7551969,25000,0.002705
scaffold_1,7564855,7591116,7578126,25000,0.00372
scaffold_1,7591117,7622386,7606703,25000,0.006656
scaffold_1,7622387,7650437,7636315,25000,0.009271
scaffold_1,7650438,7676064,7663228,25000,0.006185
scaffold_1,7676065,7705726,7692635,25000,0.004951
scaffold_1,7705727,7731297,7718423,25000,0.004641
scaffold_1,7731298,7756936,7744230,25000,0.003257
scaffold_1,7756937,7782717,7769792,25000,0.007423
scaffold_1,7782718,7811306,7797584,25000,0.007118
scaffold_1,7811307,7849523,7833740,25000,0.003613
scaffold_1,7849524,7878268,7864872,25000,0.003859
scaffold_1,7878269,7903948,7891131,25000,0.001074
scaffold_1,7903949,7930024,7917133,25000,0.002577
scaffold_1,7930025,7956918,7943504,25000,0.002918
scaffold_1,7956919,7983034,7970145,25000,0.003807
scaffold_1,7983035,8010322,7997024,25000,0.005292
scaffold_1,8010323,8035635,8022985,25000,0.005993
scaffold_1,8035636,8068718,8050682,25000,0.001958
scaffold_1,8068719,8096825,8081487,25000,0.002116
scaffold_1,8096826,8122174,8109564,25000,0.00411
scaffold_1,8122175,8147454,8134840,25000,0.002065
scaffold_1,8147455,8176184,8161533,25000,0.003713
scaffold_1,8176185,8202384,8188966,25000,0.008913
scaffold_1,8202385,8235649,8216737,25000,0.005804
scaffold_1,8235650,8261328,8248426,25000,0.003163
scaffold_1,8261329,8288167,8274545,25000,0.006435
scaffold_1,8288168,8319954,8305175,25000,0.011279
scaffold_1,8319955,8345389,8332701,25000,0.001468
scaffold_1,8345390,8376116,8361318,25000,0.008469
scaffold_1,8376117,8437489,8418162,25000,0.001206
scaffold_1,8437490,8464477,8451267,25000,0.002106
scaffold_1,8464478,8489657,8477097,25000,0.001732
scaffold_1,8489658,8520684,8504659,25000,0.011817
scaffold_1,8520685,8547736,8534388,25000,0.005631
scaffold_1,8547737,8573899,8560602,25000,0.001101
scaffold_1,8573900,8600731,8587400,25000,0.008397
scaffold_1,8600732,8629979,8614825,25000,0.008182
scaffold_1,8629980,8656226,8642818,25000,0.005955
scaffold_1,8656227,8682632,8669720,25000,0.005761
scaffold_1,8682633,8721458,8704086,25000,0.005335
scaffold_1,8721459,8761040,8744407,25000,0.003745
scaffold_1,8761041,8795201,8779838,25000,0.007801
scaffold_1,8795202,8821472,8808178,25000,0.007722
scaffold_1,8821473,8848083,8834834,25000,0.005633
scaffold_1,8848084,8874543,8861266,25000,0.008134
scaffold_1,8874544,8900713,8887571,25000,0.007389
scaffold_1,8900714,8925971,8913370,25000,0.004323
scaffold_1,8925972,8952105,8939195,25000,0.003624
scaffold_1,8952106,8992010,8970700,25000,0.006559
scaffold_1,8992011,9024463,9007754,25000,0.004727
scaffold_1,9024464,9049641,9037077,25000,0.00373
scaffold_1,9049642,9075296,9062556,25000,0.002487
scaffold_1,9075297,9102864,9089100,25000,0.005658
scaffold_1,9102866,9128917,9115829,25000,0.00599
scaffold_1,9128918,9156311,9143142,25000,0.004761
scaffold_1,9156312,9181529,9168941,25000,0.001878
scaffold_1,9181530,9207763,9194764,25000,0.003213
scaffold_1,9207764,9233193,9220504,25000,0.003443
scaffold_1,9233194,9258905,9246141,25000,0.006241
scaffold_1,9258906,9285923,9272630,25000,0.00304
scaffold_1,9285924,9311108,9298512,25000,0.003253
scaffold_1,9311109,9337129,9324159,25000,0.002635
scaffold_1,9337130,9368382,9352161,25000,0.00297
scaffold_1,9368383,9393677,9381009,25000,0.001369
scaffold_1,9393678,9421132,9406681,25000,0.002467
scaffold_1,9421133,9446958,9433984,25000,0.004022
scaffold_1,9446959,9472199,9459646,25000,0.003173
scaffold_1,9472200,9498679,9485435,25000,0.008057
scaffold_1,9498680,9523789,9511215,25000,0.002053
scaffold_1,9523790,9549318,9536558,25000,0.003062
scaffold_1,9549319,9575456,9562400,25000,0.002774
scaffold_1,9575457,9602829,9588637,25000,0.008252
scaffold_1,9602830,9628849,9616044,25000,0.005192
scaffold_1,9628850,9662909,9644202,25000,0.003254
scaffold_1,9662910,9689799,9676804,25000,0.003439
scaffold_1,9689800,9717318,9703405,25000,0.004374
scaffold_1,9717319,9743769,9730994,25000,0.007093
scaffold_1,9743770,9770121,9757071,25000,0.006433
scaffold_1,9770122,9796603,9783257,25000,0.003161
scaffold_1,9796604,9822472,9809285,25000,0.002712
scaffold_1,9822473,9849001,9835944,25000,0.002732
scaffold_1,9849002,9874388,9861633,25000,0.003019
scaffold_1,9874389,9899852,9887188,25000,0.003685
scaffold_1,9899853,9926034,9912949,25000,0.005711
scaffold_1,9926035,9962692,9945051,25000,0.009698
scaffold_1,9962693,9988944,9976292,25000,0.004646
scaffold_1,9988945,10015296,10002517,25000,0.002295
scaffold_1,10015297,10042195,10028104,25000,0.002652
scaffold_1,10042196,10067783,10055075,25000,0.002494
scaffold_1,10067784,10094696,10081128,25000,0.002083
scaffold_1,10094697,10123141,10108298,25000,0.013885
scaffold_1,10123142,10152439,10138195,25000,0.005588
scaffold_1,10152440,10178274,10165523,25000,0.002685
scaffold_1,10178275,10204123,10191134,25000,0.00427
scaffold_1,10204124,10236427,10219203,25000,0.00491
scaffold_1,10236428,10261570,10249013,25000,0.003358
scaffold_1,10261571,10296681,10283357,25000,0.002232
scaffold_1,10296682,10323645,10309756,25000,0.002001
scaffold_1,10323646,10352222,10337544,25000,0.003412
scaffold_1,10352223,10377646,10364971,25000,0.004361
scaffold_1,10377647,10418233,10396537,25000,0.004292
scaffold_1,10418234,10443721,10430999,25000,0.005342
scaffold_1,10443722,10469994,10457092,25000,0.004507
scaffold_1,10469995,10498631,10484896,25000,0.006847
scaffold_1,10498632,10526235,10512852,25000,0.005135
scaffold_1,10526236,10552784,10539296,25000,0.004059
scaffold_1,10552785,10578356,10565533,25000,0.004846
scaffold_1,10578357,10613612,10597609,25000,0.003931
scaffold_1,10613613,10644759,10627947,25000,0.007436
scaffold_1,10644760,10683291,10664913,25000,0.002717
scaffold_1,10683292,10709893,10696614,25000,0.001846
scaffold_1,10709894,10739643,10723731,25000,0.002398
scaffold_1,10739644,10770305,10753967,25000,0.002947
scaffold_1,10770306,10803051,10787209,25000,0.002388
scaffold_1,10803052,10829340,10815877,25000,0.002637
scaffold_1,10829341,10855078,10842211,25000,0.003966
scaffold_1,10855079,10884517,10870481,25000,0.009036
scaffold_1,10884518,10911712,10897847,25000,0.005304
scaffold_1,10911713,10937411,10924450,25000,0.005457
scaffold_1,10937412,10963729,10950695,25000,0.004579
scaffold_1,10963730,10990869,10977505,25000,0.006707
scaffold_1,10990870,11016355,11003607,25000,0.003672
scaffold_1,11016356,11042407,11029477,25000,0.002857
scaffold_1,11042408,11068862,11055719,25000,0.005546
scaffold_1,11068863,11095596,11082598,25000,0.003375
scaffold_1,11095597,11123280,11110221,25000,0.002879
scaffold_1,11123281,11148479,11135887,25000,0.003548
scaffold_1,11148480,11174419,11161383,25000,0.003808
scaffold_1,11174420,11199637,11187024,25000,0.003186
scaffold_1,11199638,11228242,11214330,25000,0.005217
scaffold_1,11228243,11254667,11241176,25000,0.006422
scaffold_1,11254668,11280432,11267633,25000,0.005541
scaffold_1,11280433,11326128,11309081,25000,0.009889
scaffold_1,11326129,11357917,11342363,25000,0.008307
scaffold_1,11357918,11384675,11371208,25000,0.010845
scaffold_1,11384676,11415068,11400211,25000,0.009339
scaffold_1,11415069,11442263,11428310,25000,0.007141
scaffold_1,11442264,11468095,11455044,25000,0.0018
scaffold_1,11468096,11493826,11481055,25000,0.005394
scaffold_1,11493827,11519885,11506895,25000,0.002217
scaffold_1,11519886,11548160,11533783,25000,0.002954
scaffold_1,11548161,11574071,11560980,25000,0.012905
scaffold_1,11574072,11600191,11587189,25000,0.012429
scaffold_1,11600192,11626308,11613067,25000,0.005571
scaffold_1,11626309,11652007,11639225,25000,0.00668
scaffold_1,11652008,11679995,11665086,25000,0.007804
scaffold_1,11679996,11737833,11717254,25000,0.008708
scaffold_1,11737834,11764738,11751029,25000,0.008095
scaffold_1,11764739,11792251,11777824,25000,0.006665
scaffold_1,11792252,11818160,11805299,25000,0.007618
scaffold_1,11818161,11844042,11831100,25000,0.004997
scaffold_1,11844043,11875488,11859803,25000,0.009338
scaffold_1,11875489,11905683,11890002,25000,0.009084
scaffold_1,11905684,11933691,11919785,25000,0.007521
scaffold_1,11933692,11960059,11946884,25000,0.007265
scaffold_1,11960060,11987024,11973495,25000,0.00781
scaffold_1,11987025,12014256,12000433,25000,0.01116
scaffold_1,12014257,12043250,12028687,25000,0.008504
scaffold_1,12043251,12073024,12058629,25000,0.010447
scaffold_1,12073025,12112643,12095535,25000,0.008601
scaffold_1,12112644,12139779,12125939,25000,0.00493
scaffold_1,12139780,12166464,12153299,25000,0.009248
scaffold_1,12166465,12195484,12181582,25000,0.005666
scaffold_1,12195485,12222567,12208925,25000,0.007421
scaffold_1,12222568,12249029,12235508,25000,0.004979
scaffold_1,12249030,12275063,12261828,25000,0.003966
scaffold_1,12275064,12300734,12287897,25000,0.006333
scaffold_1,12300735,12337468,12323882,25000,0.007243
scaffold_1,12337469,12381332,12356495,25000,0.006804
scaffold_1,12381333,12406933,12394157,25000,0.004874
scaffold_1,12406934,12459923,12444034,25000,0.009755
scaffold_1,12459924,12485713,12472858,25000,0.007216
scaffold_1,12485714,12511828,12498835,25000,0.00642
scaffold_1,12511829,12539142,12525115,25000,0.009459
scaffold_1,12539143,12565164,12552144,25000,0.005792
scaffold_1,12565165,12606359,12583376,25000,0.005714
scaffold_1,12606360,12635968,12621420,25000,0.006872
scaffold_1,12635969,12663591,12649853,25000,0.009989
scaffold_1,12663592,12689120,12676363,25000,0.00502
scaffold_1,12689121,12715609,12702190,25000,0.005977
scaffold_1,12715610,12741099,12728389,25000,0.004473
scaffold_1,12741100,12776408,12760624,25000,0.006006
scaffold_1,12776409,12803438,12789615,25000,0.012216
scaffold_1,12803439,12832155,12817055,25000,0.01083
scaffold_1,12832156,12863982,12848555,25000,0.009832
scaffold_1,12863983,12889872,12876843,25000,0.004877
scaffold_1,12889873,12916630,12903308,25000,0.007937
scaffold_1,12916631,12943500,12930205,25000,0.010811
scaffold_1,12943501,12974967,12960045,25000,0.01251
scaffold_1,12974968,13012612,12994520,25000,0.00846
scaffold_1,13012613,13039484,13025680,25000,0.012346
scaffold_1,13039485,13099152,13070646,25000,0.020575
scaffold_1,13099153,13131973,13116969,25000,0.009148
scaffold_1,13131974,13171974,13152326,25000,0.034903
scaffold_1,13171975,13226490,13203943,25000,0.019304
scaffold_1,13226491,13254642,13240236,25000,0.017457
scaffold_1,13254643,13312278,13279345,25000,0.020273
scaffold_1,13312279,13339246,13325820,25000,0.010328
scaffold_1,13339247,13369757,13354193,25000,0.011955
scaffold_1,13369758,13421015,13392887,25000,0.017847
scaffold_1,13421016,13490116,13452349,25000,0.020367
scaffold_1,13490117,13534836,13513673,25000,0.012943
scaffold_1,13534837,13563363,13548761,25000,0.007515
scaffold_1,13563364,13603690,13583641,25000,0.016009
scaffold_1,13603691,13634121,13618391,25000,0.010838
scaffold_1,13634122,13687973,13667638,25000,0.014704
scaffold_1,13687974,13748387,13721664,25000,0.012754
scaffold_1,13748388,13799450,13768637,25000,0.013382
scaffold_1,13799451,13825539,13812713,25000,0.007018
scaffold_1,13825540,13853591,13839189,25000,0.007222
scaffold_1,13853592,13905104,13881062,25000,0.003356
scaffold_1,13905105,13930409,13917734,25000,0.002848
scaffold_1,13930410,13994325,13958079,25000,0.015279
scaffold_1,13994326,14075077,14035092,25000,0.029601
scaffold_1,14075078,14107030,14089966,25000,0.018154
scaffold_1,14107031,14142308,14127102,25000,0.015681
scaffold_1,14142309,14195130,14171408,25000,0.02233
scaffold_1,14195131,14251856,14223818,25000,0.028487
scaffold_1,14251857,14386262,14320499,25000,0.027213
scaffold_1,14386263,14423532,14400426,25000,0.007919
scaffold_1,14423533,14528661,14476208,25000,0.014766
scaffold_1,14528662,14563328,14547777,25000,0.010889
scaffold_1,14563329,14592756,14578025,25000,0.010453
scaffold_1,14592757,14723019,14640579,25000,0.01552
scaffold_1,14723020,14759437,14744100,25000,0.015189
scaffold_1,14759438,14829480,14804784,25000,0.018192
scaffold_1,14829481,14909831,14863279,25000,0.011597
scaffold_1,14909832,14946230,14928494,25000,0.009192
scaffold_1,14946231,14972632,14959284,25000,0.001835
scaffold_1,14972633,14998986,14985717,25000,0.002584
scaffold_1,14998987,15058213,15034534,25000,0.009437
scaffold_1,15058214,15312078,15197544,25000,0.022409
scaffold_1,15312082,15523801,15490445,25000,0.004961
scaffold_1,15523802,15550647,15537331,25000,0.004202
scaffold_1,15550648,15621375,15597246,25000,0.008213
scaffold_1,15621376,15691402,15659909,25000,0.012926
scaffold_1,15691403,15740145,15714892,25000,0.010179
scaffold_1,15740147,15853235,15780589,25000,0.008519
scaffold_1,15853236,16152821,15997956,25000,0.017785
scaffold_1,16152822,16181497,16166229,25000,0.01099
scaffold_1,16181498,16211904,16197372,25000,0.015633
scaffold_1,16211905,16277044,16259307,25000,0.023576
scaffold_1,16277045,16320015,16292736,25000,0.027053
scaffold_1,16320016,16357910,16334970,25000,0.020017
scaffold_1,16357911,16389799,16374184,25000,0.027364
scaffold_1,16389800,16441051,16407202,25000,0.028577
scaffold_1,16441052,16473979,16458711,25000,0.021133
scaffold_1,16473980,16500777,16487462,25000,0.01702
scaffold_1,16500778,16531488,16514649,25000,0.013554
scaffold_1,16531489,16561591,16547756,25000,0.015661
scaffold_1,16561592,16587045,16574384,25000,0.003694
scaffold_1,16587046,16614471,16600767,25000,0.004596
scaffold_1,16614472,16641682,16628556,25000,0.006534
scaffold_1,16641683,16667760,16654636,25000,0.005377
scaffold_1,16667761,16693423,16680728,25000,0.004496
scaffold_1,16693424,16719761,16706509,25000,0.00338
scaffold_1,16719762,16749275,16734731,25000,0.012683
scaffold_1,16749276,16785289,16768967,25000,0.005072
scaffold_1,16785290,16811658,16798595,25000,0.002893
scaffold_1,16811659,16839191,16824699,25000,0.002856
scaffold_1,16839192,16873569,16856718,25000,0.019868
scaffold_1,16873570,16904468,16887667,25000,0.001972
scaffold_1,16904469,16930012,16917193,25000,0.004132
scaffold_1,16930013,16956157,16943093,25000,0.002304
scaffold_1,16956158,16982952,16969573,25000,0.006968
scaffold_1,16982953,17118038,17062533,25000,0.010329
scaffold_1,17118039,17201824,17180900,25000,0.009797
scaffold_1,17201825,17229160,17215071,25000,0.004746
scaffold_1,17229161,17417063,17353112,25000,0.010167
scaffold_1,17417064,17446888,17431051,25000,0.012157
scaffold_1,17446889,17476496,17461300,25000,0.01957
scaffold_1,17476497,17508128,17490840,25000,0.010791
scaffold_1,17508129,17533718,17520947,25000,0.006892
scaffold_1,17533719,17606983,17575147,25000,0.011817
scaffold_1,17606984,17643802,17629924,25000,0.006636
scaffold_1,17643803,17750344,17690889,25000,0.014421
scaffold_1,17750345,17779265,17765150,25000,0.019393
scaffold_1,17779266,17850201,17814179,25000,0.012045
scaffold_1,17850202,17878960,17864729,25000,0.01047
scaffold_1,17878961,17906448,17892779,25000,0.009932
scaffold_1,17906449,17936301,17920825,25000,0.007883
scaffold_1,17936302,17978410,17957003,25000,0.006856
scaffold_1,17978411,18011917,17994646,25000,0.012729
scaffold_1,18011918,18039878,18026029,25000,0.01183
scaffold_1,18039879,18075448,18057211,25000,0.009795
scaffold_1,18075449,18104765,18090219,25000,0.013148
scaffold_1,18104767,18135013,18120510,25000,0.00748
scaffold_1,18135014,18177206,18155633,25000,0.009224
scaffold_1,18177207,18214199,18195726,25000,0.012566
scaffold_1,18214200,18286342,18233085,25000,0.024326
scaffold_1,18286343,18390232,18349379,25000,0.012134
scaffold_1,18390233,18422011,18406592,25000,0.022505
scaffold_1,18422012,18457756,18440860,25000,0.026647
scaffold_1,18457757,18492521,18474905,25000,0.024177
