scaffold,start,end,mid,sites,pi_Hga
chr1,11792797,11820171,11807056,25000,0.006238
chr1,11820172,11846705,11833717,25000,0.004893
chr1,11846706,11873607,11860304,25000,0.007942
chr1,11873608,11923718,11904408,25000,0.007344
chr1,11923719,11952598,11937706,25000,0.007048
chr1,11952599,11983975,11967980,25000,0.005229
chr1,11983976,12012371,11997821,25000,0.004327
chr1,12012372,12042820,12026239,25000,0.005268
chr1,12042821,12071220,12057306,25000,0.001619
chr1,12071221,12104108,12087303,25000,0.000653
chr1,12104109,12129600,12116846,25000,0.003499
chr1,12129601,12156389,12143243,25000,0.003801
chr1,12156390,12185620,12171558,25000,0.004442
chr1,12185621,12212164,12199136,25000,0.004128
chr1,12212165,12238418,12225199,25000,0.005511
chr1,12238419,12287618,12267313,25000,0.004033
chr1,12287619,12330578,12311359,25000,0.002519
chr1,12330579,12355765,12343133,25000,0.001553
chr1,12355766,12396085,12373992,25000,0.003897
chr1,12396086,12428658,12412048,25000,0.003743
chr1,12428659,12457434,12442988,25000,0.003176
chr1,12457435,12493317,12475197,25000,0.011847
chr1,12493318,12537975,12524708,25000,0.006089
chr1,12537976,12569371,12553593,25000,0.00508
chr1,12569372,12596200,12582507,25000,0.013124
chr1,12596201,12643530,12614245,25000,0.005086
chr1,12643531,12672966,12658321,25000,0.004194
chr1,12672967,12707620,12688702,25000,0.003822
chr1,12707621,12759100,12734692,25000,0.00518
chr1,12759101,12791242,12774259,25000,0.012324
chr1,12791243,12824626,12809349,25000,0.010971
chr1,12824627,12852063,12839009,25000,0.005024
chr1,12852064,12892225,12874901,25000,0.005467
chr1,12892226,12923778,12906527,25000,0.007035
chr1,12923779,12952310,12938325,25000,0.007444
chr1,12952319,12984651,12969596,25000,0.0077
chr1,12984652,13039217,13016331,25000,0.007731
chr1,13039218,13079514,13065893,25000,0.005427
chr1,13079515,13126577,13098562,25000,0.006829
chr1,13126578,13163136,13149678,25000,0.004095
chr1,13163137,13190591,13177272,25000,0.003735
chr1,13190592,13231281,13206204,25000,0.003522
chr1,13231282,13263044,13246885,25000,0.002461
chr1,13263045,13290524,13276912,25000,0.004667
chr1,13290525,13317624,13303599,25000,0.002581
chr1,13317625,13346114,13332282,25000,0.004328
chr1,13346115,13375941,13362584,25000,0.00696
chr1,13375942,13407813,13393794,25000,0.006922
chr1,13407814,13437671,13422705,25000,0.004961
chr1,13437672,13499856,13471772,25000,0.011089
chr1,13499857,13534542,13518666,25000,0.004032
chr1,13534543,13561739,13548221,25000,0.005601
chr1,13561740,13590598,13576450,25000,0.002766
chr1,13590599,13625292,13605191,25000,0.00534
chr1,13625293,13660053,13643206,25000,0.004075
chr1,13660054,13710839,13685502,25000,0.004962
chr1,13710840,13736146,13723477,25000,0.00293
chr1,13736147,13762755,13749317,25000,0.003423
chr1,13762756,13792988,13776979,25000,0.005279
chr1,13792989,13826443,13809398,25000,0.015914
chr1,13826444,13877843,13855299,25000,0.005975
chr1,13877844,13907742,13893203,25000,0.004869
chr1,13907743,13933242,13920546,25000,0.002558
chr1,13933243,13959882,13946302,25000,0.003023
chr1,13959883,13986742,13973622,25000,0.002974
chr1,13986743,14013205,14000315,25000,0.003974
chr1,14013206,14048300,14032305,25000,0.003022
chr1,14048301,14091934,14067166,25000,0.004362
chr1,14091935,14118503,14105164,25000,0.003054
chr1,14118504,14150961,14132508,25000,0.003326
chr1,14150962,14188996,14170447,25000,0.007306
chr1,14188997,14218704,14205682,25000,0.002864
chr1,14218705,14254737,14235950,25000,0.004334
chr1,14254738,14286740,14270467,25000,0.003647
chr1,14286741,14313158,14300280,25000,0.003606
chr1,14313159,14343434,14327661,25000,0.004959
chr1,14343435,14382594,14365187,25000,0.004901
chr1,14382595,14419707,14402186,25000,0.008386
chr1,14419708,14445606,14432451,25000,0.00292
chr1,14445607,14471133,14458511,25000,0.001658
chr1,14471134,14496267,14483704,25000,0.001647
chr1,14496268,14521919,14508891,25000,0.003281
chr1,14521920,14559572,14537002,25000,0.005768
chr1,14559573,14589258,14575211,25000,0.003049
chr1,14589259,14615050,14602231,25000,0.007105
chr1,14615051,14695476,14650552,25000,0.004614
chr1,14695477,14737488,14714629,25000,0.003408
chr1,14737489,14765179,14751388,25000,0.004559
chr1,14765180,14820711,14785928,25000,0.007659
chr1,14820712,14855419,14838353,25000,0.006981
chr1,14855420,14884548,14870679,25000,0.004316
chr1,14884549,14920405,14903019,25000,0.003141
chr1,14920406,14954406,14936238,25000,0.003554
chr1,14954407,14987980,14969193,25000,0.003181
chr1,14987981,15025019,15002355,25000,0.00196
chr1,15025020,15052645,15039348,25000,0.003077
chr1,15052646,15077930,15065317,25000,0.002037
chr1,15077931,15106513,15092564,25000,0.002823
chr1,15106514,15136503,15121168,25000,0.003036
chr1,15136504,15162795,15149325,25000,0.002725
chr1,15162796,15188590,15175923,25000,0.003991
chr1,15188591,15223581,15206688,25000,0.018252
chr1,15223582,15252740,15238688,25000,0.00484
chr1,15252741,15280413,15266447,25000,0.006987
chr1,15280414,15321229,15295432,25000,0.007687
chr1,15321230,15350137,15336406,25000,0.004144
chr1,15350138,15391782,15373041,25000,0.004671
chr1,15391783,15422887,15409496,25000,0.003033
chr1,15422888,15454899,15438584,25000,0.004045
chr1,15454900,15482498,15468411,25000,0.0038
chr1,15482499,15510878,15496800,25000,0.002626
chr1,15510879,15548403,15534071,25000,0.003295
chr1,15548404,15574234,15561157,25000,0.002019
chr1,15574235,15603816,15588057,25000,0.002569
chr1,15603817,15659611,15631970,25000,0.005939
chr1,15659612,15686792,15672963,25000,0.002939
chr1,15686793,15713119,15699720,25000,0.00229
chr1,15713120,15740076,15726280,25000,0.004631
chr1,15740077,15768376,15753905,25000,0.004946
chr1,15768377,15807336,15784928,25000,0.004429
chr1,15807337,15835312,15821422,25000,0.005386
chr1,15835313,15883186,15850422,25000,0.005825
chr1,15883187,15912546,15898419,25000,0.005265
chr1,15912547,15942101,15928126,25000,0.004025
chr1,15942102,15967532,15954762,25000,0.004928
chr1,15967533,16014235,15980445,25000,0.002636
chr1,16014236,16056446,16036240,25000,0.004177
chr1,16056447,16090044,16075004,25000,0.004556
chr1,16090045,16130224,16109692,25000,0.00482
chr1,16130225,16166135,16146998,25000,0.006241
chr1,16166136,16194926,16180502,25000,0.004362
chr1,16194927,16227999,16212713,25000,0.002786
chr1,16228000,16262113,16244371,25000,0.003884
chr1,16262114,16288043,16275445,25000,0.002138
chr1,16288044,16314263,16300775,25000,0.002363
chr1,16314264,16352808,16334111,25000,0.002232
chr1,16352809,16389561,16368210,25000,0.002749
chr1,16389562,16421640,16407181,25000,0.004626
chr1,16421641,16465920,16440899,25000,0.005113
chr1,16465921,16491609,16478813,25000,0.002784
chr1,16491610,16533367,16513636,25000,0.005802
chr1,16533368,16564783,16549511,25000,0.004221
chr1,16564784,16597507,16580197,25000,0.004111
chr1,16597508,16622812,16610152,25000,0.001947
chr1,16622813,16650073,16636231,25000,0.003009
chr1,16650074,16701089,16686008,25000,0.002627
chr1,16701090,16734545,16715317,25000,0.004432
chr1,16734546,16761445,16748143,25000,0.002367
chr1,16761446,16796299,16776926,25000,0.005106
chr1,16796300,16832676,16813606,25000,0.004395
chr1,16832677,16940435,16869298,25000,0.004049
chr1,16940436,16967051,16953869,25000,0.006708
chr1,16967052,16997639,16982727,25000,0.011436
chr1,16997640,17045191,17021490,25000,0.004668
chr1,17045192,17079342,17062682,25000,0.007294
chr1,17079343,17108800,17094960,25000,0.001878
chr1,17108801,17141496,17122834,25000,0.002743
chr1,17141497,17196841,17168665,25000,0.006072
chr1,17196842,17245312,17220266,25000,0.003587
chr1,17245313,17274893,17259697,25000,0.002879
chr1,17274894,17306506,17292088,25000,0.009024
chr1,17306507,17339617,17322637,25000,0.004273
chr1,17339618,17372040,17354723,25000,0.006582
chr1,17372041,17404432,17386188,25000,0.003763
chr1,17404433,17441350,17422288,25000,0.005142
chr1,17441351,17468981,17454978,25000,0.007229
chr1,17468982,17527450,17511449,25000,0.005571
chr1,17527451,17558215,17541000,25000,0.004278
chr1,17558216,17599454,17578839,25000,0.004492
chr1,17599455,17633911,17617977,25000,0.003792
chr1,17633912,17659193,17646542,25000,0.002257
chr1,17659194,17695639,17680095,25000,0.005839
chr1,17695640,17721681,17708713,25000,0.003727
chr1,17721682,17772410,17749843,25000,0.003247
chr1,17772411,17824912,17794699,25000,0.003701
chr1,17824913,17852348,17838971,25000,0.004151
chr1,17852349,17885430,17868102,25000,0.004552
chr1,17885431,17922838,17901875,25000,0.005021
chr1,17922839,17953586,17938867,25000,0.00339
chr1,17953587,17982940,17968282,25000,0.003495
chr1,17982941,18011103,17996295,25000,0.004025
chr1,18011104,18046781,18032427,25000,0.008659
chr1,18046782,18073656,18060295,25000,0.006297
chr1,18073657,18099770,18086750,25000,0.003877
chr1,18099771,18128659,18114406,25000,0.007383
chr1,18128665,18173693,18153420,25000,0.004889
chr1,18173694,18234684,18194398,25000,0.002867
chr1,18234685,18260916,18247639,25000,0.016818
chr1,18260917,18286136,18273539,25000,0.002171
chr1,18286137,18313095,18299499,25000,0.003015
chr1,18313096,18345155,18329401,25000,0.007333
chr1,18345156,18427396,18402881,25000,0.008752
chr1,18427397,18490414,18462518,25000,0.006111
chr1,18490415,18591500,18535709,25000,0.005434
chr1,18591501,18625803,18612058,25000,0.00536
chr1,18625804,18652685,18639268,25000,0.00519
chr1,18652686,18685092,18671987,25000,0.00465
chr1,18685093,18722513,18699713,25000,0.00233
chr1,18722514,18748109,18735320,25000,0.003646
chr1,18748110,18773522,18760849,25000,0.002755
chr1,18773523,18801641,18787305,25000,0.002402
chr1,18801642,18827584,18814550,25000,0.002904
chr1,18827585,18855790,18840913,25000,0.003595
chr1,18855791,18884328,18869903,25000,0.004507
chr1,18884329,18913222,18899969,25000,0.003557
chr1,18913223,18943106,18926277,25000,0.002949
chr1,18943107,18970331,18957307,25000,0.00704
chr1,18970332,18996751,18983632,25000,0.005114
chr1,18996752,19024785,19010239,25000,0.004637
chr1,19024786,19062923,19048012,25000,0.002573
chr1,19062924,19094715,19079972,25000,0.004933
chr1,19094716,19138342,19119371,25000,0.012423
chr1,19138343,19171136,19155721,25000,0.005108
chr1,19171137,19201921,19186228,25000,0.004416
chr1,19201922,19229853,19216271,25000,0.005103
chr1,19229854,19260222,19245678,25000,0.003937
chr1,19260223,19294516,19276526,25000,0.004456
chr1,19294517,19358025,19330000,25000,0.005415
chr1,19358026,19384558,19371437,25000,0.005218
chr1,19384559,19414803,19398640,25000,0.002091
chr1,19414804,19449137,19433953,25000,0.011711
chr1,19449138,19478842,19462740,25000,0.003364
chr1,19478843,19506060,19491860,25000,0.003399
chr1,19506061,19547447,19528168,25000,0.004734
chr1,19547448,19599475,19568706,25000,0.007695
chr1,19599476,19628643,19613503,25000,0.005473
chr1,19628644,19655093,19641925,25000,0.004411
chr1,19655094,19685885,19670525,25000,0.004621
chr1,19685886,19711899,19698696,25000,0.003601
chr1,19711900,19743079,19728026,25000,0.006731
chr1,19743080,19769252,19755875,25000,0.007116
chr1,19769253,19799371,19784413,25000,0.007211
