scaffold,start,end,mid,sites,pi_Sms1,pi_Sms2,dxy_Sms1_Sms2,Fst_Sms1_Sms2
scaffold_1,2148350,2188225,2172104,25000,0.00177,0.002262,0.002462,0.102524
scaffold_1,2188226,2214208,2201362,25000,0.000893,0.000894,0.000838,-0.03329
scaffold_1,2214209,2240407,2227338,25000,0.001304,0.00126,0.001212,-0.028812
scaffold_1,2240408,2266850,2254095,25000,0.001137,0.001221,0.001107,-0.032285
scaffold_1,2266851,2301553,2282581,25000,0.001239,0.001313,0.001197,-0.033108
scaffold_1,2301554,2334138,2321094,25000,0.001095,0.001136,0.001046,-0.033286
scaffold_1,2334139,2364187,2348419,25000,0.002805,0.002778,0.002688,-0.019503
scaffold_1,2364188,2409634,2379920,25000,0.001884,0.001415,0.001989,0.07669
scaffold_1,2409635,2444101,2423815,25000,0.001422,0.001631,0.001481,-0.016959
scaffold_1,2444102,2487698,2468507,25000,0.002494,0.002202,0.004215,0.283142
scaffold_1,2487699,2524217,2505785,25000,0.002765,0.00321,0.003841,0.13367
scaffold_1,2524218,2565564,2546284,25000,0.003005,0.003257,0.003173,0.009391
scaffold_1,2565565,2591442,2578647,25000,0.002322,0.002236,0.002156,-0.028726
scaffold_1,2591443,2626500,2606793,25000,0.002197,0.002386,0.005438,0.413308
scaffold_1,2626501,2669168,2646356,25000,0.002095,0.002107,0.005813,0.478961
scaffold_1,2669169,2715901,2690337,25000,0.001924,0.001515,0.001689,-0.009358
scaffold_1,2715902,2776107,2747469,25000,0.001814,0.001631,0.001619,-0.032082
scaffold_1,2776108,2806422,2790958,25000,0.00247,0.002058,0.0036,0.233407
scaffold_1,2806423,2843327,2827335,25000,0.001525,0.001477,0.003416,0.397142
scaffold_1,2843328,2974561,2927651,25000,0.002553,0.002107,0.004135,0.286628
scaffold_1,2974562,3013351,2992475,25000,0.001792,0.003437,0.004577,0.27922
scaffold_1,3013352,3129910,3062054,25000,0.003661,0.003676,0.003832,0.022637
scaffold_1,3129911,3172383,3155624,25000,0.003225,0.003035,0.003196,0.011784
scaffold_1,3172384,3217683,3201510,25000,0.002975,0.002918,0.002772,-0.031503
scaffold_1,3217684,3315542,3261518,25000,0.002829,0.003714,0.008807,0.466167
scaffold_1,3315543,3380943,3358581,25000,0.001868,0.002023,0.002036,0.023513
scaffold_1,3380944,3413295,3397322,25000,0.00164,0.001711,0.004005,0.415963
scaffold_1,3413296,3460283,3428764,25000,0.001727,0.001656,0.004425,0.451677
scaffold_1,3460284,3494062,3476337,25000,0.003645,0.003655,0.003695,0.006277
scaffold_1,3494063,3540395,3515773,25000,0.00299,0.002608,0.003745,0.144701
scaffold_1,3540396,3578938,3556964,25000,0.002273,0.001561,0.002285,0.066309
scaffold_1,3578939,3646349,3609544,25000,0.002697,0.0024,0.002418,-0.027141
scaffold_1,3646350,3687019,3662857,25000,0.003129,0.003106,0.003507,0.061063
scaffold_1,3687020,3743102,3718858,25000,0.00271,0.002771,0.003358,0.104116
scaffold_1,3743103,3816237,3768552,25000,0.002633,0.002576,0.002622,0.003597
scaffold_1,3816238,3885140,3843313,25000,0.002657,0.002699,0.002922,0.044883
scaffold_1,3885141,3927246,3907366,25000,0.003351,0.003257,0.003206,-0.015435
scaffold_1,3927247,3968006,3952748,25000,0.002079,0.001984,0.001896,-0.035696
scaffold_1,3968007,4053708,4010547,25000,0.003209,0.003236,0.003826,0.088144
scaffold_1,4053709,4086363,4069377,25000,0.003776,0.004084,0.003908,-0.003171
scaffold_1,4086364,4118583,4101733,25000,0.002671,0.00253,0.002467,-0.027365
scaffold_1,4118584,4175466,4145271,25000,0.001454,0.001342,0.001425,0.012392
scaffold_1,4175467,4212659,4194741,25000,0.001379,0.00117,0.00162,0.127069
scaffold_1,4212660,4243859,4228583,25000,0.001787,0.001894,0.00173,-0.031953
scaffold_1,4243860,4279186,4260767,25000,0.002007,0.001741,0.002072,0.051346
scaffold_1,4279188,4350617,4301025,25000,0.003041,0.003083,0.002967,-0.013843
scaffold_1,4350618,4406091,4372255,25000,0.003055,0.003021,0.002925,-0.020105
scaffold_1,4406092,4446641,4431559,25000,0.001689,0.001635,0.002171,0.136508
scaffold_1,4446642,4480291,4461590,25000,0.002388,0.002391,0.002277,-0.024877
scaffold_1,4480292,4549767,4500675,25000,0.001652,0.001555,0.001598,-0.001705
scaffold_1,4549769,4598728,4581261,25000,0.002596,0.001608,0.003096,0.205863
scaffold_1,4598729,4641507,4623529,25000,0.001333,0.001375,0.001522,0.060272
scaffold_1,4641508,4696078,4671300,25000,0.001822,0.002816,0.002192,-0.031023
scaffold_1,4696079,4724627,4710517,25000,0.003637,0.003814,0.005312,0.180115
scaffold_1,4724628,4751639,4738096,25000,0.001697,0.002445,0.002049,-0.005493
scaffold_1,4751640,4781164,4766489,25000,0.003415,0.004319,0.007448,0.323366
scaffold_1,4781165,4822927,4806827,25000,0.003732,0.003636,0.003884,0.027265
scaffold_1,4822928,4885321,4865770,25000,0.001259,0.001206,0.00327,0.455647
scaffold_1,4885322,4922227,4902894,25000,0.00201,0.001975,0.001878,-0.030669
scaffold_1,4922228,4956414,4938683,25000,0.001334,0.001308,0.001243,-0.031272
scaffold_1,4956415,4982563,4969371,25000,0.002226,0.002354,0.002164,-0.029225
scaffold_1,4982564,5022594,5004743,25000,0.001168,0.001429,0.001981,0.212517
scaffold_1,5022595,5055167,5038501,25000,0.001909,0.002001,0.001826,-0.037
scaffold_1,5055168,5114258,5078098,25000,0.001675,0.001657,0.002286,0.157486
scaffold_1,5114259,5141810,5127844,25000,0.001618,0.001469,0.002941,0.311865
scaffold_1,5141811,5180494,5162640,25000,0.002321,0.002312,0.00217,-0.033863
scaffold_1,5180495,5239818,5209660,25000,0.001529,0.00162,0.002128,0.152524
scaffold_1,5239819,5265488,5252486,25000,0.003512,0.003467,0.003466,-0.003136
scaffold_1,5265489,5319475,5297373,25000,0.001088,0.001128,0.001149,0.018633
scaffold_1,5319476,5351434,5335294,25000,0.00163,0.001785,0.002437,0.180705
scaffold_1,5351435,5390383,5366883,25000,0.002846,0.002928,0.002777,-0.020075
scaffold_1,5390384,5434386,5406354,25000,0.001555,0.00136,0.002458,0.261614
scaffold_1,5434387,5461244,5447590,25000,0.002445,0.002189,0.002219,-0.022286
scaffold_1,5461245,5487055,5474202,25000,0.002108,0.001799,0.002676,0.160254
scaffold_1,5487056,5513527,5500277,25000,0.001185,0.001816,0.001415,-0.045418
scaffold_1,5513528,5539497,5526486,25000,0.003758,0.003835,0.004396,0.07534
scaffold_1,5539498,5571755,5552680,25000,0.001939,0.001931,0.002469,0.124604
scaffold_1,5571757,5598203,5585301,25000,0.001582,0.001377,0.002493,0.26339
scaffold_1,5598204,5634226,5615089,25000,0.002028,0.00199,0.001902,-0.028483
scaffold_1,5634227,5664764,5649741,25000,0.001603,0.001926,0.003106,0.278282
scaffold_1,5664765,5706903,5679720,25000,0.001412,0.001418,0.00269,0.316855
scaffold_1,5706904,5746270,5723428,25000,0.002025,0.001865,0.001864,-0.024666
scaffold_1,5746271,5774196,5759888,25000,0.003843,0.003755,0.003865,0.008817
scaffold_1,5774197,5805658,5790333,25000,0.001912,0.001737,0.001714,-0.030135
scaffold_1,5805659,5857177,5827566,25000,0.001561,0.001259,0.001328,-0.030761
scaffold_1,5857178,5883854,5870893,25000,0.00307,0.003064,0.003096,0.004833
scaffold_1,5883855,5924193,5910251,25000,0.001809,0.001521,0.001722,0.017241
scaffold_1,5924194,5995417,5952487,25000,0.001589,0.00165,0.001507,-0.037153
scaffold_1,5995418,6051634,6017086,25000,0.001686,0.001762,0.001617,-0.033083
scaffold_1,6051635,6084831,6068164,25000,0.001366,0.001152,0.001181,-0.03315
scaffold_1,6084832,6117664,6099266,25000,0.001282,0.001269,0.001224,-0.02131
scaffold_1,6117665,6165953,6147777,25000,0.000916,0.001131,0.000959,-0.033825
scaffold_1,6165954,6194154,6180921,25000,0.003892,0.003775,0.00368,-0.021117
scaffold_1,6194155,6332781,6295525,25000,0.001421,0.001584,0.001447,-0.021321
scaffold_1,6332782,6390788,6368161,25000,0.001639,0.001743,0.002695,0.227266
scaffold_1,6390789,6431574,6404466,25000,0.002932,0.002913,0.002851,-0.01276
scaffold_1,6431575,6458566,6445172,25000,0.002479,0.00217,0.00227,-0.012102
scaffold_1,6458567,6509042,6485777,25000,0.002449,0.002197,0.002516,0.037521
scaffold_1,6509044,6545106,6529002,25000,0.002544,0.001934,0.003406,0.20593
scaffold_1,6545107,6609052,6590787,25000,0.002006,0.001654,0.001917,0.029937
scaffold_1,6609053,6640983,6625064,25000,0.001795,0.001293,0.002038,0.140729
scaffold_1,6640984,6676348,6655975,25000,0.001754,0.00166,0.002086,0.098429
scaffold_1,6676349,6709097,6690756,25000,0.003124,0.003442,0.004129,0.110272
scaffold_1,6709098,6759428,6736164,25000,0.002093,0.001646,0.001942,0.021137
scaffold_1,6759430,6786865,6773322,25000,0.001634,0.001489,0.001875,0.093888
scaffold_1,6786866,6812406,6799615,25000,0.003177,0.003169,0.003651,0.072186
scaffold_1,6812407,6853645,6832519,25000,0.001815,0.002202,0.004543,0.392603
scaffold_1,6853646,6880277,6867112,25000,0.001853,0.001948,0.003394,0.288553
scaffold_1,6880278,6906039,6893178,25000,0.001361,0.001625,0.001733,0.076902
scaffold_1,6906040,6940323,6921332,25000,0.00216,0.001832,0.002961,0.189479
scaffold_1,6940324,6998712,6969710,25000,0.001146,0.001067,0.002703,0.423674
scaffold_1,6998713,7027369,7014244,25000,0.001629,0.001688,0.001707,0.014667
scaffold_1,7027370,7056099,7040530,25000,0.001367,0.001076,0.001143,-0.042575
scaffold_1,7056100,7089306,7070583,25000,0.00144,0.001549,0.001383,-0.033758
scaffold_1,7089307,7126189,7108358,25000,0.001254,0.00129,0.001217,-0.021661
scaffold_1,7126190,7188534,7154674,25000,0.002227,0.002145,0.002773,0.121784
scaffold_1,7188535,7228872,7211690,25000,0.001951,0.001867,0.001791,-0.032968
scaffold_1,7228874,7257523,7243106,25000,0.002099,0.002222,0.002045,-0.028212
scaffold_1,7257524,7298263,7271866,25000,0.001834,0.001938,0.001999,0.028347
scaffold_1,7298264,7324843,7311651,25000,0.002602,0.002665,0.003395,0.129973
scaffold_1,7324844,7356088,7338936,25000,0.003717,0.003398,0.00529,0.186562
scaffold_1,7356089,7382155,7369196,25000,0.001889,0.001904,0.003707,0.330045
scaffold_1,7382156,7411722,7397099,25000,0.001837,0.001861,0.003931,0.366735
scaffold_1,7411723,7452529,7434564,25000,0.00128,0.002205,0.00178,0.010838
scaffold_1,7452530,7478618,7465512,25000,0.001803,0.001633,0.001829,0.032347
scaffold_1,7478619,7530514,7498759,25000,0.00161,0.00131,0.001442,-0.006397
scaffold_1,7530515,7576974,7562677,25000,0.001613,0.001562,0.001649,0.019576
scaffold_1,7576975,7611344,7590355,25000,0.003118,0.002805,0.003418,0.073087
scaffold_1,7611345,7645729,7630985,25000,0.001838,0.001672,0.001855,0.02826
scaffold_1,7645730,7673675,7660742,25000,0.002367,0.002334,0.004806,0.348602
scaffold_1,7673676,7713229,7691948,25000,0.00158,0.002428,0.002445,0.101811
scaffold_1,7713230,7758265,7736763,25000,0.002178,0.001926,0.00225,0.046674
scaffold_1,7758266,7787858,7774407,25000,0.001677,0.001686,0.001863,0.052755
scaffold_1,7787859,7834315,7809080,25000,0.00178,0.001807,0.00192,0.035143
scaffold_1,7834316,7863791,7848681,25000,0.003923,0.003824,0.003892,0.001643
scaffold_1,7863792,7893837,7880613,25000,0.00141,0.001293,0.001286,-0.025509
scaffold_1,7893838,7921275,7906849,25000,0.002197,0.00198,0.002654,0.122645
scaffold_1,7921276,7981006,7954187,25000,0.001021,0.001158,0.001262,0.082039
scaffold_1,7981007,8018022,7999399,25000,0.00195,0.001963,0.001864,-0.025098
scaffold_1,8018023,8077216,8053876,25000,0.000903,0.000933,0.000855,-0.038452
scaffold_1,8077217,8105668,8091131,25000,0.001773,0.001959,0.006162,0.541775
scaffold_1,8105669,8131032,8118328,25000,0.001309,0.001254,0.0012,-0.033948
scaffold_1,8131033,8161499,8144444,25000,0.001511,0.001579,0.001636,0.026256
scaffold_1,8161500,8200999,8181897,25000,0.00162,0.001948,0.001801,0.010969
scaffold_1,8201000,8235535,8216097,25000,0.002422,0.002349,0.004315,0.290099
scaffold_1,8235536,8263129,8249027,25000,0.002769,0.002656,0.003834,0.165836
scaffold_1,8263130,8292584,8276505,25000,0.003533,0.003681,0.00911,0.430463
scaffold_1,8292585,8326690,8312086,25000,0.002248,0.001588,0.004413,0.388848
scaffold_1,8326691,8360940,8340474,25000,0.001626,0.00174,0.002104,0.116387
scaffold_1,8360941,8440545,8415944,25000,0.001671,0.001348,0.002084,0.164104
scaffold_1,8440546,8466935,8453834,25000,0.00447,0.004457,0.004325,-0.016243
scaffold_1,8466936,8492273,8479612,25000,0.00182,0.001748,0.001856,0.021599
scaffold_1,8492274,8536239,8513000,25000,0.003277,0.00343,0.007549,0.384799
scaffold_1,8536240,8562439,8549639,25000,0.001596,0.00197,0.002762,0.220805
scaffold_1,8562440,8592060,8576606,25000,0.001589,0.001389,0.00216,0.188716
scaffold_1,8592061,8638305,8619207,25000,0.002988,0.00333,0.00626,0.334167
scaffold_1,8638306,8666028,8651861,25000,0.001212,0.002377,0.002356,0.12222
scaffold_1,8666029,8716196,8690049,25000,0.001378,0.001392,0.001293,-0.036642
scaffold_1,8716197,8760575,8742054,25000,0.000862,0.00103,0.000895,-0.028844
scaffold_1,8760576,8799986,8783911,25000,0.001898,0.001443,0.00306,0.297973
scaffold_1,8799987,8827696,8813774,25000,0.003018,0.002615,0.002702,-0.021413
scaffold_1,8827697,8854865,8841386,25000,0.001972,0.001563,0.001728,-0.019431
scaffold_1,8854866,8901660,8887554,25000,0.003471,0.003188,0.003881,0.078809
scaffold_1,8901661,8951350,8928861,25000,0.001738,0.001665,0.001614,-0.027318
scaffold_1,8951351,9001894,8979377,25000,0.001753,0.002097,0.001858,-0.018289
scaffold_1,9001895,9046748,9030727,25000,0.002884,0.002753,0.002655,-0.030741
scaffold_1,9046749,9123702,9078784,25000,0.001821,0.001546,0.001582,-0.030828
scaffold_1,9123703,9156992,9141249,25000,0.001623,0.001415,0.00331,0.370856
scaffold_1,9156993,9194130,9176313,25000,0.001424,0.001273,0.001293,-0.021598
scaffold_1,9194131,9220138,9207269,25000,0.001894,0.001936,0.001798,-0.032055
scaffold_1,9220139,9247577,9233345,25000,0.002158,0.001986,0.001944,-0.032825
scaffold_1,9247578,9274982,9261085,25000,0.001149,0.001404,0.002672,0.360711
scaffold_1,9274983,9309277,9294796,25000,0.001327,0.001253,0.001778,0.159199
scaffold_1,9309278,9369161,9333576,25000,0.001383,0.001504,0.001344,-0.039843
scaffold_1,9369162,9394548,9381859,25000,0.001812,0.002264,0.001925,-0.029627
scaffold_1,9394549,9422335,9407778,25000,0.002808,0.00269,0.002739,-0.003324
scaffold_1,9422336,9454818,9437924,25000,0.001108,0.001057,0.003356,0.518796
scaffold_1,9454819,9480074,9467437,25000,0.002847,0.002937,0.00298,0.015395
scaffold_1,9480075,9507745,9494672,25000,0.001747,0.001876,0.001695,-0.03404
scaffold_1,9507746,9537427,9521648,25000,0.001874,0.001695,0.001636,-0.044829
scaffold_1,9537428,9566311,9552850,25000,0.002014,0.002275,0.002037,-0.026539
scaffold_1,9566312,9593002,9579847,25000,0.002439,0.002752,0.003452,0.145512
scaffold_1,9593003,9623197,9609595,25000,0.00263,0.002498,0.003054,0.08957
scaffold_1,9623198,9659052,9638912,25000,0.001648,0.001361,0.001426,-0.027849
scaffold_1,9659053,9691265,9674368,25000,0.001918,0.001886,0.001815,-0.024256
scaffold_1,9691266,9720181,9705394,25000,0.002759,0.002841,0.004536,0.238344
scaffold_1,9720182,9759469,9738379,25000,0.001571,0.001511,0.007099,0.647832
scaffold_1,9759470,9785795,9772631,25000,0.000979,0.001136,0.001464,0.155902
scaffold_1,9785796,9813569,9799670,25000,0.001452,0.0017,0.001837,0.06812
scaffold_1,9813570,9842341,9828531,25000,0.001672,0.00139,0.002229,0.194073
scaffold_1,9842342,9877199,9858169,25000,0.001482,0.001554,0.001438,-0.027831
scaffold_1,9877200,9902673,9889924,25000,0.001307,0.001441,0.001406,0.008761
scaffold_1,9902674,9929325,9916041,25000,0.002155,0.002173,0.003077,0.179905
scaffold_1,9929326,10000154,9962540,25000,0.002054,0.001406,0.001895,0.047956
scaffold_1,10000155,10025552,10012826,25000,0.001468,0.001311,0.001346,-0.020316
scaffold_1,10025553,10053335,10039241,25000,0.002574,0.002959,0.002694,-0.013694
scaffold_1,10053336,10081879,10068720,25000,0.001395,0.001524,0.001358,-0.037109
scaffold_1,10081881,10112742,10096168,25000,0.001093,0.000997,0.000976,-0.031857
scaffold_1,10112743,10171829,10145280,25000,0.001475,0.001115,0.001368,0.036341
scaffold_1,10171830,10241034,10206736,25000,0.001451,0.001437,0.001378,-0.024462
scaffold_1,10241035,10283946,10260400,25000,0.001337,0.001366,0.001264,-0.035206
scaffold_1,10283947,10314938,10301219,25000,0.00154,0.001341,0.001361,-0.029054
scaffold_1,10314939,10351018,10331704,25000,0.003064,0.002874,0.004371,0.194243
scaffold_1,10351019,10422313,10376297,25000,0.002024,0.001759,0.005267,0.477838
scaffold_1,10422314,10450480,10436532,25000,0.001856,0.001857,0.001772,-0.024059
scaffold_1,10450481,10486611,10466778,25000,0.001689,0.001659,0.001779,0.032913
scaffold_1,10486612,10535767,10516636,25000,0.001538,0.001332,0.001709,0.089866
scaffold_1,10535768,10563068,10549375,25000,0.002931,0.002776,0.003133,0.048182
scaffold_1,10563069,10601446,10578530,25000,0.001702,0.001539,0.001533,-0.028548
scaffold_1,10601447,10628357,10614532,25000,0.001849,0.001925,0.003223,0.266361
scaffold_1,10628358,10773565,10658153,25000,0.001665,0.001786,0.004544,0.451929
scaffold_1,10773566,10853594,10811442,25000,0.001504,0.001673,0.00183,0.072189
scaffold_1,10853595,10907473,10878011,25000,0.001717,0.001764,0.002262,0.134546
scaffold_1,10907474,10933477,10920222,25000,0.001353,0.00167,0.001432,-0.028074
scaffold_1,10933478,10966313,10951126,25000,0.002063,0.002134,0.001974,-0.0315
scaffold_1,10966314,11001046,10985723,25000,0.001855,0.002409,0.003204,0.206087
scaffold_1,11001047,11031683,11015885,25000,0.001378,0.00199,0.002953,0.280065
scaffold_1,11031684,11058356,11044828,25000,0.002789,0.002937,0.002771,-0.017011
scaffold_1,11058357,11086225,11072160,25000,0.002441,0.002179,0.002225,-0.023417
scaffold_1,11086226,11117089,11102024,25000,0.001267,0.000901,0.001071,0.003765
scaffold_1,11117090,11149172,11132877,25000,0.001516,0.001665,0.001556,-0.014445
scaffold_1,11149173,11179481,11163518,25000,0.001119,0.000991,0.000959,-0.03872
scaffold_1,11179482,11216068,11193159,25000,0.003184,0.003203,0.004035,0.119711
scaffold_1,11216069,11241892,11228931,25000,0.00178,0.001698,0.002942,0.259977
scaffold_1,11241893,11277043,11258850,25000,0.001474,0.001572,0.00153,-0.000174
scaffold_1,11277044,11325586,11306008,25000,0.001665,0.001985,0.00234,0.127043
scaffold_1,11325587,11360144,11342616,25000,0.001411,0.001904,0.002127,0.127593
scaffold_1,11360145,11399267,11375434,25000,0.002099,0.002745,0.0023,-0.030482
scaffold_1,11399268,11427906,11413635,25000,0.001604,0.001878,0.001809,0.014129
scaffold_1,11427907,11456333,11442592,25000,0.00138,0.00145,0.002305,0.244853
scaffold_1,11456334,11496086,11476872,25000,0.004832,0.003928,0.005323,0.099344
scaffold_1,11496087,11524168,11510562,25000,0.002571,0.001774,0.002554,0.093191
scaffold_1,11524169,11553104,11538870,25000,0.002237,0.001717,0.002629,0.145437
scaffold_1,11553105,11581804,11567070,25000,0.002386,0.002101,0.003465,0.219374
scaffold_1,11581805,11607992,11594899,25000,0.002654,0.001865,0.004121,0.303458
scaffold_1,11607993,11634568,11621160,25000,0.001664,0.001689,0.004227,0.437915
scaffold_1,11634569,11660287,11647453,25000,0.001928,0.001746,0.003086,0.259862
scaffold_1,11660288,11724197,11681983,25000,0.002239,0.002316,0.002179,-0.02274
scaffold_1,11724198,11751447,11737788,25000,0.002543,0.001922,0.004325,0.331565
scaffold_1,11751448,11783091,11768685,25000,0.002744,0.002164,0.002944,0.092114
scaffold_1,11783092,11811687,11797959,25000,0.003428,0.003679,0.003617,0.009297
scaffold_1,11811688,11845038,11826540,25000,0.002383,0.0024,0.002837,0.08774
scaffold_1,11845040,11883876,11866036,25000,0.001526,0.001666,0.001548,-0.015774
scaffold_1,11883877,11942498,11918629,25000,0.00242,0.002276,0.002305,-0.009504
scaffold_1,11942499,11982250,11961399,25000,0.002349,0.002242,0.002158,-0.031865
scaffold_1,11982251,12016232,11997365,25000,0.002336,0.00239,0.002343,-0.004503
scaffold_1,12016233,12083639,12048482,25000,0.001607,0.001554,0.002,0.119304
scaffold_1,12083640,12133280,12103708,25000,0.003695,0.003361,0.003644,0.0164
scaffold_1,12133281,12164569,12148903,25000,0.001837,0.001362,0.001501,-0.032834
scaffold_1,12164570,12194561,12180025,25000,0.001241,0.001476,0.001324,-0.012978
scaffold_1,12194562,12245338,12219102,25000,0.002753,0.002945,0.00267,-0.036502
scaffold_1,12245339,12271721,12258833,25000,0.001488,0.001432,0.001363,-0.036834
scaffold_1,12271722,12298365,12285411,25000,0.002269,0.002369,0.005462,0.4079
scaffold_1,12298367,12335745,12320825,25000,0.001992,0.002088,0.001951,-0.023118
scaffold_1,12335746,12380425,12354245,25000,0.002076,0.001785,0.003392,0.280899
scaffold_1,12380426,12407319,12393427,25000,0.003162,0.003176,0.003074,-0.015699
scaffold_1,12407320,12469909,12453484,25000,0.001686,0.00146,0.005932,0.587168
scaffold_1,12469910,12495738,12482827,25000,0.002156,0.001846,0.002578,0.129538
scaffold_1,12495739,12544938,12515792,25000,0.001738,0.001807,0.005623,0.528552
scaffold_1,12544939,12622456,12579320,25000,0.002225,0.002203,0.004746,0.36944
scaffold_1,12622457,12674927,12643105,25000,0.001674,0.001638,0.002488,0.206049
scaffold_1,12674928,12709832,12691351,25000,0.002577,0.002605,0.004975,0.325569
scaffold_1,12709833,12740292,12724584,25000,0.002114,0.001893,0.002831,0.177833
scaffold_1,12740293,12776997,12760284,25000,0.002014,0.001919,0.002216,0.062624
scaffold_1,12776998,12809254,12792953,25000,0.002362,0.002608,0.008393,0.549757
scaffold_1,12809255,12849109,12827263,25000,0.001552,0.001592,0.001804,0.070613
scaffold_1,12849110,12915965,12865878,25000,0.001489,0.001712,0.001484,-0.02848
scaffold_1,12915966,12948987,12933149,25000,0.002162,0.002618,0.005034,0.363357
scaffold_1,12948988,13009858,12977778,25000,0.001874,0.002425,0.002164,0.011935
scaffold_1,13009859,13089751,13028008,25000,0.001833,0.0017,0.001916,0.039441
scaffold_1,13089752,13194853,13142167,25000,0.003648,0.004176,0.008309,0.367481
scaffold_1,13194854,13303604,13242281,25000,0.003196,0.002389,0.005029,0.292521
scaffold_1,13303605,13423403,13358819,25000,0.004069,0.004002,0.00639,0.234771
scaffold_1,13423404,13522988,13475882,25000,0.00217,0.002018,0.002221,0.030892
scaffold_1,13522989,13565363,13545467,25000,0.002564,0.002485,0.003891,0.21735
scaffold_1,13565364,13617260,13596485,25000,0.00361,0.003449,0.00531,0.205579
scaffold_1,13617265,13728181,13656517,25000,0.001061,0.001162,0.006807,0.725024
scaffold_1,13728182,13825803,13775445,25000,0.00239,0.00256,0.002558,0.01484
scaffold_1,13825804,13943869,13881461,25000,0.001504,0.001583,0.001582,0.01264
scaffold_1,13943870,14088502,14049101,25000,0.004194,0.002888,0.007764,0.384653
scaffold_1,14088503,14138704,14119352,25000,0.004336,0.004574,0.004407,-0.005606
scaffold_1,14138705,14254666,14205925,25000,0.003305,0.004409,0.006726,0.277397
scaffold_1,14254667,14529196,14392901,25000,0.004448,0.004465,0.006794,0.212992
scaffold_1,14529197,14577183,14555499,25000,0.002192,0.002711,0.002588,0.020085
scaffold_1,14577184,14750971,14627498,25000,0.002378,0.002504,0.002375,-0.014048
scaffold_1,14750972,14858262,14793872,25000,0.002547,0.002892,0.004497,0.250777
scaffold_1,14858263,15035436,14932606,25000,0.002564,0.002069,0.002216,-0.023724
scaffold_1,15035437,15595464,15183875,25000,0.003641,0.005107,0.005209,0.089747
scaffold_1,15595465,15663037,15621430,25000,0.00239,0.001882,0.002068,-0.016846
scaffold_1,15663038,15753869,15721616,25000,0.001762,0.002078,0.002162,0.060688
scaffold_1,15753870,16159954,15996644,25000,0.003361,0.003207,0.00323,-0.00852
scaffold_1,16159955,16205755,16180952,25000,0.002404,0.002371,0.002541,0.031997
scaffold_1,16205756,16276149,16248733,25000,0.002603,0.002832,0.002932,0.039249
scaffold_1,16276150,16329044,16299595,25000,0.002827,0.001832,0.002483,0.031446
scaffold_1,16329045,16388996,16353963,25000,0.00148,0.001993,0.00175,0.00396
scaffold_1,16388997,16457894,16425697,25000,0.00282,0.002115,0.002613,0.028468
scaffold_1,16457895,16500262,16479835,25000,0.002743,0.002494,0.003839,0.19603
scaffold_1,16500264,16542196,16518433,25000,0.005247,0.004783,0.006517,0.133956
scaffold_1,16542198,16584933,16564593,25000,0.002953,0.00266,0.002793,-0.002563
scaffold_1,16584934,16611221,16597924,25000,0.001686,0.001707,0.001576,-0.038208
scaffold_1,16611222,16649025,16628148,25000,0.003221,0.003197,0.003036,-0.028757
scaffold_1,16649026,16676217,16662723,25000,0.001457,0.001273,0.001268,-0.038349
scaffold_1,16676218,16724459,16697388,25000,0.001904,0.001936,0.002572,0.149625
scaffold_1,16724460,16794502,16764551,25000,0.001388,0.00152,0.001509,0.019333
scaffold_1,16794503,16821385,16807772,25000,0.001454,0.001598,0.001413,-0.040752
