scaffold,start,end,mid,sites,pi_Hrs1,pi_Hrs2,dxy_Hrs1_Hrs2,Fst_Hrs1_Hrs2
scaffold_1,3114539,3174027,3146258,25000,0.003514,0.002931,0.0067,0.358812
scaffold_1,3174028,3211249,3189621,25000,0.00296,0.002783,0.00389,0.148796
scaffold_1,3211250,3243220,3230199,25000,0.002568,0.003461,0.009791,0.539884
scaffold_1,3243221,3272041,3258624,25000,0.001979,0.001871,0.002147,0.055909
scaffold_1,3272042,3308860,3286014,25000,0.001878,0.001483,0.001597,-0.026435
scaffold_1,3308861,3336962,3321739,25000,0.002033,0.002179,0.002042,-0.015998
scaffold_1,3336963,3374103,3355125,25000,0.001144,0.001176,0.001181,0.009288
scaffold_1,3374104,3401464,3387444,25000,0.001475,0.001713,0.001579,-0.004808
scaffold_1,3401465,3427909,3415097,25000,0.00218,0.001835,0.003222,0.238784
scaffold_1,3427910,3453391,3440602,25000,0.001901,0.001711,0.00266,0.197007
scaffold_1,3453392,3482374,3468121,25000,0.001344,0.001244,0.001245,-0.019939
scaffold_1,3482375,3508555,3495633,25000,0.001869,0.001819,0.002343,0.123118
scaffold_1,3508556,3534799,3521758,25000,0.002264,0.001856,0.002005,-0.014109
scaffold_1,3534800,3560459,3547537,25000,0.003623,0.00283,0.0077,0.420667
scaffold_1,3560460,3591213,3574783,25000,0.003894,0.00363,0.004012,0.03065
scaffold_1,3591214,3616857,3604054,25000,0.00264,0.002978,0.002677,-0.025056
scaffold_1,3616858,3643516,3630018,25000,0.003249,0.003462,0.003133,-0.035649
scaffold_1,3643517,3669909,3656973,25000,0.00327,0.003232,0.003023,-0.037766
scaffold_1,3669910,3695353,3682576,25000,0.001278,0.002274,0.00183,0.015541
scaffold_1,3695354,3723715,3709957,25000,0.00213,0.001909,0.001961,-0.015334
scaffold_1,3723716,3759758,3743087,25000,0.002001,0.002076,0.001937,-0.026036
scaffold_1,3759759,3831973,3812444,25000,0.002012,0.002506,0.002237,-0.005181
scaffold_1,3831974,3886767,3851537,25000,0.002976,0.004195,0.003836,0.035046
scaffold_1,3886768,3933067,3907393,25000,0.004412,0.010058,0.008208,0.064627
scaffold_1,3933068,3963487,3948026,25000,0.00422,0.004937,0.006208,0.154538
scaffold_1,3963488,4008687,3989572,25000,0.001635,0.001758,0.002307,0.15953
scaffold_1,4008688,4057560,4030863,25000,0.006491,0.003703,0.006086,0.073423
scaffold_1,4057561,4297370,4159127,25000,0.001395,0.002541,0.002201,0.044291
scaffold_1,4297371,4386357,4317591,25000,0.001298,0.001344,0.001223,-0.03986
scaffold_1,4386358,4412624,4399627,25000,0.001455,0.001432,0.001343,-0.037623
scaffold_1,4412625,4443090,4428310,25000,0.001755,0.001423,0.001604,0.00463
scaffold_1,4443091,4472439,4457162,25000,0.001639,0.003872,0.003678,0.147939
scaffold_1,4472440,4562643,4497858,25000,0.003011,0.001846,0.002714,0.040603
scaffold_1,4562644,4597748,4579939,25000,0.003076,0.002912,0.002861,-0.024049
scaffold_1,4597749,4654447,4621157,25000,0.004334,0.003547,0.004538,0.072955
scaffold_1,4654448,4796410,4701177,25000,0.005767,0.006615,0.006071,-0.010188
scaffold_1,4796411,4834713,4818914,25000,0.007677,0.007281,0.007919,0.029602
scaffold_1,4834714,4915222,4890015,25000,0.004677,0.00473,0.005442,0.075259
scaffold_1,4915223,5007107,4963171,25000,0.004169,0.005063,0.005556,0.095469
scaffold_1,5007108,5070391,5030046,25000,0.005124,0.00663,0.006126,0.021512
scaffold_1,5070392,5153184,5129473,25000,0.002153,0.002984,0.003674,0.182493
scaffold_1,5153185,5193353,5172340,25000,0.002539,0.003069,0.002958,0.027673
scaffold_1,5193354,5240947,5221815,25000,0.003699,0.002545,0.004934,0.231361
scaffold_1,5240948,5270791,5255178,25000,0.00204,0.002166,0.003946,0.312446
scaffold_1,5270792,5300762,5284623,25000,0.00169,0.002485,0.003521,0.262585
scaffold_1,5300763,5328082,5314864,25000,0.001858,0.00161,0.001777,0.012724
scaffold_1,5328083,5354219,5341555,25000,0.001282,0.001237,0.002088,0.254302
scaffold_1,5354221,5392746,5379250,25000,0.002614,0.002017,0.002531,0.04606
scaffold_1,5392747,5490138,5463188,25000,0.002041,0.001602,0.001777,-0.012849
scaffold_1,5490139,5585538,5543103,25000,0.002153,0.001656,0.001989,0.022455
scaffold_1,5585539,5651556,5627576,25000,0.001966,0.001948,0.002034,0.019947
scaffold_1,5651557,5818591,5714764,25000,0.005706,0.004464,0.006621,0.127976
scaffold_1,5818592,5904807,5886935,25000,0.003121,0.002378,0.003396,0.108649
scaffold_1,5904808,5973067,5945686,25000,0.002515,0.002944,0.003945,0.187614
scaffold_1,5973068,6016160,5998358,25000,0.002683,0.003766,0.003851,0.080445
scaffold_1,6016161,6047861,6031674,25000,0.003709,0.002253,0.003763,0.118766
scaffold_1,6047862,6077138,6062654,25000,0.004183,0.004513,0.006368,0.195588
scaffold_1,6077139,6159341,6099064,25000,0.002137,0.001767,0.001841,-0.030417
scaffold_1,6159342,6233440,6187715,25000,0.001685,0.001768,0.001662,-0.019248
scaffold_1,6233441,6260207,6246898,25000,0.003317,0.002412,0.009753,0.556606
scaffold_1,6260208,6286730,6273167,25000,0.001273,0.00178,0.002958,0.327104
scaffold_1,6286731,6312724,6299657,25000,0.001673,0.00188,0.001652,-0.037802
scaffold_1,6312725,6338381,6325521,25000,0.001188,0.001205,0.001097,-0.04519
scaffold_1,6338382,6373172,6359880,25000,0.001384,0.001347,0.001263,-0.040397
scaffold_1,6373173,6399601,6386261,25000,0.002197,0.002157,0.002021,-0.038492
scaffold_1,6399602,6429132,6414046,25000,0.00151,0.003816,0.005979,0.358722
scaffold_1,6429133,6514071,6457853,25000,0.003783,0.004741,0.006242,0.194189
scaffold_1,6514072,6541429,6527328,25000,0.003439,0.003528,0.003234,-0.038519
scaffold_1,6541430,6582676,6564508,25000,0.00358,0.003804,0.003628,-0.009068
scaffold_1,6582677,6625902,6607220,25000,0.002561,0.002572,0.002915,0.065735
scaffold_1,6625903,6653250,6639321,25000,0.00196,0.00166,0.001736,-0.021528
scaffold_1,6653251,6683037,6666740,25000,0.002219,0.001427,0.002564,0.174221
scaffold_1,6683038,6710028,6696893,25000,0.001663,0.002042,0.001824,-0.008049
scaffold_1,6710029,6779785,6740567,25000,0.001927,0.002264,0.003887,0.307188
scaffold_1,6779786,6853483,6826994,25000,0.002941,0.003056,0.002789,-0.037553
scaffold_1,6853484,6967537,6929066,25000,0.002661,0.003829,0.011254,0.561349
scaffold_1,6967538,7001271,6984592,25000,0.002546,0.002516,0.002439,-0.019341
scaffold_1,7001272,7078722,7034597,25000,0.002755,0.003564,0.002971,-0.031996
scaffold_1,7078723,7120689,7098419,25000,0.00218,0.002238,0.002073,-0.032874
scaffold_1,7120690,7155770,7134658,25000,0.001644,0.001681,0.001543,-0.038562
scaffold_1,7155771,7181423,7168696,25000,0.001437,0.001416,0.00294,0.354896
scaffold_1,7181424,7233217,7201684,25000,0.001357,0.001414,0.003125,0.387781
scaffold_1,7233218,7309751,7267580,25000,0.002489,0.003081,0.003965,0.180102
scaffold_1,7309752,7341427,7325976,25000,0.003245,0.003089,0.002937,-0.039123
scaffold_1,7341428,7376883,7358029,25000,0.002681,0.002535,0.002884,0.0518
scaffold_1,7376884,7431100,7405631,25000,0.002201,0.002117,0.003495,0.242935
scaffold_1,7431101,7492908,7462532,25000,0.002572,0.002278,0.002312,-0.024663
scaffold_1,7492909,7529717,7511212,25000,0.003094,0.002964,0.002818,-0.037503
scaffold_1,7529718,7559877,7545554,25000,0.002377,0.001632,0.001978,-0.006799
scaffold_1,7559878,7599491,7576493,25000,0.002446,0.002318,0.002701,0.066498
scaffold_1,7599492,7682106,7657875,25000,0.002806,0.003986,0.003709,0.045701
scaffold_1,7682107,7707593,7694950,25000,0.003088,0.003129,0.00296,-0.025349
scaffold_1,7707594,7757739,7722337,25000,0.001252,0.001245,0.001162,-0.037064
scaffold_1,7757740,7785595,7771492,25000,0.001377,0.001568,0.001441,-0.011116
scaffold_1,7785596,7812666,7799269,25000,0.002291,0.002416,0.002185,-0.038503
scaffold_1,7812667,7856341,7831810,25000,0.00166,0.001666,0.001558,-0.034053
scaffold_1,7856342,7885469,7869870,25000,0.001645,0.002485,0.00209,0.006297
scaffold_1,7885470,7917534,7903480,25000,0.003844,0.002379,0.003128,-0.015679
scaffold_1,7917535,7946568,7931282,25000,0.002422,0.004156,0.003447,0.024027
scaffold_1,7946569,7981712,7966093,25000,0.001951,0.003502,0.004043,0.199779
scaffold_1,7981713,8007224,7994540,25000,0.00136,0.00128,0.001226,-0.038199
scaffold_1,8007225,8036488,8021886,25000,0.002428,0.002466,0.002349,-0.021265
scaffold_1,8036489,8061823,8049101,25000,0.000864,0.000894,0.000816,-0.03846
scaffold_1,8061824,8089319,8075793,25000,0.002323,0.00239,0.002222,-0.030453
scaffold_1,8089320,8136303,8117143,25000,0.001897,0.001906,0.001803,-0.027551
scaffold_1,8136304,8233255,8173155,25000,0.002153,0.002595,0.002227,-0.0331
scaffold_1,8233256,8421234,8277776,25000,0.002493,0.002328,0.002304,-0.023535
scaffold_1,8421235,8475285,8452987,25000,0.002387,0.002009,0.00222,0.005155
scaffold_1,8475286,8571322,8530707,25000,0.002024,0.003992,0.004234,0.132085
scaffold_1,8571323,8835384,8725161,25000,0.004206,0.004866,0.004651,0.01371
scaffold_1,8835385,8861369,8848294,25000,0.00201,0.002137,0.001943,-0.033866
scaffold_1,8861370,8892838,8878561,25000,0.003923,0.003925,0.003644,-0.038465
scaffold_1,8892839,8919354,8906111,25000,0.002157,0.002157,0.002003,-0.038459
scaffold_1,8919355,8949191,8932940,25000,0.005156,0.005267,0.004848,-0.03751
scaffold_1,8949192,8975844,8962694,25000,0.00195,0.002084,0.001891,-0.033434
scaffold_1,8975845,9001374,8988569,25000,0.002603,0.002602,0.002417,-0.038459
scaffold_1,9001375,9027765,9014795,25000,0.004167,0.004094,0.003922,-0.026944
scaffold_1,9027766,9057291,9042255,25000,0.002142,0.001967,0.001968,-0.022271
scaffold_1,9057292,9083961,9070526,25000,0.003486,0.00249,0.00352,0.084474
scaffold_1,9083962,9155399,9114212,25000,0.003482,0.002538,0.00313,0.018539
scaffold_1,9155400,9216170,9182661,25000,0.003614,0.003831,0.004209,0.063842
scaffold_1,9216171,9277290,9242655,25000,0.003449,0.002246,0.003057,0.036106
scaffold_1,9277291,9344387,9310593,25000,0.004898,0.00309,0.0053,0.145585
scaffold_1,9344388,9404708,9390339,25000,0.00211,0.002475,0.002152,-0.032905
scaffold_1,9404709,9479974,9435834,25000,0.004867,0.004615,0.004468,-0.030806
scaffold_1,9479975,9546888,9521589,25000,0.003022,0.001978,0.002716,0.042412
scaffold_1,9546889,9607839,9585852,25000,0.002202,0.0022,0.002189,-0.00297
scaffold_1,9607840,9657559,9638920,25000,0.003095,0.002959,0.00281,-0.038685
scaffold_1,9657560,9695629,9679920,25000,0.002837,0.002671,0.002568,-0.036224
scaffold_1,9695630,9763671,9733636,25000,0.002642,0.002627,0.002446,-0.038528
scaffold_1,9763672,9831384,9800524,25000,0.003736,0.003797,0.003645,-0.016994
scaffold_1,9831385,9866091,9847442,25000,0.003762,0.002417,0.003141,0.008525
scaffold_1,9866092,9901884,9882467,25000,0.001958,0.00183,0.001758,-0.038648
scaffold_1,9901885,9941290,9920843,25000,0.004257,0.004241,0.003966,-0.035766
scaffold_1,9941291,9994351,9969497,25000,0.006934,0.008127,0.00749,-0.002823
scaffold_1,9994352,10058687,10027678,25000,0.002327,0.00166,0.002015,0.005528
scaffold_1,10058688,10112657,10080621,25000,0.001311,0.001172,0.001404,0.059615
scaffold_1,10112658,10145221,10126096,25000,0.001255,0.001256,0.001151,-0.045432
scaffold_1,10145222,10171800,10157980,25000,0.002051,0.002033,0.001908,-0.035111
scaffold_1,10171801,10200395,10184811,25000,0.001704,0.001659,0.001575,-0.033974
scaffold_1,10200396,10228045,10214416,25000,0.00189,0.001891,0.001755,-0.038667
scaffold_1,10228046,10253893,10240786,25000,0.003568,0.004011,0.004107,0.037346
scaffold_1,10253894,10286939,10274010,25000,0.001803,0.001919,0.001962,0.027157
scaffold_1,10286940,10330672,10301762,25000,0.002405,0.002409,0.002238,-0.037699
scaffold_1,10330673,10444107,10398749,25000,0.00181,0.00151,0.001544,-0.037527
scaffold_1,10444108,10469629,10457013,25000,0.001669,0.001669,0.001551,-0.038013
scaffold_1,10469630,10494670,10482150,25000,0.001296,0.001564,0.001367,-0.023307
scaffold_1,10494671,10585726,10537843,25000,0.001745,0.001693,0.001608,-0.034531
scaffold_1,10585727,10613432,10598826,25000,0.000685,0.000654,0.000626,-0.034697
scaffold_1,10613433,10711858,10675936,25000,0.001789,0.001757,0.002036,0.071338
scaffold_1,10711859,10750205,10727088,25000,0.001688,0.001758,0.0016,-0.038564
scaffold_1,10750206,10801284,10773466,25000,0.002634,0.002504,0.002438,-0.027028
scaffold_1,10801285,10827212,10814172,25000,0.001171,0.001054,0.001033,-0.038444
scaffold_1,10827213,10853370,10840325,25000,0.001434,0.001423,0.001326,-0.03853
scaffold_1,10853371,10894005,10869048,25000,0.000812,0.00094,0.000819,-0.034629
scaffold_1,10894006,10919776,10906953,25000,0.001525,0.001525,0.001416,-0.038568
scaffold_1,10919777,10945628,10932533,25000,0.001781,0.001858,0.001696,-0.03649
scaffold_1,10945629,11020525,10986883,25000,0.002113,0.002257,0.002211,0.00623
scaffold_1,11020526,11046461,11033717,25000,0.001095,0.001008,0.000976,-0.038759
scaffold_1,11046462,11086554,11065745,25000,0.001188,0.001188,0.001103,-0.038251
scaffold_1,11086555,11137108,11108750,25000,0.001767,0.001572,0.001539,-0.042381
scaffold_1,11137109,11164691,11150390,25000,0.004438,0.004307,0.01145,0.452276
scaffold_1,11164692,11190331,11177493,25000,0.002524,0.002177,0.002287,-0.014216
scaffold_1,11190332,11228588,11206462,25000,0.001852,0.001791,0.001713,-0.031773
scaffold_1,11228589,11268717,11252183,25000,0.001721,0.002365,0.001959,-0.025676
scaffold_1,11268718,11308446,11286509,25000,0.001991,0.001836,0.002468,0.130632
scaffold_1,11308447,11334320,11321456,25000,0.002122,0.002207,0.002177,0.002933
scaffold_1,11334321,11366344,11353425,25000,0.002304,0.002583,0.002909,0.089852
scaffold_1,11366345,11410292,11391235,25000,0.00236,0.001847,0.002053,-0.012721
scaffold_1,11410293,11458400,11435947,25000,0.001526,0.001417,0.001381,-0.033009
scaffold_1,11458401,11489325,11473756,25000,0.001805,0.00164,0.001598,-0.038829
scaffold_1,11489326,11519394,11503584,25000,0.002941,0.002826,0.002724,-0.029468
scaffold_1,11519395,11545566,11532478,25000,0.001777,0.002037,0.001808,-0.027658
scaffold_1,11545567,11581838,11568060,25000,0.001422,0.001564,0.001457,-0.012665
scaffold_1,11581839,11609827,11595275,25000,0.00323,0.001562,0.008165,0.549113
scaffold_1,11609828,11650770,11631766,25000,0.002948,0.002665,0.002816,0.001742
scaffold_1,11650771,11689528,11669776,25000,0.002228,0.003005,0.003102,0.086842
scaffold_1,11689529,11744818,11709855,25000,0.002413,0.003048,0.004616,0.259108
scaffold_1,11744819,11772009,11758101,25000,0.003654,0.005477,0.005956,0.124412
scaffold_1,11772010,11800210,11786620,25000,0.001487,0.00224,0.002137,0.066832
scaffold_1,11800211,11847284,11829793,25000,0.00169,0.001105,0.003564,0.449519
scaffold_1,11847285,11874121,11860732,25000,0.001587,0.002142,0.001806,-0.016482
scaffold_1,11874122,11910718,11893087,25000,0.002036,0.002057,0.003115,0.212992
scaffold_1,11910719,11999042,11964051,25000,0.002047,0.001839,0.00215,0.05237
scaffold_1,11999043,12032730,12013628,25000,0.001987,0.002273,0.00832,0.593961
scaffold_1,12032731,12067417,12047283,25000,0.001337,0.001427,0.001899,0.162322
scaffold_1,12067418,12092537,12080007,25000,0.001289,0.001533,0.001321,-0.03414
scaffold_1,12092538,12136193,12119575,25000,0.002614,0.002486,0.002371,-0.037911
scaffold_1,12136194,12161718,12148934,25000,0.003184,0.003245,0.003165,-0.008153
scaffold_1,12161719,12186969,12174363,25000,0.00197,0.002012,0.00185,-0.037955
scaffold_1,12186970,12227873,12212900,25000,0.002067,0.002318,0.002048,-0.035546
scaffold_1,12227874,12257784,12242933,25000,0.001409,0.001315,0.001276,-0.033858
scaffold_1,12257785,12331597,12284197,25000,0.001692,0.001765,0.001615,-0.03467
scaffold_1,12331598,12397002,12374780,25000,0.00161,0.001494,0.001448,-0.035908
scaffold_1,12397003,12443052,12419491,25000,0.002178,0.001643,0.00198,0.018471
scaffold_1,12443053,12468388,12455708,25000,0.001573,0.001456,0.001416,-0.034676
scaffold_1,12468389,12503352,12486483,25000,0.00134,0.001368,0.001258,-0.038295
scaffold_1,12503353,12529277,12516438,25000,0.00569,0.005438,0.005197,-0.035411
scaffold_1,12529278,12556406,12542882,25000,0.00269,0.002772,0.002618,-0.02179
scaffold_1,12556407,12583290,12569718,25000,0.001521,0.001528,0.001415,-0.038694
scaffold_1,12583291,12627872,12612327,25000,0.006972,0.006772,0.006381,-0.038448
scaffold_1,12627873,12694736,12667635,25000,0.00183,0.00183,0.001694,-0.04022
scaffold_1,12694737,12721518,12708130,25000,0.001985,0.002327,0.002701,0.115839
scaffold_1,12721519,12748476,12735204,25000,0.001371,0.00236,0.002826,0.210663
scaffold_1,12748477,12781715,12765302,25000,0.003175,0.003556,0.003423,0.008702
scaffold_1,12781716,12821646,12804614,25000,0.003689,0.003664,0.003464,-0.030923
scaffold_1,12821647,12849038,12835543,25000,0.003032,0.00382,0.003194,-0.036327
scaffold_1,12849039,12880841,12863164,25000,0.003722,0.003748,0.004022,0.038282
scaffold_1,12880842,12920745,12899045,25000,0.002584,0.001972,0.002381,0.012941
scaffold_1,12920746,12966075,12945129,25000,0.00174,0.001925,0.001831,-0.000535
scaffold_1,12966076,13071428,13023506,25000,0.002209,0.003461,0.003062,0.039462
scaffold_1,13071429,13180522,13156946,25000,0.001187,0.001742,0.001689,0.073525
scaffold_1,13180523,13246578,13207262,25000,0.001088,0.001158,0.00112,0.001052
scaffold_1,13246580,13389980,13310335,25000,0.003805,0.002146,0.006287,0.373759
scaffold_1,13389981,13418867,13404673,25000,0.002061,0.002799,0.002847,0.081672
scaffold_1,13418868,13457732,13434134,25000,0.002035,0.002059,0.001976,-0.018343
scaffold_1,13457733,13502371,13478212,25000,0.003333,0.007259,0.011864,0.3914
scaffold_1,13502372,13527754,13514974,25000,0.001789,0.001724,0.001631,-0.038444
scaffold_1,13527755,13583601,13557230,25000,0.002178,0.003206,0.00252,-0.034391
scaffold_1,13583602,13623746,13607394,25000,0.002264,0.002435,0.00236,0.002397
scaffold_1,13623747,13654035,13638712,25000,0.002229,0.001677,0.001982,-0.003063
scaffold_1,13654036,13683257,13669529,25000,0.003937,0.00333,0.003667,0.004756
scaffold_1,13683258,13712790,13698432,25000,0.00379,0.005651,0.004526,-0.021875
scaffold_1,13712791,13744525,13727696,25000,0.001776,0.002108,0.002328,0.093582
scaffold_1,13744526,13785898,13766780,25000,0.003409,0.003024,0.003442,0.035155
scaffold_1,13785899,13812307,13799133,25000,0.001517,0.003457,0.008115,0.545401
scaffold_1,13812308,13838327,13825182,25000,0.001607,0.001655,0.00155,-0.026688
scaffold_1,13838328,13870142,13852082,25000,0.00153,0.001582,0.001562,0.002678
scaffold_1,13870143,13896992,13882924,25000,0.001412,0.001427,0.001315,-0.039689
scaffold_1,13896993,13923808,13910543,25000,0.001466,0.001406,0.001335,-0.03784
scaffold_1,13923809,13951704,13937643,25000,0.001655,0.001839,0.001723,-0.007249
scaffold_1,13951705,14041434,14016303,25000,0.001951,0.002247,0.001985,-0.028915
scaffold_1,14041435,14079792,14064552,25000,0.002032,0.001719,0.008603,0.648015
scaffold_1,14079793,14106649,14093082,25000,0.001866,0.002313,0.002424,0.076697
scaffold_1,14106650,14132534,14119470,25000,0.001433,0.00125,0.001279,-0.02442
scaffold_1,14132535,14178578,14155533,25000,0.002416,0.003669,0.005575,0.293002
scaffold_1,14178579,14208303,14192650,25000,0.001428,0.002248,0.001816,-0.006267
scaffold_1,14208304,14264423,14246510,25000,0.002505,0.002334,0.002288,-0.028885
scaffold_1,14264424,14305075,14286691,25000,0.001669,0.001671,0.001559,-0.035266
scaffold_1,14305076,14330822,14318101,25000,0.0017,0.001781,0.002218,0.122829
scaffold_1,14330823,14356518,14343706,25000,0.002192,0.002291,0.002088,-0.036946
scaffold_1,14356519,14382207,14369384,25000,0.00292,0.002886,0.002924,0.003726
scaffold_1,14382208,14409789,14395406,25000,0.004127,0.004168,0.003877,-0.034954
scaffold_1,14409790,14436781,14423666,25000,0.002058,0.001257,0.001525,-0.043221
scaffold_1,14436782,14504740,14487007,25000,0.002677,0.001179,0.001842,0.006831
scaffold_1,14504741,14551253,14531856,25000,0.001609,0.001723,0.001547,-0.038454
scaffold_1,14551254,14613286,14577739,25000,0.002114,0.003153,0.003133,0.089593
scaffold_1,14613287,14639307,14626167,25000,0.001821,0.002142,0.001841,-0.038065
