scaffold,start,end,mid,sites,pi_Ass1,pi_Ass2,dxy_Ass1_Ass2,Fst_Ass1_Ass2
scaffold_1,3732879,3775439,3755683,25000,0.001479,0.001555,0.001415,-0.036216
scaffold_1,3775440,3815540,3797146,25000,0.001706,0.001779,0.00164,-0.031443
scaffold_1,3815542,3845895,3831034,25000,0.001721,0.001453,0.001477,-0.037178
scaffold_1,3845896,3873555,3859888,25000,0.001926,0.001922,0.001787,-0.03834
scaffold_1,3873556,3910226,3888188,25000,0.001687,0.001626,0.001543,-0.036909
scaffold_1,3910227,3939449,3924704,25000,0.001106,0.001047,0.001038,-0.018549
scaffold_1,3939450,3965638,3952585,25000,0.001991,0.002087,0.002287,0.057661
scaffold_1,3965639,4009985,3988771,25000,0.001531,0.001528,0.00142,-0.038404
scaffold_1,4009986,4040425,4026503,25000,0.002666,0.002788,0.002638,-0.018963
scaffold_1,4040426,4076206,4055248,25000,0.003109,0.002884,0.002904,-0.016308
scaffold_1,4076207,4102377,4089331,25000,0.001733,0.001892,0.001914,0.028204
scaffold_1,4102378,4134425,4119756,25000,0.00127,0.001216,0.002404,0.324855
scaffold_1,4134426,4164159,4149055,25000,0.001844,0.002186,0.002222,0.050508
scaffold_1,4164160,4190538,4177651,25000,0.001668,0.001645,0.002324,0.172805
scaffold_1,4190539,4221717,4203925,25000,0.001615,0.001606,0.00152,-0.030203
scaffold_1,4221718,4251978,4238910,25000,0.001528,0.001354,0.001692,0.082802
scaffold_1,4251979,4312713,4283855,25000,0.001762,0.001422,0.002628,0.252343
scaffold_1,4312714,4347883,4328211,25000,0.001369,0.00144,0.001624,0.072903
scaffold_1,4347884,4381575,4365951,25000,0.001601,0.001324,0.001356,-0.03921
scaffold_1,4381576,4435155,4416755,25000,0.001783,0.001981,0.001783,-0.032167
scaffold_1,4435156,4462034,4448222,25000,0.001715,0.001355,0.002055,0.149305
scaffold_1,4462035,4515667,4478242,25000,0.001538,0.001538,0.001485,-0.018296
scaffold_1,4515668,4566891,4532557,25000,0.002258,0.002169,0.002269,0.012938
scaffold_1,4566892,4610108,4583608,25000,0.002154,0.002111,0.001984,-0.037463
scaffold_1,4610109,4636235,4623265,25000,0.002074,0.00194,0.001935,-0.018971
scaffold_1,4636236,4665556,4652540,25000,0.001782,0.001843,0.00187,0.01575
scaffold_1,4665557,4713073,4694421,25000,0.002197,0.002305,0.002603,0.074972
scaffold_1,4713074,4755018,4740044,25000,0.001141,0.001674,0.001333,-0.028197
scaffold_1,4755019,4787346,4772955,25000,0.00162,0.001697,0.001976,0.090277
scaffold_1,4787347,4816616,4801143,25000,0.001857,0.0019,0.001944,0.017754
scaffold_1,4816617,4847202,4832232,25000,0.002159,0.0023,0.002089,-0.033765
scaffold_1,4847203,4882445,4864331,25000,0.001209,0.001376,0.001172,-0.050395
scaffold_1,4882446,5006171,4948290,25000,0.002572,0.002702,0.00254,-0.019444
scaffold_1,5006172,5035180,5019099,25000,0.002371,0.002293,0.002168,-0.037961
scaffold_1,5035181,5061050,5048018,25000,0.002248,0.002214,0.002149,-0.019563
scaffold_1,5061051,5105023,5084518,25000,0.00129,0.001603,0.001344,-0.040056
scaffold_1,5105024,5132373,5118659,25000,0.001387,0.001492,0.001345,-0.035334
scaffold_1,5132374,5159784,5145487,25000,0.001361,0.001503,0.00173,0.097491
scaffold_1,5159785,5213795,5197121,25000,0.000952,0.000952,0.000882,-0.039588
scaffold_1,5213796,5241585,5227527,25000,0.001855,0.001552,0.001581,-0.045953
scaffold_1,5241586,5296552,5276738,25000,0.001515,0.001555,0.001575,0.013545
scaffold_1,5296553,5332662,5317295,25000,0.001784,0.002024,0.001757,-0.041575
scaffold_1,5332663,5396533,5369196,25000,0.001681,0.001756,0.001634,-0.027849
scaffold_1,5396534,5440403,5419774,25000,0.001777,0.001742,0.001629,-0.040334
scaffold_1,5440404,5466760,5453497,25000,0.002472,0.002282,0.002323,-0.01161
scaffold_1,5466761,5493218,5480216,25000,0.001923,0.001727,0.002701,0.201396
scaffold_1,5493219,5530957,5515365,25000,0.001457,0.001442,0.001985,0.160203
scaffold_1,5530958,5557385,5544211,25000,0.002796,0.002795,0.003053,0.045607
scaffold_1,5557386,5586910,5570984,25000,0.001201,0.001359,0.001181,-0.040753
scaffold_1,5586911,5618408,5601507,25000,0.001729,0.001592,0.007022,0.626038
scaffold_1,5618409,5679250,5640851,25000,0.001689,0.001612,0.002346,0.173481
scaffold_1,5679251,5713407,5694610,25000,0.001308,0.001377,0.001254,-0.035325
scaffold_1,5713408,5750830,5734654,25000,0.001901,0.002116,0.001891,-0.031207
scaffold_1,5750831,5780018,5765440,25000,0.002151,0.002051,0.001991,-0.027873
scaffold_1,5780019,5805796,5792810,25000,0.004309,0.003808,0.003942,-0.015177
scaffold_1,5805797,5842668,5828153,25000,0.002104,0.001708,0.001857,-0.013429
scaffold_1,5842669,5889288,5863369,25000,0.001425,0.001639,0.001448,-0.034894
scaffold_1,5889289,5928447,5910119,25000,0.001419,0.001571,0.00141,-0.030215
scaffold_1,5928448,5961607,5943851,25000,0.001574,0.002345,0.002901,0.189127
scaffold_1,5961608,5987458,5974589,25000,0.001858,0.001756,0.001696,-0.032846
scaffold_1,5987459,6020588,6002895,25000,0.001798,0.001736,0.001685,-0.024665
scaffold_1,6020589,6048573,6034061,25000,0.001334,0.001428,0.001291,-0.034838
scaffold_1,6048574,6100900,6076297,25000,0.001733,0.001688,0.001594,-0.036558
scaffold_1,6100901,6144753,6124958,25000,0.001328,0.001258,0.001207,-0.035684
scaffold_1,6144754,6196200,6165175,25000,0.002035,0.001939,0.001853,-0.036158
scaffold_1,6196201,6245907,6218509,25000,0.001992,0.002739,0.002204,-0.049891
scaffold_1,6245908,6286558,6265443,25000,0.001194,0.000942,0.000982,-0.043394
scaffold_1,6286559,6312191,6299287,25000,0.001977,0.001937,0.001816,-0.038887
scaffold_1,6312192,6341009,6326026,25000,0.002455,0.002603,0.002346,-0.038987
scaffold_1,6341010,6367980,6354033,25000,0.003563,0.003351,0.003269,-0.029022
scaffold_1,6367981,6408603,6382495,25000,0.001741,0.001737,0.003051,0.281153
scaffold_1,6408604,6440071,6425188,25000,0.001403,0.001323,0.001975,0.188944
scaffold_1,6440072,6465608,6452779,25000,0.00178,0.002008,0.001873,-0.005935
scaffold_1,6465609,6495573,6481687,25000,0.003132,0.002985,0.003761,0.104693
scaffold_1,6495574,6521003,6508359,25000,0.002795,0.002798,0.004649,0.255086
scaffold_1,6521004,6549360,6535008,25000,0.002054,0.001581,0.007159,0.601486
scaffold_1,6549361,6591817,6570440,25000,0.001663,0.001495,0.00473,0.506748
scaffold_1,6591818,6617571,6604779,25000,0.001698,0.001882,0.008295,0.653074
scaffold_1,6617572,6643516,6630421,25000,0.002588,0.002668,0.004164,0.232756
scaffold_1,6643517,6671640,6657221,25000,0.001419,0.001416,0.006918,0.66729
scaffold_1,6671641,6706333,6690162,25000,0.001264,0.001247,0.001158,-0.042306
scaffold_1,6706334,6736821,6722885,25000,0.001202,0.001039,0.001173,0.018167
scaffold_1,6736822,6762336,6749450,25000,0.00188,0.002038,0.001859,-0.026664
scaffold_1,6762337,6794755,6776872,25000,0.001152,0.001217,0.001395,0.082335
scaffold_1,6794756,6831875,6814753,25000,0.001772,0.001727,0.00493,0.484747
scaffold_1,6831876,6871213,6849852,25000,0.001178,0.001367,0.002138,0.25686
scaffold_1,6871214,6898498,6884462,25000,0.00205,0.00199,0.004524,0.391054
scaffold_1,6898499,6929573,6914591,25000,0.001353,0.0014,0.006943,0.671921
scaffold_1,6929574,6968240,6950828,25000,0.001608,0.001666,0.00261,0.234159
scaffold_1,6968241,6997936,6981864,25000,0.001715,0.001427,0.001709,0.043638
scaffold_1,6997937,7029707,7013854,25000,0.001877,0.001954,0.007299,0.593088
scaffold_1,7029708,7064313,7044514,25000,0.002278,0.002699,0.003809,0.217022
scaffold_1,7064314,7089757,7077151,25000,0.001767,0.001854,0.002525,0.168064
scaffold_1,7089758,7136790,7109055,25000,0.001792,0.001878,0.00177,-0.018646
scaffold_1,7136791,7164927,7150439,25000,0.002091,0.001683,0.001743,-0.049941
scaffold_1,7164928,7229333,7178891,25000,0.001683,0.001433,0.00472,0.512873
scaffold_1,7229334,7254829,7242100,25000,0.001736,0.001609,0.002976,0.28782
scaffold_1,7254830,7281125,7267789,25000,0.003708,0.003272,0.007579,0.377925
scaffold_1,7281126,7323744,7296582,25000,0.001531,0.0014,0.003123,0.369597
scaffold_1,7323745,7350363,7336744,25000,0.001749,0.001743,0.003007,0.272511
scaffold_1,7350364,7400651,7374935,25000,0.001704,0.001739,0.002217,0.129059
scaffold_1,7400652,7426884,7413581,25000,0.001652,0.002375,0.001979,-0.008901
scaffold_1,7426885,7456646,7443056,25000,0.001425,0.002212,0.002595,0.16941
scaffold_1,7456647,7492330,7475918,25000,0.003704,0.003845,0.007167,0.316585
scaffold_1,7492331,7524304,7509163,25000,0.001432,0.001483,0.001516,0.020447
scaffold_1,7524305,7549635,7536956,25000,0.001432,0.00151,0.001374,-0.035189
scaffold_1,7549637,7575060,7562356,25000,0.001982,0.001921,0.001876,-0.020297
scaffold_1,7575061,7616327,7589997,25000,0.002046,0.002159,0.001954,-0.038069
scaffold_1,7616328,7644778,7630746,25000,0.00286,0.002876,0.002762,-0.019648
scaffold_1,7644779,7671958,7658495,25000,0.002201,0.002199,0.002049,-0.037069
scaffold_1,7671959,7698704,7685277,25000,0.001295,0.001297,0.001205,-0.038059
scaffold_1,7698705,7729749,7716114,25000,0.001793,0.00177,0.001694,-0.026245
scaffold_1,7729750,7757261,7744256,25000,0.001912,0.001813,0.002452,0.140975
scaffold_1,7757262,7784711,7770180,25000,0.001952,0.001822,0.004861,0.447219
scaffold_1,7784712,7810131,7797406,25000,0.001812,0.001785,0.00432,0.419883
scaffold_1,7810132,7837484,7823577,25000,0.001944,0.001903,0.00219,0.066028
scaffold_1,7837485,7866297,7852616,25000,0.003184,0.003213,0.008373,0.455543
scaffold_1,7866298,7893281,7880094,25000,0.001724,0.001725,0.001581,-0.045427
scaffold_1,7893282,7919988,7907010,25000,0.002478,0.002564,0.003303,0.13721
scaffold_1,7919989,7961271,7939666,25000,0.003103,0.003075,0.002907,-0.0301
scaffold_1,7961272,7996415,7980421,25000,0.001534,0.001534,0.002695,0.284015
scaffold_1,7996416,8027932,8010537,25000,0.002009,0.001749,0.005237,0.480994
scaffold_1,8027933,8071295,8053662,25000,0.00206,0.002209,0.002907,0.157965
scaffold_1,8071296,8106662,8089224,25000,0.002208,0.002137,0.002545,0.082973
scaffold_1,8106663,8133568,8120325,25000,0.003412,0.003181,0.003747,0.06561
scaffold_1,8133569,8175417,8154626,25000,0.001641,0.001844,0.002436,0.16116
scaffold_1,8175418,8224924,8201647,25000,0.002424,0.00232,0.002382,0.002476
scaffold_1,8224925,8252353,8238766,25000,0.001283,0.001531,0.007183,0.67396
scaffold_1,8252354,8296211,8269061,25000,0.002012,0.002205,0.002972,0.172129
scaffold_1,8296212,8361972,8340931,25000,0.002632,0.002077,0.003951,0.264537
scaffold_1,8361973,8390601,8376351,25000,0.001674,0.002092,0.002073,0.049747
scaffold_1,8390602,8424785,8408441,25000,0.001915,0.001972,0.00185,-0.025887
scaffold_1,8424786,8458515,8441031,25000,0.003372,0.003449,0.003212,-0.028349
scaffold_1,8458516,8490080,8473607,25000,0.003521,0.003302,0.004197,0.104369
scaffold_1,8490081,8518955,8503685,25000,0.003327,0.003474,0.007369,0.376877
scaffold_1,8518956,8559437,8539648,25000,0.001879,0.001298,0.003126,0.339716
scaffold_1,8559438,8606300,8578809,25000,0.002309,0.001952,0.001995,-0.027078
scaffold_1,8606301,8649115,8626614,25000,0.00202,0.001974,0.001857,-0.03767
scaffold_1,8649116,8682239,8665520,25000,0.001525,0.001797,0.002485,0.204494
scaffold_1,8682240,8708123,8695103,25000,0.002055,0.001995,0.002001,-0.006043
scaffold_1,8708124,8750323,8726859,25000,0.001945,0.002004,0.003197,0.244985
scaffold_1,8750324,8781734,8767692,25000,0.002469,0.003014,0.003863,0.17661
scaffold_1,8781735,8842396,8827465,25000,0.00182,0.001875,0.004421,0.414861
scaffold_1,8842397,8872868,8855963,25000,0.003245,0.003354,0.003154,-0.023425
scaffold_1,8872869,8922168,8892244,25000,0.003441,0.003387,0.003332,-0.012664
scaffold_1,8922169,8969217,8942141,25000,0.002129,0.001848,0.001858,-0.035225
scaffold_1,8969218,9006692,8988753,25000,0.001627,0.001361,0.002227,0.205055
scaffold_1,9006693,9034795,9020751,25000,0.002985,0.003092,0.003901,0.126938
scaffold_1,9034796,9071457,9052664,25000,0.001435,0.001475,0.001397,-0.021273
scaffold_1,9071458,9110507,9089087,25000,0.001761,0.00157,0.001598,-0.021398
scaffold_1,9110508,9136417,9123356,25000,0.002614,0.002607,0.00472,0.295299
scaffold_1,9136418,9170872,9155494,25000,0.003106,0.002712,0.003009,0.017121
scaffold_1,9170873,9201590,9188351,25000,0.001821,0.002569,0.002193,-0.000329
scaffold_1,9201591,9235337,9221688,25000,0.003959,0.004348,0.006131,0.195172
scaffold_1,9235338,9292145,9265440,25000,0.00326,0.003653,0.012556,0.575638
scaffold_1,9292146,9328678,9311258,25000,0.002191,0.002692,0.008121,0.544315
scaffold_1,9328679,9400631,9361967,25000,0.002394,0.002273,0.005483,0.405952
scaffold_1,9400632,9474177,9417520,25000,0.003595,0.002754,0.005534,0.278176
scaffold_1,9474178,9556531,9505839,25000,0.001695,0.002099,0.002337,0.10556
scaffold_1,9556532,9609136,9583323,25000,0.001986,0.002468,0.003055,0.162507
scaffold_1,9609137,9734023,9661805,25000,0.002191,0.002021,0.001986,-0.030497
scaffold_1,9734024,9780491,9760445,25000,0.002569,0.003115,0.003108,0.04625
scaffold_1,9780492,9822291,9798498,25000,0.001591,0.00164,0.003947,0.427965
scaffold_1,9822292,9848727,9835353,25000,0.00205,0.003092,0.006196,0.426661
scaffold_1,9848728,9892901,9871044,25000,0.002004,0.002138,0.002231,0.038477
scaffold_1,9892902,9925651,9909253,25000,0.001538,0.001467,0.002427,0.241853
scaffold_1,9925652,10136399,9989314,25000,0.002032,0.001914,0.002052,0.019911
scaffold_1,10136400,10170498,10151950,25000,0.002332,0.002067,0.002447,0.055116
scaffold_1,10170499,10214807,10187319,25000,0.002354,0.001279,0.004617,0.444224
scaffold_1,10214808,10289474,10265607,25000,0.002077,0.001893,0.005571,0.486162
scaffold_1,10289475,10317291,10303431,25000,0.001769,0.00176,0.001638,-0.038508
scaffold_1,10317292,10359036,10340666,25000,0.001504,0.001637,0.001462,-0.036945
scaffold_1,10359037,10403417,10376066,25000,0.000806,0.00094,0.000815,-0.035543
scaffold_1,10403418,10430141,10417159,25000,0.001123,0.001216,0.001077,-0.042628
scaffold_1,10430142,10465664,10451766,25000,0.002398,0.001415,0.00218,0.069018
scaffold_1,10465665,10492073,10478724,25000,0.001578,0.001791,0.001595,-0.028276
scaffold_1,10492074,10524362,10508302,25000,0.001415,0.00164,0.001419,-0.038301
scaffold_1,10524363,10556435,10540026,25000,0.003049,0.002956,0.009032,0.510097
scaffold_1,10556436,10589152,10573808,25000,0.002808,0.002622,0.002588,-0.024892
scaffold_1,10589153,10724924,10645340,25000,0.001253,0.001644,0.001385,-0.030489
scaffold_1,10724925,10750325,10737533,25000,0.001753,0.001749,0.001626,-0.038466
scaffold_1,10750326,10814008,10777238,25000,0.001862,0.001794,0.001704,-0.036569
scaffold_1,10814009,10873739,10850945,25000,0.00287,0.003209,0.00373,0.108447
scaffold_1,10873740,10915919,10895745,25000,0.002989,0.002996,0.00381,0.124851
scaffold_1,10915920,10944140,10929157,25000,0.001466,0.001553,0.002246,0.201873
scaffold_1,10944141,10987814,10968150,25000,0.001505,0.001297,0.002008,0.179353
scaffold_1,10987815,11049180,11012223,25000,0.001934,0.001759,0.00188,0.009273
scaffold_1,11049181,11165974,11108018,25000,0.001894,0.001882,0.003132,0.258729
scaffold_1,11165975,11202544,11183758,25000,0.002169,0.002231,0.002046,-0.037633
scaffold_1,11202545,11243592,11221909,25000,0.001476,0.00125,0.001264,-0.039307
scaffold_1,11243593,11370091,11286748,25000,0.00128,0.001203,0.001142,-0.042805
scaffold_1,11370092,11453775,11405526,25000,0.001662,0.001881,0.001635,-0.052025
scaffold_1,11453776,11536400,11494989,25000,0.002985,0.002791,0.002698,-0.035261
scaffold_1,11536401,11586773,11568497,25000,0.001284,0.001294,0.001242,-0.01946
scaffold_1,11586774,11631816,11615435,25000,0.000823,0.000928,0.000813,-0.038596
scaffold_1,11631817,11656920,11644367,25000,0.000533,0.000567,0.000511,-0.038422
scaffold_1,11656921,11690792,11670540,25000,0.001027,0.000935,0.000915,-0.0365
scaffold_1,11690793,11722543,11708281,25000,0.002416,0.002179,0.002151,-0.034314
scaffold_1,11722544,11748077,11735334,25000,0.001445,0.001444,0.001342,-0.038423
scaffold_1,11748078,11800570,11780285,25000,0.001628,0.001795,0.002091,0.10321
scaffold_1,11800571,11850233,11817099,25000,0.001829,0.001829,0.001698,-0.038452
scaffold_1,11850234,11887855,11873425,25000,0.001974,0.001644,0.001692,-0.034807
scaffold_1,11887856,11913841,11900969,25000,0.00272,0.002184,0.002314,-0.029947
scaffold_1,11913842,11941436,11926955,25000,0.001063,0.001085,0.000999,-0.037644
scaffold_1,11941437,11993225,11978540,25000,0.002319,0.002382,0.002196,-0.035438
scaffold_1,11993226,12097510,12047506,25000,0.002481,0.002683,0.00241,-0.035869
scaffold_1,12097511,12142531,12128915,25000,0.001438,0.00145,0.001338,-0.039366
scaffold_1,12142532,12255641,12217128,25000,0.002301,0.002068,0.002174,-0.002531
scaffold_1,12255642,12303432,12280483,25000,0.004514,0.004561,0.005023,0.053079
scaffold_1,12303433,12335012,12318888,25000,0.00203,0.002179,0.002415,0.069729
scaffold_1,12335013,12377193,12357675,25000,0.00206,0.002195,0.002058,-0.017378
scaffold_1,12377194,12463379,12434047,25000,0.001727,0.002717,0.004501,0.347238
scaffold_1,12463380,12526641,12488927,25000,0.002255,0.002274,0.00212,-0.034308
scaffold_1,12526642,12615602,12561919,25000,0.005146,0.004656,0.005088,0.019361
scaffold_1,12615603,12684731,12646438,25000,0.001727,0.001524,0.001545,-0.026443
scaffold_1,12684732,12714655,12699942,25000,0.001777,0.00164,0.001575,-0.041859
scaffold_1,12714656,12836712,12774204,25000,0.00245,0.001994,0.002577,0.076684
scaffold_1,12836713,12993402,12905647,25000,0.002171,0.002758,0.002742,0.055216
scaffold_1,12993403,13021542,13007879,25000,0.001821,0.001754,0.001667,-0.036171
scaffold_1,13021543,13053866,13034899,25000,0.001692,0.001542,0.001506,-0.037061
scaffold_1,13053867,13080819,13067277,25000,0.002105,0.001974,0.002016,-0.006031
scaffold_1,13080820,13107546,13093697,25000,0.001391,0.001428,0.001309,-0.038186
scaffold_1,13107547,13139446,13123419,25000,0.001754,0.001842,0.001678,-0.03589
scaffold_1,13139447,13164858,13152122,25000,0.002404,0.002578,0.002354,-0.029525
scaffold_1,13164859,13190632,13177849,25000,0.000844,0.000891,0.000795,-0.045455
scaffold_1,13190634,13285752,13261037,25000,0.000995,0.000837,0.003239,0.569678
scaffold_1,13285753,13335743,13308876,25000,0.002033,0.002172,0.001979,-0.034132
scaffold_1,13335744,13361169,13348472,25000,0.003467,0.003636,0.003407,-0.021539
scaffold_1,13361170,13394263,13379797,25000,0.00134,0.001241,0.001186,-0.042621
scaffold_1,13394264,13444318,13420869,25000,0.002521,0.003003,0.004348,0.229392
scaffold_1,13444319,13486278,13460763,25000,0.001771,0.001696,0.001585,-0.046671
