scaffold,start,end,mid,sites,pi_Ppr1,pi_Ppr2,dxy_Ppr1_Ppr2,Fst_Ppr1_Ppr2
chr1,1806744,1833542,1819991,25000,0.005577,0.005476,0.011803,0.372069
chr1,1833543,1861313,1847761,25000,0.004119,0.003574,0.016535,0.632485
chr1,1861314,1907172,1891265,25000,0.004869,0.003846,0.014062,0.537446
chr1,1907173,1932931,1920124,25000,0.002778,0.002618,0.003118,0.075053
chr1,1932932,1958685,1945768,25000,0.005813,0.004128,0.006865,0.165808
chr1,1958686,1984722,1971660,25000,0.00344,0.003302,0.009778,0.497926
chr1,1984723,2013739,1999070,25000,0.002687,0.003632,0.006427,0.350481
chr1,2013740,2045573,2028792,25000,0.003704,0.00316,0.006106,0.289013
chr1,2045574,2071312,2058554,25000,0.002866,0.002341,0.004359,0.260351
chr1,2071313,2096875,2084009,25000,0.003021,0.003404,0.007179,0.391815
chr1,2096876,2122846,2109953,25000,0.003191,0.003419,0.008923,0.47005
chr1,2122847,2148525,2135714,25000,0.004436,0.003824,0.01278,0.522148
chr1,2148526,2177736,2162675,25000,0.003612,0.002655,0.012184,0.601137
chr1,2177737,2205682,2191951,25000,0.003445,0.003223,0.00588,0.284889
chr1,2205683,2232900,2219854,25000,0.003718,0.00433,0.00836,0.359848
chr1,2232901,2274666,2248852,25000,0.002216,0.002183,0.004968,0.396482
chr1,2274667,2324770,2291765,25000,0.003419,0.006283,0.012473,0.450486
chr1,2324771,2350372,2337482,25000,0.003092,0.004344,0.010214,0.476887
chr1,2350373,2376931,2363515,25000,0.002824,0.003505,0.008496,0.467791
chr1,2376932,2405857,2391573,25000,0.002456,0.002549,0.005814,0.408409
chr1,2405858,2432577,2419049,25000,0.002676,0.002971,0.005594,0.338529
chr1,2432578,2462887,2448465,25000,0.003208,0.00374,0.014089,0.614502
chr1,2462888,2489419,2476211,25000,0.00397,0.003082,0.013685,0.60049
chr1,2489420,2515102,2502263,25000,0.002906,0.002972,0.007605,0.453026
chr1,2515103,2549421,2528822,25000,0.003302,0.002616,0.007455,0.442214
chr1,2549422,2577561,2564366,25000,0.003964,0.003498,0.012179,0.54156
chr1,2577562,2604707,2591448,25000,0.003029,0.002494,0.007774,0.486351
chr1,2604708,2631751,2618062,25000,0.003974,0.003021,0.006807,0.330493
chr1,2631752,2663038,2646393,25000,0.00456,0.005117,0.012795,0.461758
chr1,2663039,2690523,2676566,25000,0.003637,0.004698,0.013334,0.53435
chr1,2690524,2716200,2703388,25000,0.003175,0.004436,0.015114,0.607925
chr1,2716201,2743467,2730010,25000,0.00495,0.003583,0.010261,0.423015
chr1,2743468,2769754,2756739,25000,0.005208,0.004425,0.014515,0.512355
chr1,2769755,2796985,2783178,25000,0.007319,0.005892,0.012691,0.324659
chr1,2796986,2825860,2811683,25000,0.003884,0.003361,0.008768,0.425676
chr1,2825861,2852568,2839327,25000,0.002664,0.002757,0.005826,0.374902
chr1,2852569,2879745,2866243,25000,0.002839,0.00635,0.012036,0.458023
chr1,2879746,2907209,2893514,25000,0.004562,0.006592,0.015801,0.488869
chr1,2907210,2933237,2920233,25000,0.002958,0.004247,0.007558,0.364223
chr1,2933238,2960061,2946340,25000,0.005362,0.004942,0.01296,0.441532
chr1,2960062,2986650,2973478,25000,0.002864,0.003158,0.007264,0.424268
chr1,2986651,3023460,3006465,25000,0.004646,0.004742,0.010996,0.411933
chr1,3023461,3049134,3036242,25000,0.003442,0.003276,0.009325,0.480977
chr1,3049135,3075933,3062664,25000,0.003395,0.003348,0.006428,0.321154
chr1,3075934,3102370,3089204,25000,0.004946,0.005256,0.0129,0.443756
chr1,3102371,3128334,3115289,25000,0.002428,0.002517,0.006001,0.426826
chr1,3128335,3185868,3154754,25000,0.005592,0.002096,0.006594,0.271207
chr1,3185869,3225520,3205157,25000,0.006055,0.005205,0.012452,0.387315
chr1,3225521,3280678,3261154,25000,0.001868,0.002253,0.004479,0.369752
chr1,3280679,3308843,3294342,25000,0.002731,0.003782,0.008137,0.438858
chr1,3308844,3339571,3324748,25000,0.003983,0.003905,0.008331,0.367255
chr1,3339572,3369042,3353314,25000,0.00323,0.007274,0.010496,0.342505
chr1,3369043,3467788,3422513,25000,0.004878,0.004954,0.01985,0.613157
chr1,3467789,3497274,3482454,25000,0.004494,0.002993,0.019,0.680153
chr1,3497275,3535500,3515358,25000,0.003463,0.003976,0.011414,0.519096
chr1,3535501,3568564,3553457,25000,0.003214,0.003251,0.002976,-0.043261
chr1,3568565,3622034,3591492,25000,0.003712,0.003715,0.005491,0.199836
chr1,3622035,3666624,3645777,25000,0.002929,0.005443,0.01186,0.488881
chr1,3666625,3722194,3691525,25000,0.004055,0.003606,0.007198,0.314467
chr1,3722195,3801489,3764625,25000,0.004211,0.003134,0.003654,-0.002648
chr1,3801490,3849477,3830982,25000,0.00496,0.003836,0.011262,0.451257
chr1,3849478,3916902,3874744,25000,0.004299,0.004661,0.005123,0.069677
chr1,3916903,3958222,3940743,25000,0.004111,0.005655,0.00653,0.149634
chr1,3958223,3985650,3971591,25000,0.005893,0.007827,0.018265,0.464495
chr1,3985651,4011773,3998644,25000,0.003208,0.004924,0.007036,0.275948
chr1,4011774,4038065,4024945,25000,0.002524,0.002727,0.004987,0.319403
chr1,4038066,4075435,4061949,25000,0.003814,0.003079,0.013098,0.593687
chr1,4075436,4102232,4088513,25000,0.004199,0.004064,0.00727,0.283841
chr1,4102233,4139170,4122417,25000,0.002954,0.002296,0.006449,0.43182
chr1,4139171,4170563,4156361,25000,0.002852,0.005432,0.011663,0.486516
chr1,4170564,4196607,4183678,25000,0.004104,0.005545,0.013188,0.474948
chr1,4196608,4222615,4209627,25000,0.002552,0.002049,0.00456,0.338798
chr1,4222616,4248353,4235516,25000,0.002463,0.002609,0.003346,0.142818
chr1,4248354,4294329,4274027,25000,0.005536,0.004225,0.013548,0.480949
chr1,4294330,4320593,4307488,25000,0.003344,0.0034,0.007608,0.395904
chr1,4320594,4346466,4333469,25000,0.002094,0.002193,0.005724,0.465665
chr1,4346467,4372281,4359328,25000,0.002816,0.002112,0.009049,0.582309
chr1,4372282,4398347,4385415,25000,0.005038,0.004159,0.013331,0.49769
chr1,4398348,4424485,4411402,25000,0.003105,0.003218,0.005956,0.315663
chr1,4424486,4450402,4437409,25000,0.00207,0.003074,0.009559,0.586379
chr1,4450403,4483787,4470196,25000,0.003748,0.003921,0.009547,0.437302
chr1,4483788,4509832,4496848,25000,0.004634,0.002926,0.006881,0.299746
chr1,4509833,4553150,4534480,25000,0.002161,0.002467,0.005331,0.404819
chr1,4553151,4580619,4566754,25000,0.003343,0.003991,0.008703,0.417453
chr1,4580620,4606781,4593801,25000,0.003736,0.002689,0.007482,0.409493
chr1,4606782,4637291,4621756,25000,0.003651,0.002434,0.010678,0.56698
chr1,4637292,4671141,4653637,25000,0.003683,0.005558,0.01913,0.620977
chr1,4671142,4698043,4685078,25000,0.004337,0.004229,0.013046,0.516347
chr1,4698044,4723695,4710802,25000,0.003685,0.004228,0.005407,0.155538
chr1,4723696,4749475,4736580,25000,0.003204,0.007266,0.010906,0.361089
chr1,4749476,4775261,4762475,25000,0.003189,0.002717,0.009344,0.530379
chr1,4775262,4802831,4788584,25000,0.00491,0.005562,0.012262,0.411786
chr1,4802832,4829047,4815947,25000,0.003833,0.005541,0.006342,0.15556
chr1,4829048,4859159,4845063,25000,0.003071,0.003213,0.008475,0.469601
chr1,4859160,4886003,4872675,25000,0.00201,0.002284,0.005394,0.441046
chr1,4886004,4911973,4898948,25000,0.004793,0.004875,0.010651,0.385735
chr1,4911974,4944510,4929970,25000,0.003555,0.003493,0.006264,0.288613
chr1,4944511,4970416,4957483,25000,0.002592,0.003112,0.005165,0.297303
chr1,4970417,4996660,4983395,25000,0.002705,0.002242,0.004309,0.279128
chr1,4996661,5043525,5027950,25000,0.005304,0.004529,0.006566,0.149008
chr1,5043526,5077917,5060374,25000,0.002897,0.00333,0.008463,0.472699
chr1,5077918,5103879,5090878,25000,0.004184,0.00318,0.008069,0.383368
chr1,5103880,5139233,5120237,25000,0.004914,0.006285,0.011517,0.355386
chr1,5139234,5166876,5153184,25000,0.003715,0.005363,0.010456,0.404864
chr1,5166877,5194331,5180710,25000,0.005533,0.005873,0.014798,0.454133
chr1,5194332,5223340,5209544,25000,0.002912,0.003798,0.014007,0.623583
chr1,5223341,5249545,5236414,25000,0.00249,0.002941,0.009277,0.557643
chr1,5249546,5275310,5262357,25000,0.003917,0.005195,0.013176,0.496735
chr1,5275311,5301577,5288520,25000,0.003048,0.005304,0.012054,0.496017
chr1,5301578,5328746,5315119,25000,0.004122,0.00358,0.009369,0.427822
chr1,5328747,5354536,5341560,25000,0.002439,0.002467,0.007772,0.530831
chr1,5354537,5380100,5367261,25000,0.002704,0.002974,0.009426,0.54764
chr1,5380101,5405637,5392826,25000,0.002383,0.00241,0.005509,0.403963
chr1,5405638,5431372,5418521,25000,0.002373,0.001827,0.004514,0.374801
chr1,5431373,5457704,5444480,25000,0.004191,0.003868,0.006214,0.220504
chr1,5457705,5500333,5474595,25000,0.006263,0.003226,0.012244,0.451956
chr1,5500334,5529415,5513543,25000,0.002716,0.003405,0.008048,0.459547
chr1,5529416,5580901,5556506,25000,0.003467,0.0053,0.012426,0.489081
chr1,5580902,5630164,5601732,25000,0.004722,0.005265,0.013866,0.481063
chr1,5630165,5661927,5647912,25000,0.004405,0.004079,0.011788,0.481343
chr1,5661928,5688151,5674965,25000,0.003308,0.003018,0.008728,0.478625
chr1,5688152,5716185,5701609,25000,0.003944,0.002663,0.005789,0.281839
chr1,5716186,5742766,5729512,25000,0.002668,0.003985,0.00882,0.462829
chr1,5742767,5782770,5762995,25000,0.003674,0.00346,0.004423,0.111312
chr1,5782771,5822440,5800138,25000,0.00451,0.004377,0.009146,0.355737
chr1,5822441,5849257,5835961,25000,0.005311,0.004418,0.010994,0.396627
chr1,5849258,5880899,5864474,25000,0.008107,0.005248,0.018795,0.486313
chr1,5880900,5909227,5895066,25000,0.005427,0.003963,0.017131,0.580187
chr1,5909228,5937892,5923265,25000,0.003931,0.002922,0.008245,0.423195
chr1,5937893,5970687,5956722,25000,0.00319,0.002432,0.004693,0.258947
chr1,5970688,5996807,5983816,25000,0.00235,0.002197,0.004749,0.362271
chr1,5996808,6023626,6009821,25000,0.003435,0.003025,0.009476,0.502254
chr1,6023627,6063965,6048500,25000,0.005031,0.006593,0.011675,0.344826
chr1,6063966,6100563,6085847,25000,0.005403,0.00405,0.00849,0.2935
chr1,6100564,6172490,6130314,25000,0.007222,0.007831,0.010962,0.192331
chr1,6172491,6278480,6209960,25000,0.008428,0.007527,0.010215,0.127654
chr1,6278481,6365530,6312600,25000,0.004783,0.003962,0.006196,0.17866
chr1,6365531,6435150,6412939,25000,0.005333,0.008106,0.014126,0.365087
chr1,6435151,6462541,6448373,25000,0.003882,0.004044,0.012243,0.521537
chr1,6462542,6492380,6477064,25000,0.004787,0.00596,0.013611,0.444388
chr1,6492381,6518501,6505431,25000,0.002808,0.00494,0.009878,0.447103
chr1,6518502,6547033,6532116,25000,0.003028,0.005139,0.015559,0.594529
chr1,6547034,6573507,6560579,25000,0.003915,0.004255,0.014051,0.560021
chr1,6573508,6617370,6596463,25000,0.006261,0.005574,0.010577,0.29121
chr1,6617371,6650934,6631322,25000,0.0038,0.004794,0.010181,0.41671
chr1,6650935,6676653,6663808,25000,0.003648,0.003736,0.006721,0.299755
chr1,6676654,6707532,6690437,25000,0.005073,0.00314,0.010331,0.441603
chr1,6707533,6733680,6720761,25000,0.003287,0.003269,0.007735,0.414956
chr1,6733681,6779457,6756508,25000,0.004548,0.002131,0.006716,0.345306
chr1,6779458,6813319,6796677,25000,0.004415,0.003958,0.01291,0.52091
chr1,6813320,6843550,6828112,25000,0.003074,0.004587,0.006706,0.281421
chr1,6843551,6872334,6858330,25000,0.00254,0.003183,0.003595,0.119416
chr1,6872335,6906604,6887005,25000,0.002049,0.002661,0.003076,0.137838
chr1,6906605,6933010,6919687,25000,0.004109,0.003064,0.008523,0.417905
chr1,6933011,6965122,6950786,25000,0.006195,0.007719,0.018035,0.453795
chr1,6965123,6991051,6978066,25000,0.005717,0.005721,0.009419,0.252338
chr1,6991052,7017234,7004185,25000,0.005319,0.002754,0.007584,0.314339
chr1,7017235,7052574,7036791,25000,0.009657,0.005533,0.014445,0.319987
chr1,7052575,7081575,7067175,25000,0.005459,0.005861,0.014293,0.443132
chr1,7081576,7107115,7094355,25000,0.003493,0.003751,0.006357,0.282607
chr1,7107116,7133428,7120352,25000,0.003635,0.002839,0.009671,0.509074
chr1,7133429,7159638,7146412,25000,0.002382,0.004113,0.00909,0.484166
chr1,7159639,7189834,7174762,25000,0.003015,0.003221,0.008421,0.47015
chr1,7189835,7217255,7203721,25000,0.002461,0.002697,0.008079,0.526691
chr1,7217256,7249882,7231702,25000,0.004685,0.003817,0.012357,0.498731
chr1,7249883,7279481,7264689,25000,0.005244,0.003859,0.014846,0.541335
chr1,7279482,7307259,7293834,25000,0.004248,0.005148,0.014843,0.529789
chr1,7307260,7350173,7331734,25000,0.004031,0.004397,0.008714,0.357775
chr1,7350174,7388504,7374713,25000,0.003436,0.00337,0.009814,0.495687
chr1,7388505,7447823,7408840,25000,0.003651,0.006924,0.01479,0.483908
chr1,7447824,7484803,7467799,25000,0.003927,0.008443,0.014903,0.423773
chr1,7484804,7510636,7497712,25000,0.00343,0.002941,0.008464,0.463711
chr1,7510637,7537635,7524270,25000,0.00335,0.003577,0.008948,0.452417
chr1,7537636,7565616,7550963,25000,0.006487,0.006094,0.010991,0.280518
chr1,7565617,7600414,7581691,25000,0.004335,0.003431,0.006506,0.260613
chr1,7600415,7627493,7614199,25000,0.003527,0.004431,0.008612,0.377938
chr1,7627494,7656907,7640986,25000,0.003195,0.007616,0.010222,0.314437
chr1,7656908,7686029,7672105,25000,0.002469,0.004525,0.005849,0.259737
chr1,7686030,7809387,7741461,25000,0.006272,0.003655,0.008114,0.248765
chr1,7809388,7837736,7823782,25000,0.00623,0.002861,0.007839,0.27431
chr1,7837737,7867891,7851535,25000,0.005379,0.002833,0.009647,0.413173
chr1,7867892,7910341,7888848,25000,0.002951,0.00368,0.004479,0.154686
chr1,7910342,7970291,7944443,25000,0.00691,0.00356,0.008708,0.254534
chr1,7970292,7997798,7983954,25000,0.002309,0.003735,0.003905,0.132247
chr1,7997799,8024014,8010726,25000,0.003683,0.003773,0.01147,0.520035
chr1,8024015,8050496,8037133,25000,0.003671,0.005771,0.012443,0.460419
chr1,8050497,8076589,8063467,25000,0.004776,0.004983,0.01114,0.400998
chr1,8076590,8118867,8094090,25000,0.005628,0.005949,0.00854,0.198713
chr1,8118868,8145321,8132163,25000,0.007293,0.006167,0.014651,0.380469
chr1,8145322,8176400,8159684,25000,0.007019,0.006002,0.022759,0.565619
chr1,8176401,8210853,8193955,25000,0.002342,0.003963,0.006169,0.333047
chr1,8210854,8245819,8231949,25000,0.003126,0.002488,0.004453,0.234292
chr1,8245820,8290649,8268932,25000,0.003641,0.006062,0.010289,0.36895
chr1,8290650,8349413,8311453,25000,0.00487,0.005006,0.007708,0.226365
chr1,8349414,8401282,8370166,25000,0.004282,0.002159,0.005437,0.264668
chr1,8401283,8431824,8416434,25000,0.00359,0.002659,0.005208,0.258099
chr1,8431825,8484849,8456774,25000,0.007132,0.004809,0.011166,0.312255
chr1,8484850,8526875,8507853,25000,0.00498,0.003849,0.009911,0.393798
chr1,8526876,8573693,8546591,25000,0.003244,0.002844,0.011483,0.591207
chr1,8573694,8604056,8588119,25000,0.003264,0.003196,0.017856,0.702618
chr1,8604057,8629993,8617007,25000,0.004658,0.003344,0.008655,0.377738
chr1,8629994,8728531,8673753,25000,0.003257,0.009407,0.008437,0.139094
chr1,8728532,8792246,8752345,25000,0.004592,0.005276,0.008499,0.2738
chr1,8792247,8855522,8830139,25000,0.004739,0.008741,0.012339,0.302347
chr1,8855523,8905632,8883654,25000,0.002143,0.003341,0.002932,0.03485
chr1,8905633,8941736,8926132,25000,0.003458,0.003564,0.003843,0.047049
chr1,8941737,8998056,8968169,25000,0.004595,0.002764,0.004552,0.127234
chr1,8998057,9073292,9044625,25000,0.003061,0.004121,0.004471,0.113427
chr1,9073293,9109758,9091086,25000,0.003504,0.002704,0.003912,0.119485
chr1,9109759,9146416,9128718,25000,0.001783,0.001901,0.001984,0.03868
chr1,9146417,9175732,9162151,25000,0.003047,0.002656,0.006111,0.373597
chr1,9175733,9210992,9190698,25000,0.002246,0.002427,0.006011,0.450669
chr1,9210993,9290532,9244913,25000,0.004776,0.003979,0.004255,-0.015608
chr1,9290533,9362416,9316355,25000,0.005958,0.005723,0.005332,-0.0477
chr1,9362417,9423542,9397333,25000,0.004067,0.002488,0.004921,0.207382
chr1,9423543,9459991,9442511,25000,0.001868,0.002405,0.005048,0.415505
chr1,9459992,9504444,9481967,25000,0.001722,0.003054,0.003362,0.175388
chr1,9504445,9551215,9531016,25000,0.004572,0.003668,0.004413,0.035745
chr1,9551216,9637840,9583239,25000,0.003539,0.003097,0.004378,0.142876
chr1,9637841,9715086,9677438,25000,0.003338,0.005255,0.006958,0.244255
chr1,9715087,9825879,9762228,25000,0.004497,0.006854,0.011327,0.341894
chr1,9825881,9993461,9908950,25000,0.006595,0.007565,0.009659,0.159721
chr1,9993462,10106086,10067680,25000,0.005902,0.005205,0.00694,0.115213
chr1,10106087,10198864,10153263,25000,0.006376,0.006529,0.008667,0.151852
chr1,10198865,10279958,10245585,25000,0.004919,0.005043,0.012896,0.453273
chr1,10279959,10321643,10294735,25000,0.007295,0.004564,0.008448,0.181367
chr1,10321644,10373927,10336562,25000,0.005914,0.006384,0.008957,0.192404
chr1,10373928,10500821,10452376,25000,0.01134,0.010713,0.011245,0.01032
chr1,10500822,10543993,10524191,25000,0.006119,0.008358,0.019615,0.471478
chr1,10543994,10666182,10582882,25000,0.004851,0.003873,0.0052,0.089155
chr1,10666184,10698187,10684096,25000,0.005296,0.005432,0.011962,0.39087
chr1,10698188,10765323,10724366,25000,0.004733,0.004808,0.008715,0.301393
chr1,10765324,10826389,10792627,25000,0.008572,0.007491,0.015949,0.339649
chr1,10826390,10921560,10890754,25000,0.003701,0.003434,0.004139,0.077189
chr1,10921561,11038672,11012196,25000,0.003739,0.002676,0.005888,0.305434
chr1,11038673,11092386,11064147,25000,0.003164,0.004437,0.007876,0.358789
chr1,11092387,11202040,11138266,25000,0.004115,0.004615,0.00562,0.130445
chr1,11202041,11250907,11231198,25000,0.004263,0.005163,0.005587,0.088224
chr1,11250908,11331971,11291084,25000,0.005827,0.005279,0.007208,0.134573
chr1,11331972,11374369,11354580,25000,0.004075,0.005921,0.007971,0.236871
chr1,11374370,11412581,11393002,25000,0.004384,0.007853,0.006778,0.053255
chr1,11412582,11455869,11435869,25000,0.004667,0.005642,0.007007,0.157944
chr1,11455870,11564824,11521306,25000,0.005332,0.004991,0.006507,0.121718
chr1,11564825,11636392,11594117,25000,0.005082,0.005451,0.00887,0.263088
chr1,11636393,11668056,11651301,25000,0.002917,0.002744,0.002597,-0.044901
chr1,11668057,11756919,11737199,25000,0.004814,0.004124,0.005743,0.129467
chr1,11756920,11861635,11792537,25000,0.006459,0.00547,0.006019,0.004724
chr1,11861636,12087161,11965484,25000,0.006288,0.004378,0.00707,0.145262
chr1,12087162,12175169,12130636,25000,0.007497,0.0068,0.009998,0.17215
chr1,12175170,12215145,12191035,25000,0.003566,0.002967,0.004157,0.124593
chr1,12215146,12259664,12238711,25000,0.004492,0.004303,0.005301,0.096804
chr1,12259665,12344305,12310025,25000,0.003344,0.003571,0.009836,0.490436
chr1,12344306,12382725,12361550,25000,0.005316,0.005712,0.019921,0.576844
chr1,12382726,12418659,12397530,25000,0.004031,0.005106,0.00491,0.037602
chr1,12418660,12464813,12445664,25000,0.001618,0.003221,0.012657,0.688237
chr1,12464814,12498899,12479770,25000,0.002648,0.004983,0.008151,0.372152
chr1,12498900,12533223,12514838,25000,0.002466,0.002212,0.005645,0.424502
chr1,12533224,12576666,12555384,25000,0.002252,0.003161,0.005416,0.343067
chr1,12576667,12638092,12608600,25000,0.004147,0.006164,0.011062,0.374091
chr1,12638093,12697522,12671538,25000,0.002751,0.004038,0.009139,0.468908
chr1,12697523,12755538,12728303,25000,0.003693,0.005706,0.008461,0.294586
chr1,12755539,12829570,12798869,25000,0.002316,0.005338,0.01381,0.576431
chr1,12829571,12911813,12869522,25000,0.003259,0.002732,0.004946,0.253546
chr1,12911814,13003168,12943870,25000,0.00228,0.00279,0.007558,0.508324
chr1,13003169,13029985,13016509,25000,0.001462,0.001308,0.001266,-0.046857
chr1,13029986,13055546,13042720,25000,0.00089,0.000832,0.000775,-0.055554
chr1,13055547,13093848,13077239,25000,0.00318,0.005809,0.010562,0.421278
chr1,13093849,13161806,13130889,25000,0.002028,0.005761,0.010523,0.47373
chr1,13161807,13191454,13176556,25000,0.001913,0.006217,0.007131,0.282434
chr1,13191455,13319423,13245543,25000,0.007371,0.005777,0.013659,0.359925
chr1,13319424,13408277,13354408,25000,0.006595,0.003065,0.00896,0.308478
chr1,13408278,13477607,13455375,25000,0.005633,0.004733,0.009082,0.27911
chr1,13477608,13565869,13519719,25000,0.006049,0.007519,0.012781,0.3156
chr1,13565870,13665750,13616001,25000,0.005803,0.006001,0.008038,0.158864
chr1,13665751,13728260,13699902,25000,0.010851,0.003031,0.011063,0.236522
chr1,13728261,13827529,13771808,25000,0.003373,0.004319,0.006659,0.276242
chr1,13827530,13873558,13847324,25000,0.003341,0.007096,0.007406,0.179455
chr1,13873559,13942432,13914310,25000,0.002233,0.003889,0.004259,0.168945
chr1,13942433,13987156,13966090,25000,0.003061,0.00622,0.005794,0.114775
chr1,13987157,14090670,14033848,25000,0.007605,0.008857,0.010836,0.141708
chr1,14090671,14188153,14147409,25000,0.004479,0.003126,0.011151,0.502044
chr1,14188155,14251513,14219894,25000,0.002997,0.002619,0.003478,0.110711
chr1,14251515,14288371,14267208,25000,0.004873,0.00504,0.007812,0.231086
chr1,14288372,14341144,14318022,25000,0.00874,0.007914,0.012637,0.21262
chr1,14341145,14375605,14358329,25000,0.004011,0.003532,0.00615,0.24758
chr1,14375606,14412780,14397041,25000,0.006336,0.006655,0.010654,0.250396
chr1,14412781,14563379,14506375,25000,0.002248,0.003008,0.00333,0.119356
chr1,14563380,14590819,14577677,25000,0.00339,0.005102,0.010214,0.423057
chr1,14590820,14617037,14603771,25000,0.003754,0.003883,0.006316,0.254438
chr1,14617038,14649933,14630867,25000,0.00306,0.003429,0.007773,0.421357
chr1,14649934,14677928,14663558,25000,0.006868,0.007548,0.014945,0.358966
chr1,14677929,14718729,14697648,25000,0.007964,0.00498,0.010383,0.2397
chr1,14718730,14759996,14738726,25000,0.007742,0.002263,0.011347,0.398184
chr1,14759997,14801299,14777866,25000,0.005604,0.004472,0.008846,0.282834
chr1,14801300,14838269,14817065,25000,0.002826,0.001443,0.006474,0.514671
chr1,14838270,14927401,14895977,25000,0.006419,0.006577,0.011552,0.288631
chr1,14927402,14995843,14968276,25000,0.006896,0.003414,0.012365,0.421841
chr1,14995844,15063594,15036266,25000,0.005413,0.003511,0.011193,0.440449
chr1,15063595,15133603,15103613,25000,0.004869,0.004683,0.008217,0.273161
chr1,15133604,15163908,15148022,25000,0.007607,0.00336,0.009479,0.275463
chr1,15163909,15225425,15191404,25000,0.009278,0.006699,0.02146,0.468029
chr1,15225426,15297151,15253674,25000,0.009077,0.004775,0.018975,0.475789
chr1,15297152,15340112,15317635,25000,0.010122,0.006517,0.016303,0.333599
chr1,15340113,15407741,15380042,25000,0.011061,0.006442,0.014258,0.247115
