scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name,species
scaffold_1,4755019,4787346,4772955,25000,0.00162,0.001697,0.001976,0.090277,522210,scaffold_1_10,Ass
scaffold_1,4787347,4816616,4801143,25000,0.001857,0.0019,0.001944,0.017754,522210,scaffold_1_10,Ass
scaffold_1,4816617,4847202,4832232,25000,0.002159,0.0023,0.002089,-0.033765,522210,scaffold_1_10,Ass
scaffold_1,4847203,4882445,4864331,25000,0.001209,0.001376,0.001172,-0.050395,522210,scaffold_1_10,Ass
scaffold_1,4882446,5006171,4948290,25000,0.002572,0.002702,0.00254,-0.019444,522210,scaffold_1_10,Ass
scaffold_1,5006172,5035180,5019099,25000,0.002371,0.002293,0.002168,-0.037961,522210,scaffold_1_10,Ass
scaffold_1,5061051,5105023,5084518,25000,0.00129,0.001603,0.001344,-0.040056,148954,scaffold_1_11,Ass
scaffold_1,5105024,5132373,5118659,25000,0.001387,0.001492,0.001345,-0.035334,148954,scaffold_1_11,Ass
scaffold_1,5132374,5159784,5145487,25000,0.001361,0.001503,0.00173,0.097491,148954,scaffold_1_11,Ass
scaffold_1,5159785,5213795,5197121,25000,0.000952,0.000952,0.000882,-0.039588,148954,scaffold_1_11,Ass
scaffold_1,5241586,5296552,5276738,25000,0.001515,0.001555,0.001575,0.013545,265751,scaffold_1_12,Ass
scaffold_1,5296553,5332662,5317295,25000,0.001784,0.002024,0.001757,-0.041575,265751,scaffold_1_12,Ass
scaffold_1,5332663,5396533,5369196,25000,0.001681,0.001756,0.001634,-0.027849,265751,scaffold_1_12,Ass
scaffold_1,5396534,5440403,5419774,25000,0.001777,0.001742,0.001629,-0.040334,265751,scaffold_1_12,Ass
scaffold_1,5440404,5466760,5453497,25000,0.002472,0.002282,0.002323,-0.01161,265751,scaffold_1_12,Ass
scaffold_1,5466761,5493218,5480216,25000,0.001923,0.001727,0.002701,0.201396,265751,scaffold_1_12,Ass
scaffold_1,5493219,5530957,5515365,25000,0.001457,0.001442,0.001985,0.160203,265751,scaffold_1_12,Ass
scaffold_1,5586911,5618408,5601507,25000,0.001729,0.001592,0.007022,0.626038,466358,scaffold_1_13,Ass
scaffold_1,5618409,5679250,5640851,25000,0.001689,0.001612,0.002346,0.173481,466358,scaffold_1_13,Ass
scaffold_1,5679251,5713407,5694610,25000,0.001308,0.001377,0.001254,-0.035325,466358,scaffold_1_13,Ass
scaffold_1,5713408,5750830,5734654,25000,0.001901,0.002116,0.001891,-0.031207,466358,scaffold_1_13,Ass
scaffold_1,5750831,5780018,5765440,25000,0.002151,0.002051,0.001991,-0.027873,466358,scaffold_1_13,Ass
scaffold_1,5780019,5805796,5792810,25000,0.004309,0.003808,0.003942,-0.015177,466358,scaffold_1_13,Ass
scaffold_1,5805797,5842668,5828153,25000,0.002104,0.001708,0.001857,-0.013429,466358,scaffold_1_13,Ass
scaffold_1,5842669,5889288,5863369,25000,0.001425,0.001639,0.001448,-0.034894,466358,scaffold_1_13,Ass
scaffold_1,5889289,5928447,5910119,25000,0.001419,0.001571,0.00141,-0.030215,466358,scaffold_1_13,Ass
scaffold_1,5928448,5961607,5943851,25000,0.001574,0.002345,0.002901,0.189127,466358,scaffold_1_13,Ass
scaffold_1,5961608,5987458,5974589,25000,0.001858,0.001756,0.001696,-0.032846,466358,scaffold_1_13,Ass
scaffold_1,5987459,6020588,6002895,25000,0.001798,0.001736,0.001685,-0.024665,466358,scaffold_1_13,Ass
scaffold_1,6020589,6048573,6034061,25000,0.001334,0.001428,0.001291,-0.034838,466358,scaffold_1_13,Ass
scaffold_1,6144754,6196200,6165175,25000,0.002035,0.001939,0.001853,-0.036158,179930,scaffold_1_14,Ass
scaffold_1,6196201,6245907,6218509,25000,0.001992,0.002739,0.002204,-0.049891,179930,scaffold_1_14,Ass
scaffold_1,6245908,6286558,6265443,25000,0.001194,0.000942,0.000982,-0.043394,179930,scaffold_1_14,Ass
scaffold_1,6286559,6312191,6299287,25000,0.001977,0.001937,0.001816,-0.038887,179930,scaffold_1_14,Ass
scaffold_1,6465609,6495573,6481687,25000,0.003132,0.002985,0.003761,0.104693,273822,scaffold_1_15,Ass
scaffold_1,6495574,6521003,6508359,25000,0.002795,0.002798,0.004649,0.255086,273822,scaffold_1_15,Ass
scaffold_1,6521004,6549360,6535008,25000,0.002054,0.001581,0.007159,0.601486,273822,scaffold_1_15,Ass
scaffold_1,6549361,6591817,6570440,25000,0.001663,0.001495,0.00473,0.506748,273822,scaffold_1_15,Ass
scaffold_1,6591818,6617571,6604779,25000,0.001698,0.001882,0.008295,0.653074,273822,scaffold_1_15,Ass
scaffold_1,6617572,6643516,6630421,25000,0.002588,0.002668,0.004164,0.232756,273822,scaffold_1_15,Ass
scaffold_1,6643517,6671640,6657221,25000,0.001419,0.001416,0.006918,0.66729,273822,scaffold_1_15,Ass
scaffold_1,6671641,6706333,6690162,25000,0.001264,0.001247,0.001158,-0.042306,273822,scaffold_1_15,Ass
scaffold_1,6706334,6736821,6722885,25000,0.001202,0.001039,0.001173,0.018167,273822,scaffold_1_15,Ass
scaffold_1,6762337,6794755,6776872,25000,0.001152,0.001217,0.001395,0.082335,329683,scaffold_1_16,Ass
scaffold_1,6794756,6831875,6814753,25000,0.001772,0.001727,0.00493,0.484747,329683,scaffold_1_16,Ass
scaffold_1,6831876,6871213,6849852,25000,0.001178,0.001367,0.002138,0.25686,329683,scaffold_1_16,Ass
scaffold_1,6871214,6898498,6884462,25000,0.00205,0.00199,0.004524,0.391054,329683,scaffold_1_16,Ass
scaffold_1,6898499,6929573,6914591,25000,0.001353,0.0014,0.006943,0.671921,329683,scaffold_1_16,Ass
scaffold_1,6929574,6968240,6950828,25000,0.001608,0.001666,0.00261,0.234159,329683,scaffold_1_16,Ass
scaffold_1,6968241,6997936,6981864,25000,0.001715,0.001427,0.001709,0.043638,329683,scaffold_1_16,Ass
scaffold_1,6997937,7029707,7013854,25000,0.001877,0.001954,0.007299,0.593088,329683,scaffold_1_16,Ass
scaffold_1,7029708,7064313,7044514,25000,0.002278,0.002699,0.003809,0.217022,329683,scaffold_1_16,Ass
scaffold_1,7064314,7089757,7077151,25000,0.001767,0.001854,0.002525,0.168064,329683,scaffold_1_16,Ass
scaffold_1,7323745,7350363,7336744,25000,0.001749,0.001743,0.003007,0.272511,154293,scaffold_1_17,Ass
scaffold_1,7350364,7400651,7374935,25000,0.001704,0.001739,0.002217,0.129059,154293,scaffold_1_17,Ass
scaffold_1,7400652,7426884,7413581,25000,0.001652,0.002375,0.001979,-0.008901,154293,scaffold_1_17,Ass
scaffold_1,7426885,7456646,7443056,25000,0.001425,0.002212,0.002595,0.16941,154293,scaffold_1_17,Ass
scaffold_1,7729750,7757261,7744256,25000,0.001912,0.001813,0.002452,0.140975,199182,scaffold_1_18,Ass
scaffold_1,7757262,7784711,7770180,25000,0.001952,0.001822,0.004861,0.447219,199182,scaffold_1_18,Ass
scaffold_1,7784712,7810131,7797406,25000,0.001812,0.001785,0.00432,0.419883,199182,scaffold_1_18,Ass
scaffold_1,7810132,7837484,7823577,25000,0.001944,0.001903,0.00219,0.066028,199182,scaffold_1_18,Ass
scaffold_1,7837485,7866297,7852616,25000,0.003184,0.003213,0.008373,0.455543,199182,scaffold_1_18,Ass
scaffold_1,7866298,7893281,7880094,25000,0.001724,0.001725,0.001581,-0.045427,199182,scaffold_1_18,Ass
scaffold_1,7893282,7919988,7907010,25000,0.002478,0.002564,0.003303,0.13721,199182,scaffold_1_18,Ass
scaffold_1,7961272,7996415,7980421,25000,0.001534,0.001534,0.002695,0.284015,258302,scaffold_1_19,Ass
scaffold_1,7996416,8027932,8010537,25000,0.002009,0.001749,0.005237,0.480994,258302,scaffold_1_19,Ass
scaffold_1,8027933,8071295,8053662,25000,0.00206,0.002209,0.002907,0.157965,258302,scaffold_1_19,Ass
scaffold_1,8071296,8106662,8089224,25000,0.002208,0.002137,0.002545,0.082973,258302,scaffold_1_19,Ass
scaffold_1,8106663,8133568,8120325,25000,0.003412,0.003181,0.003747,0.06561,258302,scaffold_1_19,Ass
scaffold_1,8133569,8175417,8154626,25000,0.001641,0.001844,0.002436,0.16116,258302,scaffold_1_19,Ass
scaffold_1,8175418,8224924,8201647,25000,0.002424,0.00232,0.002382,0.002476,258302,scaffold_1_19,Ass
scaffold_1,8296212,8361972,8340931,25000,0.002632,0.002077,0.003951,0.264537,1036939,scaffold_1_20,Ass
scaffold_1,8361973,8390601,8376351,25000,0.001674,0.002092,0.002073,0.049747,1036939,scaffold_1_20,Ass
scaffold_1,8390602,8424785,8408441,25000,0.001915,0.001972,0.00185,-0.025887,1036939,scaffold_1_20,Ass
scaffold_1,8424786,8458515,8441031,25000,0.003372,0.003449,0.003212,-0.028349,1036939,scaffold_1_20,Ass
scaffold_1,8458516,8490080,8473607,25000,0.003521,0.003302,0.004197,0.104369,1036939,scaffold_1_20,Ass
scaffold_1,8490081,8518955,8503685,25000,0.003327,0.003474,0.007369,0.376877,1036939,scaffold_1_20,Ass
scaffold_1,8518956,8559437,8539648,25000,0.001879,0.001298,0.003126,0.339716,1036939,scaffold_1_20,Ass
scaffold_1,8559438,8606300,8578809,25000,0.002309,0.001952,0.001995,-0.027078,1036939,scaffold_1_20,Ass
scaffold_1,8606301,8649115,8626614,25000,0.00202,0.001974,0.001857,-0.03767,1036939,scaffold_1_20,Ass
scaffold_1,8649116,8682239,8665520,25000,0.001525,0.001797,0.002485,0.204494,1036939,scaffold_1_20,Ass
scaffold_1,8682240,8708123,8695103,25000,0.002055,0.001995,0.002001,-0.006043,1036939,scaffold_1_20,Ass
scaffold_1,8708124,8750323,8726859,25000,0.001945,0.002004,0.003197,0.244985,1036939,scaffold_1_20,Ass
scaffold_1,8750324,8781734,8767692,25000,0.002469,0.003014,0.003863,0.17661,1036939,scaffold_1_20,Ass
scaffold_1,8781735,8842396,8827465,25000,0.00182,0.001875,0.004421,0.414861,1036939,scaffold_1_20,Ass
scaffold_1,8842397,8872868,8855963,25000,0.003245,0.003354,0.003154,-0.023425,1036939,scaffold_1_20,Ass
scaffold_1,8872869,8922168,8892244,25000,0.003441,0.003387,0.003332,-0.012664,1036939,scaffold_1_20,Ass
scaffold_1,8922169,8969217,8942141,25000,0.002129,0.001848,0.001858,-0.035225,1036939,scaffold_1_20,Ass
scaffold_1,8969218,9006692,8988753,25000,0.001627,0.001361,0.002227,0.205055,1036939,scaffold_1_20,Ass
scaffold_1,9006693,9034795,9020751,25000,0.002985,0.003092,0.003901,0.126938,1036939,scaffold_1_20,Ass
scaffold_1,9034796,9071457,9052664,25000,0.001435,0.001475,0.001397,-0.021273,1036939,scaffold_1_20,Ass
scaffold_1,9071458,9110507,9089087,25000,0.001761,0.00157,0.001598,-0.021398,1036939,scaffold_1_20,Ass
scaffold_1,9110508,9136417,9123356,25000,0.002614,0.002607,0.00472,0.295299,1036939,scaffold_1_20,Ass
scaffold_1,9136418,9170872,9155494,25000,0.003106,0.002712,0.003009,0.017121,1036939,scaffold_1_20,Ass
scaffold_1,9170873,9201590,9188351,25000,0.001821,0.002569,0.002193,-0.000329,1036939,scaffold_1_20,Ass
scaffold_1,9201591,9235337,9221688,25000,0.003959,0.004348,0.006131,0.195172,1036939,scaffold_1_20,Ass
scaffold_1,9235338,9292145,9265440,25000,0.00326,0.003653,0.012556,0.575638,1036939,scaffold_1_20,Ass
scaffold_1,9292146,9328678,9311258,25000,0.002191,0.002692,0.008121,0.544315,1036939,scaffold_1_20,Ass
scaffold_1,9734024,9780491,9760445,25000,0.002569,0.003115,0.003108,0.04625,124295,scaffold_1_21,Ass
scaffold_1,9780492,9822291,9798498,25000,0.001591,0.00164,0.003947,0.427965,124295,scaffold_1_21,Ass
scaffold_1,9822292,9848727,9835353,25000,0.00205,0.003092,0.006196,0.426661,124295,scaffold_1_21,Ass
scaffold_1,9848728,9892901,9871044,25000,0.002004,0.002138,0.002231,0.038477,124295,scaffold_1_21,Ass
scaffold_1,9892902,9925651,9909253,25000,0.001538,0.001467,0.002427,0.241853,159079,scaffold_1_22,Ass
scaffold_1,9925652,10136399,9989314,25000,0.002032,0.001914,0.002052,0.019911,159079,scaffold_1_22,Ass
scaffold_1,10136400,10170498,10151950,25000,0.002332,0.002067,0.002447,0.055116,107195,scaffold_1_23,Ass
scaffold_1,10170499,10214807,10187319,25000,0.002354,0.001279,0.004617,0.444224,107195,scaffold_1_23,Ass
scaffold_1,10750326,10814008,10777238,25000,0.001862,0.001794,0.001704,-0.036569,156448,scaffold_1_24,Ass
scaffold_1,10814009,10873739,10850945,25000,0.00287,0.003209,0.00373,0.108447,156448,scaffold_1_24,Ass
scaffold_1,10873740,10915919,10895745,25000,0.002989,0.002996,0.00381,0.124851,156448,scaffold_1_24,Ass
scaffold_1,10944141,10987814,10968150,25000,0.001505,0.001297,0.002008,0.179353,204283,scaffold_1_25,Ass
scaffold_1,10987815,11049180,11012223,25000,0.001934,0.001759,0.00188,0.009273,204283,scaffold_1_25,Ass
scaffold_1,11049181,11165974,11108018,25000,0.001894,0.001882,0.003132,0.258729,204283,scaffold_1_25,Ass
scaffold_1,14878379,14920708,14901030,25000,0.002461,0.00284,0.003076,0.076274,143085,scaffold_1_26,Ass
scaffold_1,14920709,14989318,14956037,25000,0.001635,0.001603,0.001844,0.066048,143085,scaffold_1_26,Ass
scaffold_1,15579178,15646429,15621237,25000,0.002744,0.002776,0.003096,0.058886,214229,scaffold_1_27,Ass
scaffold_1,15646430,15705543,15672978,25000,0.001511,0.001381,0.00152,0.025865,214229,scaffold_1_27,Ass
scaffold_1,15705545,15743597,15727067,25000,0.00157,0.0013,0.002803,0.326794,214229,scaffold_1_27,Ass
scaffold_1,15743598,15820567,15787902,25000,0.003097,0.001864,0.003167,0.125382,214229,scaffold_1_27,Ass
scaffold_1,15972258,16023609,15993924,25000,0.002714,0.00187,0.004502,0.326251,191699,scaffold_1_28,Ass
scaffold_1,16023610,16128688,16095969,25000,0.001924,0.001429,0.001753,0.023086,191699,scaffold_1_28,Ass
scaffold_1,16239912,16273345,16258816,25000,0.001862,0.001614,0.007586,0.634226,118064,scaffold_1_29,Ass
scaffold_1,16273346,16330744,16302371,25000,0.003449,0.003253,0.003224,-0.022406,118064,scaffold_1_29,Ass
scaffold_1,16437600,16465094,16452051,25000,0.002765,0.003139,0.007199,0.427292,128081,scaffold_1_30,Ass
scaffold_1,16465095,16494569,16480086,25000,0.003654,0.003762,0.004261,0.071706,128081,scaffold_1_30,Ass
scaffold_1,16494570,16520118,16507297,25000,0.003251,0.003213,0.003907,0.097673,128081,scaffold_1_30,Ass
scaffold_1,16685078,16712227,16698297,25000,0.002328,0.002358,0.002178,-0.037707,173984,scaffold_1_31,Ass
scaffold_1,16712228,16872026,16775128,25000,0.001735,0.001528,0.001518,-0.03193,173984,scaffold_1_31,Ass
scaffold_1,17049648,17095629,17077835,25000,0.001447,0.001456,0.00149,0.013498,141132,scaffold_1_32,Ass
scaffold_1,17095630,17122757,17109291,25000,0.001578,0.001492,0.002068,0.152665,141132,scaffold_1_32,Ass
scaffold_1,17122758,17133163,17127970,10110,0.002379,0.002442,0.002329,-0.019615,141132,scaffold_1_32,Ass
scaffold_2,33106,71295,48891,25000,0.001402,0.001322,0.001483,0.044117,162422,scaffold_2_1,Ass
scaffold_2,71296,106521,89495,25000,0.00153,0.002095,0.002848,0.20878,162422,scaffold_2_1,Ass
scaffold_2,106522,159179,138505,25000,0.00172,0.001698,0.002667,0.224857,162422,scaffold_2_1,Ass
scaffold_2,159180,214615,200398,25000,0.002284,0.002355,0.002267,-0.011951,124752,scaffold_2_2,Ass
scaffold_2,214616,240192,227391,25000,0.004066,0.004115,0.004404,0.038193,124752,scaffold_2_2,Ass
scaffold_2,240193,288370,271948,25000,0.001553,0.001941,0.002164,0.11009,124752,scaffold_2_2,Ass
scaffold_2,288371,313856,301063,25000,0.001543,0.001532,0.003199,0.359016,124752,scaffold_2_2,Ass
scaffold_2,1038741,1075263,1053380,25000,0.001637,0.001634,0.00205,0.11621,163986,scaffold_2_3,Ass
scaffold_2,1075264,1106373,1092544,25000,0.002125,0.002074,0.001953,-0.037647,163986,scaffold_2_3,Ass
scaffold_2,1106374,1135461,1120004,25000,0.001277,0.001272,0.007336,0.710833,163986,scaffold_2_3,Ass
scaffold_2,1135462,1162945,1149301,25000,0.001942,0.002124,0.009409,0.654342,163986,scaffold_2_3,Ass
scaffold_2,1162946,1211551,1184567,25000,0.002112,0.002018,0.01278,0.725017,163986,scaffold_2_3,Ass
scaffold_2,2030510,2069949,2045991,25000,0.001886,0.003921,0.002749,-0.057463,142994,scaffold_2_4,Ass
scaffold_2,2069950,2124100,2103688,25000,0.001637,0.00129,0.002461,0.267774,142994,scaffold_2_4,Ass
scaffold_2,2124101,2155688,2138083,25000,0.003088,0.002838,0.002942,0.003436,142994,scaffold_2_4,Ass
scaffold_2,2307605,2339785,2325795,25000,0.002065,0.002067,0.001913,-0.04012,116536,scaffold_2_5,Ass
scaffold_2,2339786,2377572,2354719,25000,0.00302,0.002887,0.002816,-0.026557,116536,scaffold_2_5,Ass
scaffold_2,2377573,2403278,2390447,25000,0.001554,0.001228,0.001761,0.121111,116536,scaffold_2_5,Ass
scaffold_2,2585505,2646557,2624985,25000,0.002056,0.002048,0.002675,0.133623,159467,scaffold_2_6,Ass
scaffold_2,2646558,2682733,2665589,25000,0.00262,0.002256,0.003197,0.13967,159467,scaffold_2_6,Ass
scaffold_2,2682734,2714990,2698668,25000,0.003494,0.003466,0.003342,-0.021276,159467,scaffold_2_6,Ass
scaffold_2,2714991,2764088,2738000,25000,0.003498,0.00294,0.00374,0.077893,159467,scaffold_2_6,Ass
scaffold_2,2812739,2839856,2826850,25000,0.001182,0.001926,0.004482,0.488559,111591,scaffold_2_7,Ass
scaffold_2,2839857,2866803,2853104,25000,0.002076,0.003006,0.007971,0.521647,111591,scaffold_2_7,Ass
scaffold_2,2866804,2892977,2880093,25000,0.001595,0.002226,0.004743,0.429857,111591,scaffold_2_7,Ass
scaffold_2,3033240,3073883,3051019,25000,0.001912,0.00294,0.002324,-0.022256,189284,scaffold_2_8,Ass
scaffold_2,3073884,3132904,3101703,25000,0.002142,0.002288,0.002056,-0.038476,189284,scaffold_2_8,Ass
scaffold_2,3132905,3216758,3180737,25000,0.002316,0.002152,0.003038,0.154667,189284,scaffold_2_8,Ass
scaffold_2,3272669,3371876,3331756,25000,0.001504,0.001288,0.001568,0.060231,156146,scaffold_2_9,Ass
scaffold_2,3371877,3404886,3386190,25000,0.001767,0.001525,0.001971,0.101027,156146,scaffold_2_9,Ass
scaffold_2,3404887,3430324,3417571,25000,0.002816,0.00276,0.005455,0.331186,156146,scaffold_2_9,Ass
scaffold_2,3430325,3457759,3444253,25000,0.002373,0.002435,0.006159,0.446406,156146,scaffold_2_9,Ass
scaffold_2,3647315,3672750,3660048,25000,0.002462,0.001789,0.004116,0.326751,170396,scaffold_2_10,Ass
scaffold_2,3672751,3708137,3694054,25000,0.003576,0.003461,0.003688,0.023032,170396,scaffold_2_10,Ass
scaffold_2,3708138,3736643,3721440,25000,0.00294,0.003059,0.004616,0.218726,170396,scaffold_2_10,Ass
scaffold_2,3736644,3805793,3772886,25000,0.001811,0.001857,0.002553,0.164467,170396,scaffold_2_10,Ass
scaffold_2,4070343,4111294,4094937,25000,0.001898,0.001479,0.001988,0.084298,337841,scaffold_2_11,Ass
scaffold_2,4111295,4144387,4130315,25000,0.001978,0.001954,0.001824,-0.03878,337841,scaffold_2_11,Ass
scaffold_2,4144388,4189511,4159411,25000,0.001549,0.001677,0.003955,0.429569,337841,scaffold_2_11,Ass
scaffold_2,4189512,4220249,4204501,25000,0.001588,0.002039,0.004378,0.418148,337841,scaffold_2_11,Ass
scaffold_2,4220250,4262790,4237365,25000,0.001953,0.002097,0.002024,-0.000346,337841,scaffold_2_11,Ass
scaffold_2,4262791,4295933,4276932,25000,0.002122,0.002143,0.002123,-0.00193,337841,scaffold_2_11,Ass
